X-ray (ID 01) / Crystal angle θ_c	X-ray (ID 01) / Impulse Imp
θ_c/°	Imp/# / s

3.0	2461
3.1	1798
3.2	1334
3.3	1143
3.4	941
3.5	824
3.6	729
3.7	655
3.8	564
3.9	452
4.0	365
4.1	303
4.2	264
4.3	218
4.4	204
4.5	182
4.6	156
4.7	145
4.8	127
4.9	136
5.0	123
5.1	110
5.2	111
5.3	112
5.4	106
5.5	106
5.6	114
5.7	120
5.8	100
5.9	124
6.0	110
6.1	111
6.2	112
6.3	109
6.4	108
6.5	95
6.6	101
6.7	123
6.8	106
6.9	112
7.0	113
7.1	104
7.2	116
7.3	119
7.4	104
7.5	108
7.6	112
7.7	113
7.8	120
7.9	114
8.0	108
8.1	123
8.2	182
8.3	212
8.4	190
8.5	214
8.6	190
8.7	205
8.8	188
8.9	199
9.0	209
9.1	209
9.2	186
9.3	192
9.4	205
9.5	199
9.6	179
9.7	198
9.8	178
9.9	179
10.0	182
10.1	170
10.2	181
10.3	166
10.4	177
10.5	169
10.6	176
10.7	150
10.8	172
10.9	164
11.0	148
11.1	147
11.2	150
11.3	153
11.4	134
11.5	139
11.6	138
11.7	128
11.8	138
11.9	147
12.0	189
12.1	306
12.2	1040
12.3	1604
12.4	1228
12.5	347
12.6	202
12.7	181
12.8	154
12.9	162
13.0	161
13.1	173
13.2	256
13.3	421
13.4	893
13.5	2104
13.6	5318
13.7	5248
13.8	1334
13.9	294
14.0	149
14.1	124
14.2	126
14.3	119
14.4	113
14.5	109
14.6	100
14.7	93
14.8	93
14.9	93
15.0	93
15.1	83
15.2	91
15.3	70
15.4	74
15.5	96
15.6	81
15.7	72
15.8	65
15.9	68
16.0	59
16.1	71
16.2	62
16.3	75
16.4	83
16.5	82
16.6	83
16.7	83
16.8	71
16.9	67
17.0	73
17.1	62
17.2	81
17.3	70
17.4	73
17.5	60
17.6	68
17.7	79
17.8	66
17.9	66
18.0	63
18.1	65
18.2	66
18.3	74
18.4	62
18.5	67
18.6	59
18.7	51
18.8	68
18.9	75
19.0	57
19.1	65
19.2	57
19.3	64
19.4	54
19.5	56
19.6	56
19.7	57
19.8	53
19.9	55
20.0	51
20.1	59
20.2	52
20.3	52
20.4	47
20.5	53
20.6	53
20.7	71
20.8	55
20.9	56
21.0	50
21.1	61
21.2	48
21.3	61
21.4	47
21.5	51
21.6	56
21.7	51
21.8	47
21.9	52
22.0	44
22.1	48
22.2	50
22.3	54
22.4	43
22.5	60
22.6	51
22.7	44
22.8	46
22.9	49
23.0	48
23.1	47
23.2	39
23.3	47
23.4	41
23.5	54
23.6	48
23.7	49
23.8	55
23.9	46
24.0	55
24.1	41
24.2	49
24.3	41
24.4	51
24.5	50
24.6	60
24.7	66
24.8	84
24.9	123
25.0	443
25.1	459
25.2	136
25.3	82
25.4	59
25.5	62
25.6	51
25.7	67
25.8	55
25.9	53
26.0	48
26.1	50
26.2	49
26.3	56
26.4	40
26.5	54
26.6	54
26.7	57
26.8	55
26.9	57
27.0	55
27.1	58
27.2	51
27.3	75
27.4	80
27.5	96
27.6	123
27.7	201
27.8	739
27.9	1638
28.0	1444
28.1	502
28.2	124
28.3	72
28.4	62
28.5	62
28.6	58
28.7	53
28.8	53
28.9	50
29.0	56
29.1	49
29.2	43
29.3	52
29.4	54
29.5	45
29.6	53
29.7	48
29.8	43
29.9	47
30.0	39
30.1	36
30.2	48
30.3	35
30.4	43
30.5	42
30.6	40
30.7	44
30.8	38
30.9	35
31.0	48
31.1	33
31.2	42
31.3	34
31.4	43
31.5	42
31.6	53
31.7	47
31.8	49
31.9	49
32.0	45
32.1	45
32.2	44
32.3	41
32.4	34
32.5	47
32.6	36
32.7	51
32.8	40
32.9	42
33.0	38
33.1	41
33.2	35
33.3	32
33.4	34
33.5	45
33.6	35
33.7	44
33.8	37
33.9	46
34.0	43
34.1	52
34.2	52
34.3	38
34.4	43
34.5	41
34.6	42
34.7	41
34.8	41
34.9	39
35.0	35
35.1	38
35.2	46
35.3	41
35.4	48
35.5	35
35.6	39
35.7	34
35.8	41
35.9	30
36.0	43
36.1	34
36.2	47
36.3	43
36.4	42
36.5	46
36.6	42
36.7	41
36.8	42
36.9	42
37.0	44
37.1	44
37.2	43
37.3	33
37.4	36
37.5	32
37.6	38
37.7	40
37.8	43
37.9	44
38.0	38
38.1	38
38.2	42
38.3	44
38.4	39
38.5	42
38.6	39
38.7	41
38.8	49
38.9	46
39.0	58
39.1	48
39.2	125
39.3	146
39.4	79
39.5	39
39.6	48
39.7	43
39.8	48
39.9	36
40.0	44
40.1	39
40.2	38
40.3	37
40.4	35
40.5	38
40.6	39
40.7	45
40.8	35
40.9	42
41.0	40
41.1	37
41.2	36
41.3	37
41.4	36
41.5	42
41.6	33
41.7	37
41.8	36
41.9	35
42.0	45
42.1	45
42.2	35
42.3	36
42.4	39
42.5	40
42.6	37
42.7	37
42.8	41
42.9	40
43.0	39
43.1	36
43.2	40
43.3	41
43.4	33
43.5	46
43.6	46
43.7	40
43.8	45
43.9	46
44.0	44
44.1	66
44.2	85
44.3	158
44.4	441
44.5	502
44.6	261
44.7	116
44.8	60
44.9	57
45.0	56
