X-ray (ID 01) / Crystal angle θ_c	X-ray (ID 01) / Impulse Imp
θ_c/°	Imp/# / s

3.0	10286
3.1	6704
3.2	4285
3.3	2997
3.4	1960
3.5	1566
3.6	1290
3.7	1138
3.8	1018
3.9	954
4.0	834
4.1	702
4.2	577
4.3	473
4.4	366
4.5	298
4.6	262
4.7	207
4.8	199
4.9	167
5.0	173
5.1	126
5.2	140
5.3	146
5.4	111
5.5	108
5.6	116
5.7	106
5.8	101
5.9	98
6.0	92
6.1	100
6.2	103
6.3	102
6.4	103
6.5	106
6.6	100
6.7	109
6.8	105
6.9	105
7.0	97
7.1	97
7.2	102
7.3	94
7.4	100
7.5	100
7.6	97
7.7	88
7.8	92
7.9	93
8.0	117
8.1	158
8.2	197
8.3	196
8.4	190
8.5	186
8.6	205
8.7	201
8.8	177
8.9	197
9.0	188
9.1	184
9.2	179
9.3	186
9.4	188
9.5	199
9.6	182
9.7	179
9.8	184
9.9	164
10.0	173
10.1	175
10.2	167
10.3	182
10.4	161
10.5	158
10.6	158
10.7	149
10.8	147
10.9	147
11.0	145
11.1	156
11.2	155
11.3	143
11.4	153
11.5	154
11.6	146
11.7	136
11.8	131
11.9	128
12.0	125
12.1	120
12.2	115
12.3	125
12.4	116
12.5	113
12.6	113
12.7	108
12.8	107
12.9	101
13.0	105
13.1	117
13.2	92
13.3	94
13.4	90
13.5	93
13.6	81
13.7	90
13.8	90
13.9	87
14.0	69
14.1	84
14.2	80
14.3	65
14.4	67
14.5	76
14.6	65
14.7	64
14.8	60
14.9	67
15.0	76
15.1	88
15.2	157
15.3	327
15.4	845
15.5	907
15.6	358
15.7	132
15.8	108
15.9	88
16.0	84
16.1	86
16.2	75
16.3	90
16.4	81
16.5	75
16.6	90
16.7	154
16.8	283
16.9	674
17.0	1999
17.1	2525
17.2	1335
17.3	327
17.4	128
17.5	88
17.6	72
17.7	58
17.8	62
17.9	72
18.0	64
18.1	59
18.2	53
18.3	64
18.4	50
18.5	57
18.6	63
18.7	49
18.8	55
18.9	64
19.0	43
19.1	54
19.2	46
19.3	52
19.4	58
19.5	46
19.6	52
19.7	46
19.8	54
19.9	51
20.0	51
20.1	61
20.2	49
20.3	45
20.4	49
20.5	51
20.6	52
20.7	48
20.8	51
20.9	57
21.0	44
21.1	44
21.2	53
21.3	52
21.4	46
21.5	40
21.6	39
21.7	46
21.8	53
21.9	40
22.0	46
22.1	47
22.2	45
22.3	47
22.4	35
22.5	35
22.6	40
22.7	35
22.8	50
22.9	42
23.0	42
23.1	39
23.2	34
23.3	39
23.4	40
23.5	36
23.6	48
23.7	44
23.8	51
23.9	39
24.0	47
24.1	42
24.2	37
24.3	47
24.4	45
24.5	36
24.6	39
24.7	40
24.8	41
24.9	40
25.0	45
25.1	38
25.2	46
25.3	38
25.4	42
25.5	41
25.6	50
25.7	41
25.8	43
25.9	37
26.0	36
26.1	40
26.2	43
26.3	44
26.4	35
26.5	32
26.6	37
26.7	49
26.8	40
26.9	40
27.0	38
27.1	43
27.2	38
27.3	35
27.4	41
27.5	37
27.6	37
27.7	37
27.8	40
27.9	43
28.0	41
28.1	40
28.2	48
28.3	42
28.4	34
28.5	34
28.6	40
28.7	32
28.8	34
28.9	38
29.0	42
29.1	30
29.2	41
29.3	38
29.4	36
29.5	33
29.6	27
29.7	27
29.8	33
29.9	43
30.0	37
30.1	29
30.2	29
30.3	39
30.4	36
30.5	29
30.6	34
30.7	36
30.8	34
30.9	33
31.0	35
31.1	35
31.2	32
31.3	44
31.4	45
31.5	38
31.6	43
31.7	40
31.8	52
31.9	66
32.0	119
32.1	210
32.2	213
32.3	65
32.4	50
32.5	37
32.6	38
32.7	33
32.8	38
32.9	42
33.0	42
33.1	35
33.2	43
33.3	38
33.4	36
33.5	33
33.6	38
33.7	38
33.8	31
33.9	33
34.0	40
34.1	36
34.2	39
34.3	35
