Time	X-ray (ID 01) / Impulse Imp	X-ray (ID 01) / Voltage U	X-ray (ID 01) / Current I	X-ray (ID 01) / Detector angle θ_d	X-ray (ID 01) / Crystal angle θ_c
t/s	Imp/# / s	U/kV	I/mA	θ_d/°	θ_c/°

0.00	1363	35.0	1.00	6.0	3.0
2.00	1083	35.0	1.00	6.2	3.1
4.00	956	35.0	1.00	6.4	3.2
6.00	761	35.0	1.00	6.6	3.3
8.00	687	35.0	1.00	6.8	3.4
10.00	601	35.0	1.00	7.0	3.5
12.00	527	35.0	1.00	7.2	3.6
14.00	463	35.0	1.00	7.4	3.7
16.00	388	35.0	1.00	7.6	3.8
18.00	351	35.0	1.00	7.8	3.9
20.00	291	35.0	1.00	8.0	4.0
22.00	260	35.0	1.00	8.2	4.1
24.00	237	35.0	1.00	8.4	4.2
26.00	202	35.0	1.00	8.6	4.3
28.00	213	35.0	1.00	8.8	4.4
30.00	169	35.0	1.00	9.0	4.5
32.00	177	35.0	1.00	9.2	4.6
34.00	150	35.0	1.00	9.4	4.7
36.00	166	35.0	1.00	9.6	4.8
38.00	141	35.0	1.00	9.8	4.9
40.00	151	35.0	1.00	10.0	5.0
42.00	147	35.0	1.00	10.2	5.1
44.00	136	35.0	1.00	10.4	5.2
46.00	153	35.0	1.00	10.6	5.3
48.00	189	35.0	1.00	10.8	5.4
50.00	255	35.0	1.00	11.0	5.5
52.00	343	35.0	1.00	11.2	5.6
54.00	263	35.0	1.00	11.4	5.7
56.00	184	35.0	1.00	11.6	5.8
58.00	168	35.0	1.00	11.8	5.9
60.00	200	35.0	1.00	12.0	6.0
62.00	297	35.0	1.00	12.2	6.1
64.00	764	35.0	1.00	12.4	6.2
66.00	918	35.0	1.00	12.6	6.3
68.00	487	35.0	1.00	12.8	6.4
70.00	185	35.0	1.00	13.0	6.5
72.00	172	35.0	1.00	13.2	6.6
74.00	194	35.0	1.00	13.4	6.7
76.00	193	35.0	1.00	13.6	6.8
78.00	174	35.0	1.00	13.8	6.9
80.00	204	35.0	1.00	14.0	7.0
82.00	180	35.0	1.00	14.2	7.1
84.00	200	35.0	1.00	14.4	7.2
86.00	194	35.0	1.00	14.6	7.3
88.00	206	35.0	1.00	14.8	7.4
90.00	201	35.0	1.00	15.0	7.5
92.00	190	35.0	1.00	15.2	7.6
94.00	193	35.0	1.00	15.4	7.7
96.00	194	35.0	1.00	15.6	7.8
98.00	220	35.0	1.00	15.8	7.9
100.00	208	35.0	1.00	16.0	8.0
102.00	273	35.0	1.00	16.2	8.1
104.00	331	35.0	1.00	16.4	8.2
106.00	351	35.0	1.00	16.6	8.3
108.00	345	35.0	1.00	16.8	8.4
110.00	348	35.0	1.00	17.0	8.5
112.00	358	35.0	1.00	17.2	8.6
