X-ray (ID 01) / Crystal angle θ_c	X-ray (ID 01) / Impulse Imp
θ_c/°	Imp/# / s

3.0	1302
3.1	1113
3.2	937
3.3	761
3.4	679
3.5	586
3.6	549
3.7	475
3.8	421
3.9	347
4.0	323
4.1	297
4.2	238
4.3	219
4.4	210
4.5	182
4.6	198
4.7	174
4.8	189
4.9	189
5.0	173
5.1	157
5.2	179
5.3	179
5.4	234
5.5	321
5.6	351
5.7	297
5.8	224
5.9	199
6.0	250
6.1	441
6.2	973
6.3	1047
6.4	623
6.5	297
6.6	216
6.7	236
6.8	227
6.9	211
7.0	204
7.1	211
7.2	237
7.3	235
7.4	202
7.5	244
7.6	236
7.7	230
7.8	224
7.9	231
8.0	248
8.1	322
8.2	439
8.3	442
8.4	457
8.5	451
8.6	443
8.7	455
8.8	468
8.9	452
9.0	487
9.1	462
9.2	467
9.3	438
9.4	474
9.5	428
9.6	466
9.7	424
9.8	474
9.9	472
10.0	464
10.1	432
10.2	440
10.3	433
10.4	423
10.5	402
10.6	417
10.7	410
10.8	421
10.9	405
11.0	410
11.1	437
11.2	449
11.3	391
11.4	417
11.5	404
11.6	399
11.7	392
11.8	370
11.9	382
12.0	405
12.1	389
12.2	406
12.3	413
12.4	582
12.5	657
12.6	496
12.7	362
12.8	324
12.9	346
13.0	309
13.1	328
13.2	298
13.3	291
13.4	293
13.5	331
13.6	319
13.7	285
13.8	251
13.9	257
14.0	247
14.1	236
14.2	256
14.3	228
14.4	215
14.5	224
14.6	250
14.7	219
14.8	194
14.9	206
15.0	198
15.1	185
15.2	195
15.3	200
15.4	194
15.5	167
15.6	170
15.7	163
15.8	184
15.9	159
16.0	149
16.1	169
16.2	173
16.3	170
16.4	194
16.5	190
16.6	189
16.7	198
16.8	188
16.9	179
17.0	175
17.1	184
17.2	171
17.3	188
17.4	175
17.5	185
17.6	165
17.7	176
17.8	157
17.9	153
18.0	153
18.1	171
18.2	150
18.3	163
18.4	136
18.5	161
18.6	166
18.7	202
18.8	244
18.9	242
19.0	172
19.1	158
19.2	150
19.3	156
19.4	150
19.5	143
19.6	146
19.7	144
19.8	135
19.9	143
20.0	135
20.1	149
20.2	138
20.3	142
20.4	132
20.5	134
20.6	125
20.7	139
20.8	140
20.9	143
21.0	118
21.1	132
21.2	136
21.3	153
21.4	146
21.5	146
21.6	131
21.7	139
21.8	136
21.9	149
22.0	133
22.1	139
22.2	133
22.3	135
22.4	131
22.5	140
22.6	131
22.7	122
22.8	131
22.9	117
23.0	121
23.1	131
23.2	117
23.3	126
23.4	133
23.5	142
23.6	141
23.7	131
23.8	124
23.9	135
24.0	121
24.1	125
24.2	125
24.3	116
24.4	119
24.5	134
24.6	125
24.7	130
24.8	144
24.9	139
25.0	130
25.1	133
25.2	122
25.3	149
25.4	148
25.5	151
25.6	151
25.7	131
25.8	130
25.9	140
26.0	121
26.1	119
26.2	136
26.3	115
26.4	112
26.5	117
26.6	129
26.7	123
26.8	129
26.9	115
27.0	116
27.1	149
27.2	113
27.3	128
27.4	126
27.5	126
27.6	126
27.7	123
27.8	130
27.9	142
28.0	122
28.1	128
28.2	132
28.3	128
28.4	118
28.5	123
28.6	120
28.7	119
28.8	113
28.9	109
29.0	117
29.1	118
29.2	133
29.3	118
29.4	125
29.5	115
29.6	113
29.7	114
29.8	118
29.9	120
30.0	120
