X-ray (ID 01) / Crystal angle θ_c	X-ray (ID 01) / Impulse Imp
θ_c/°	Imp/# / s

3.0	1532
3.1	1381
3.2	1102
3.3	920
3.4	759
3.5	672
3.6	561
3.7	495
3.8	427
3.9	352
4.0	301
4.1	228
4.2	202
4.3	171
4.4	130
4.5	118
4.6	104
4.7	108
4.8	99
4.9	95
5.0	97
5.1	86
5.2	103
5.3	116
5.4	137
5.5	195
5.6	224
5.7	248
5.8	282
5.9	333
6.0	376
6.1	382
6.2	394
6.3	459
6.4	426
6.5	504
6.6	490
6.7	548
6.8	543
6.9	573
7.0	566
7.1	587
7.2	569
7.3	599
7.4	615
7.5	626
7.6	657
7.7	659
7.8	645
7.9	672
8.0	670
8.1	676
8.2	647
8.3	738
8.4	699
8.5	715
8.6	669
8.7	741
8.8	843
8.9	1007
9.0	1269
9.1	1924
9.2	1886
9.3	1497
9.4	1010
9.5	907
9.6	868
9.7	924
9.8	992
9.9	1504
10.0	1933
10.1	2588
10.2	4777
10.3	6481
10.4	4968
10.5	2274
10.6	1385
10.7	1012
10.8	946
10.9	958
11.0	937
11.1	952
11.2	953
11.3	948
11.4	950
11.5	998
11.6	969
11.7	1013
11.8	995
11.9	999
12.0	963
12.1	1041
12.2	1014
12.3	1007
12.4	991
12.5	987
12.6	1041
12.7	1038
12.8	1044
12.9	1038
13.0	1039
13.1	1018
13.2	1089
13.3	977
13.4	965
13.5	920
13.6	941
13.7	905
13.8	920
13.9	897
14.0	919
14.1	914
14.2	941
14.3	895
14.4	894
14.5	890
14.6	904
14.7	914
14.8	872
14.9	881
15.0	881
15.1	895
15.2	879
15.3	886
15.4	893
15.5	866
15.6	859
15.7	883
15.8	842
15.9	853
16.0	823
16.1	861
16.2	836
16.3	801
16.4	793
16.5	762
16.6	810
16.7	786
16.8	776
16.9	752
17.0	748
17.1	720
17.2	743
17.3	753
17.4	714
17.5	705
17.6	687
17.7	693
17.8	676
17.9	689
18.0	670
18.1	693
18.2	665
18.3	735
18.4	776
18.5	743
18.6	662
18.7	649
18.8	622
18.9	684
19.0	655
19.1	628
19.2	622
19.3	605
19.4	588
19.5	575
19.6	567
19.7	561
19.8	561
19.9	568
20.0	554
20.1	563
20.2	573
20.3	594
20.4	583
20.5	645
20.6	843
20.7	1367
20.8	1467
20.9	1103
21.0	689
21.1	485
21.2	433
21.3	411
21.4	407
21.5	396
21.6	401
21.7	414
21.8	395
21.9	368
22.0	371
22.1	353
22.2	345
22.3	339
22.4	372
22.5	411
22.6	445
22.7	359
22.8	327
22.9	319
23.0	289
23.1	303
23.2	286
23.3	281
23.4	265
23.5	281
23.6	272
23.7	269
23.8	265
23.9	246
24.0	216
24.1	245
24.2	242
24.3	226
24.4	230
24.5	232
24.6	215
24.7	222
24.8	199
24.9	209
25.0	213
25.1	194
25.2	207
25.3	192
25.4	188
25.5	194
25.6	184
25.7	177
25.8	178
25.9	186
26.0	168
26.1	170
26.2	153
26.3	152
26.4	158
26.5	153
26.6	146
26.7	153
26.8	145
26.9	142
27.0	145
27.1	147
27.2	137
27.3	134
27.4	134
27.5	125
27.6	133
27.7	133
27.8	116
27.9	133
28.0	119
28.1	127
28.2	137
28.3	129
28.4	108
28.5	108
28.6	121
28.7	108
28.8	111
28.9	92
29.0	95
29.1	96
29.2	93
29.3	86
29.4	99
29.5	85
29.6	93
29.7	87
29.8	83
29.9	89
30.0	88
30.1	93
30.2	84
30.3	89
30.4	63
30.5	79
30.6	79
30.7	90
30.8	82
30.9	74
31.0	69
31.1	76
31.2	83
31.3	80
31.4	79
31.5	90
31.6	87
31.7	75
31.8	95
31.9	177
32.0	219
32.1	166
32.2	141
32.3	110
32.4	78
32.5	72
32.6	75
32.7	75
32.8	61
32.9	74
33.0	64
33.1	56
33.2	66
33.3	53
33.4	68
33.5	63
33.6	68
33.7	64
33.8	62
33.9	62
34.0	60
