# Curie system
# Voltage on primary and secondary coils
# as a function of frequency
# Set #13
# Air core
# R1 = 11.4 Ohm, 
# L1 = 5.3 mH (air)
# R2 = 126 Ohm
# L2 = 87 mH (air)
# f/kHz, Vp/V, Vs_air, Vs_sample1, Vs_sample2
.1 3.90 1.20 1.45 1.76
.2 3.90 2.20 2.66 3.17 
.3 3.89 3.00 3.47 4.08
.4 3.89 3.40 3.99 4.64
.5 3.87 3.70 4.31 4.98
.6 3.85 3.90 4.52 5.18 
.7 3.84 4.04 4.67 5.31
.8 3.83 4.12 4.76 5.40
.9 3.82 4.18 4.83 5.45
1. 3.82 4.23 4.89 5.49
2. 3.80 4.40 5.08 5.51
3. 3.80 4.44 5.12 5.42
4. 3.80 4.46 5.14 5.33
5. 3.80 4.49 5.15 5.26
10 3.80 4.56 5.16 4.97
11 3.80 4.57 5.14 4.91
12 3.80 4.56 5.10 4.84
13 3.80 4.55 5.05 4.77
14 3.80 4.52 4.98 4.68
15 3.79 4.49 4.90 4.59
16 3.79 4.43 4.80 4.49
17 3.79 4.37 4.68 4.38
18 3.79 4.28 4.54 4.25
19 3.79 4.18 4.39 4.11
20 3.79 4.05 4.22 3.97
25 3.79 3.33 3.34 3.19
30 3.77 2.59 2.55 2.48
40 3.74 1.51 1.48 1.47
50 3.71 0.90 0.92 0.92
