filter-100ms-full-range
Integration time [ms]: 100.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

173.876;   50.812;    7.002;    0.000
174.482;  -17.122;    9.001;    0.000
175.087;  -12.045;   12.001;    0.000
175.693;  -16.119;   34.001;    0.000
176.298;   35.805;   10.002;    0.000
176.903;  -65.067;  -11.999;    0.000
177.509;    3.959;   19.000;    0.000
178.114;  -14.139;   -1.998;    0.000
178.719;   58.923;    3.001;    0.000
179.325;  -12.161;   -6.998;    0.000
179.930;   -4.153;  -51.998;    0.000
180.535;   29.956;  -13.999;    0.000
181.140;   39.809;   13.002;    0.000
181.745;    0.945;    4.001;    0.000
182.351;   52.960;   15.000;    0.000
182.956;  -10.084;   14.001;    0.000
183.561;   59.796;  -12.998;    0.000
184.166;  -12.112;   43.001;    0.000
184.771;   22.958;    2.000;    0.000
185.376;  -24.125;   -1.999;    0.000
185.981;   63.869;  -26.998;    0.000
186.586;   -6.076;    6.001;    0.000
187.191;   32.895;  -27.999;    0.000
187.796;  -47.178;   37.002;    0.000
188.400;   18.731;   19.003;    0.000
189.005;   19.869;  -54.998;    0.000
189.610;    9.915;   19.001;    0.000
190.215;   15.820;  -31.998;    0.000
190.820;   40.841;   -6.998;    0.000
191.424;  -11.203;  -27.998;    0.000
192.029;   56.786;  -12.997;    0.000
192.634;  -41.241;  -13.997;    0.000
193.238;    6.940;  -57.999;    0.000
193.843;  -58.290;    9.003;    0.000
194.448;   12.756;    4.003;    0.000
195.052;    9.840;   16.002;    0.000
195.657;    1.775;  -14.997;    0.000
196.261;  -39.299;   19.004;    0.000
196.866;  -16.263;  -24.997;    0.000
197.470;    5.786;   20.003;    0.000
198.075;   43.709;  -67.997;    0.000
198.679;   -5.308;  -26.996;    0.000
199.284;   40.820;   22.002;    0.000
199.888;   13.617;   36.005;    0.000
200.492;   43.707;    2.003;    0.000
201.097;  -46.228;   40.003;    0.000
201.701;   67.685;   13.004;    0.000
202.305;   33.862;    5.002;    0.000
202.909;   73.859;  -17.998;    0.000
203.514;  -64.233;   23.003;    0.000
204.118;   55.967;    0.000;    0.000
204.722;   51.916;   99.001;    0.000
