
Integration time [ms]: 100.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

173.876;    0.966;    7.002;    0.000
174.482;  -23.022;    9.001;    0.000
175.087;    8.992;   12.001;    0.000
175.693;   -9.021;   34.001;    0.000
176.298;  -20.035;   10.002;    0.000
176.903;  -32.012;  -11.999;    0.000
177.509;  -22.007;   19.000;    0.000
178.114;   -2.025;   -1.998;    0.000
178.719;   18.986;    3.001;    0.000
179.325;   15.971;   -6.998;    0.000
179.930;   14.973;  -51.998;    0.000
180.535;   -7.008;  -13.999;    0.000
181.140;   29.966;   13.002;    0.000
181.745;  -19.010;    4.001;    0.000
182.351;   -9.007;   15.000;    0.000
182.956;   -7.015;   14.001;    0.000
183.561;    5.964;  -12.998;    0.000
184.166;   -5.020;   43.001;    0.000
184.771;  -14.007;    2.000;    0.000
185.376;    0.978;   -1.999;    0.000
185.981;  -22.023;  -26.998;    0.000
186.586;   -1.014;    6.001;    0.000
187.191;  -11.019;  -27.999;    0.000
187.796;  -45.032;   37.002;    0.000
188.400;   17.952;   19.003;    0.000
189.005;  -17.023;  -54.998;    0.000
189.610;  -17.015;   19.001;    0.000
190.215;   15.968;  -31.998;    0.000
190.820;  -45.028;   -6.998;    0.000
191.424;   -3.036;  -27.998;    0.000
192.029;  -13.038;  -12.997;    0.000
192.634;   -3.043;  -13.997;    0.000
193.238;   52.989;  -57.999;    0.000
193.843;   -1.052;    9.003;    0.000
194.448;    1.956;    4.003;    0.000
195.052;  -21.029;   16.002;    0.000
195.657;  -40.040;  -14.997;    0.000
196.261;   -0.053;   19.004;    0.000
196.866;   -3.047;  -24.997;    0.000
197.470;    4.962;   20.003;    0.000
198.075;  -31.052;  -67.997;    0.000
198.679;  -12.055;  -26.996;    0.000
199.284;    6.968;   22.002;    0.000
199.888;   -2.068;   36.005;    0.000
200.492;  -14.052;    2.003;    0.000
201.097;   53.959;   40.003;    0.000
201.701;   -5.056;   13.004;    0.000
202.305;  -17.025;    5.002;    0.000
202.909;  -18.025;  -17.998;    0.000
203.514;   16.958;   23.003;    0.000
204.118;  -22.006;    0.000;    0.000
