
Integration time [ms]:   1.050
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

173.876;   12.829;    7.002;    0.000
174.482;   -3.715;    9.001;    0.000
175.087;   51.994;   12.001;    0.000
175.693;  -74.637;   34.001;    0.000
176.298;   12.673;   10.002;    0.000
176.903;   -0.494;  -11.999;    0.000
177.509;   36.092;   19.000;    0.000
178.114;  -56.077;   -1.998;    0.000
178.719;   82.291;    3.001;    0.000
179.325;  -34.565;   -6.998;    0.000
179.930;    8.601;  -51.998;    0.000
180.535;   -1.967;  -13.999;    0.000
181.140;   40.771;   13.002;    0.000
181.745;   -9.211;    4.001;    0.000
182.351;   47.121;   15.000;    0.000
182.956;   20.144;   14.001;    0.000
183.561;   62.477;  -12.998;    0.000
184.166;    8.519;   43.001;    0.000
184.771;   69.072;    2.000;    0.000
185.376;   -8.774;   -1.999;    0.000
185.981;  -25.911;  -26.998;    0.000
186.586;  -51.680;    6.001;    0.000
187.191;   60.675;  -27.999;    0.000
187.796;   25.044;   37.002;    0.000
188.400;   45.022;   19.003;    0.000
189.005;   -5.901;  -54.998;    0.000
189.610;   17.125;   19.001;    0.000
190.215;   44.015;  -31.998;    0.000
190.820;   -5.536;   -6.998;    0.000
191.424;   -6.513;  -27.998;    0.000
192.029;  -16.757;  -12.997;    0.000
192.634;   34.647;  -13.997;    0.000
193.238;   28.672;  -57.999;    0.000
193.843;  -13.427;    9.003;    0.000
194.448;   35.579;    4.003;    0.000
195.052;  -33.556;   16.002;    0.000
195.657;  -31.001;  -14.997;    0.000
196.261;    4.368;   19.004;    0.000
196.866;   10.159;  -24.997;    0.000
197.470;   -3.747;   20.003;    0.000
198.075;   -7.447;  -67.997;    0.000
198.679;   22.172;  -26.996;    0.000
199.284;  -44.995;   22.002;    0.000
199.888;    5.512;   36.005;    0.000
200.492;   19.504;    2.003;    0.000
201.097;   -1.070;   40.003;    0.000
201.701;   59.016;   13.004;    0.000
202.305;    6.943;    5.002;    0.000
202.909;   47.874;  -17.998;    0.000
203.514;   21.823;   23.003;    0.000
204.118;   37.277;    0.000;    0.000
204.722;  -56.856;   99.001;    0.000
