
Integration time [ms]:   1.050
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

173.876;    2.683;    7.002;    0.000
174.482;   17.794;    9.001;    0.000
175.087;  -14.076;   12.001;    0.000
175.693;   10.800;   34.001;    0.000
176.298;   11.672;   10.002;    0.000
176.903;  -34.113;  -11.999;    0.000
177.509;  -11.069;   19.000;    0.000
178.114;   16.766;   -1.998;    0.000
178.719;  -25.130;    3.001;    0.000
179.325;   -6.271;   -6.998;    0.000
179.930;   38.742;  -51.998;    0.000
180.535;  -11.073;  -13.999;    0.000
181.140;   -6.321;   13.002;    0.000
181.745;   59.908;    4.001;    0.000
182.351;   -5.067;   15.000;    0.000
182.956;  -14.141;   14.001;    0.000
183.561;   25.657;  -12.998;    0.000
184.166;   -5.188;   43.001;    0.000
184.771;   31.930;    2.000;    0.000
185.376;   -8.211;   -1.999;    0.000
185.981;    2.779;  -26.998;    0.000
186.586;   -5.128;    6.001;    0.000
187.191;    6.824;  -27.999;    0.000
187.796;    9.700;   37.002;    0.000
188.400;   17.546;   19.003;    0.000
189.005;    3.780;  -54.998;    0.000
189.610;  -11.142;   19.001;    0.000
190.215;   49.697;  -31.998;    0.000
190.820;   -9.268;   -6.998;    0.000
191.424;  -21.343;  -27.998;    0.000
192.029;  -18.361;  -12.997;    0.000
192.634;   -5.406;  -13.997;    0.000
193.238;   10.899;  -57.999;    0.000
193.843;   37.512;    9.003;    0.000
194.448;   38.588;    4.003;    0.000
195.052;   -5.270;   16.002;    0.000
195.657;   18.620;  -14.997;    0.000
196.261;   49.497;   19.004;    0.000
196.866;   40.557;  -24.997;    0.000
197.470;  -12.360;   20.003;    0.000
198.075;   24.511;  -67.997;    0.000
198.679;  -16.518;  -26.996;    0.000
199.284;   -7.303;   22.002;    0.000
199.888;   24.356;   36.005;    0.000
200.492;   -4.493;    2.003;    0.000
201.097;  -19.385;   40.003;    0.000
201.701;  -12.530;   13.004;    0.000
202.305;  -13.232;    5.002;    0.000
202.909;  -28.237;  -17.998;    0.000
203.514;   17.607;   23.003;    0.000
204.118;   23.945;    0.000;    0.000
204.722;    1.859;   99.001;    0.000
