Address:,USB0::0x0957::0x179B::MY58106372::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY58106372,,-0.0261,-0.521984819322824,0.065646973438561,
Firmware Version:,02.65.2021030741,,-0.026042,-0.521984819322824,-0.0067148432135582,
Start Time:,2024-09-16 12:55:42.455,,-0.025984,-0.481783807277679,-0.0227952469140291,
,,,-0.025926,-0.521984819322824,-0.0308354487642646,
Analog Sample Count:,1000,,-0.025868,-0.481783807277679,-0.0469158524647355,
Function Sample Count:,0,,-0.02581,-0.56218583136797,-0.0469158524647355,
Waveform Memory Sample Count:,0,,-0.025752,-0.521984819322824,-0.0469158524647355,
Digital Sample Count:,0,,-0.025694,-0.56218583136797,-0.0348555496893823,
,,,-0.025636,-0.521984819322824,-0.0348555496893823,
Setup Text Information:,,,-0.025578,-0.56218583136797,-0.0308354487642646,
ANALOG,,,-0.02552,-0.56218583136797,-0.0388756506145,
Channel 1,,,-0.025462,-0.56218583136797,-0.0348555496893823,
Scale,1 V/,,-0.025404,-0.521984819322824,-0.0388756506145,
Pos,-1.125 V,,-0.025346,-0.56218583136797,-0.0428957515396178,
Coup,,,-0.025288,-0.521984819322824,-0.0388756506145,
BW,Off,,-0.02523,-0.56218583136797,-0.0348555496893823,
Inv,Off,,-0.025172,-0.56218583136797,-0.0268153478391469,
Imp,1M Ohm,,-0.025114,-0.56218583136797,-0.0348555496893823,
Trace Label,1,,-0.025056,-0.56218583136797,-0.0348555496893823,
Probe,1,,-0.024998,-0.56218583136797,-0.0428957515396178,
Skew,0 s,,-0.02494,-0.602386843413115,-0.0308354487642646,
,,,-0.024882,-0.602386843413115,-0.0388756506145,
Channel 2,,,-0.024824,-0.602386843413115,-0.0308354487642646,
Scale,100 mV/,,-0.024766,-0.602386843413115,-0.0348555496893823,
Pos,186.25 mV,,-0.024708,-0.56218583136797,-0.0268153478391469,
Coup,,,-0.02465,-0.56218583136797,-0.0308354487642646,
BW,Off,,-0.024592,-0.56218583136797,-0.0227952469140291,
Inv,Off,,-0.024534,-0.521984819322824,-0.0308354487642646,
Imp,1M Ohm,,-0.024476,-0.56218583136797,-0.0308354487642646,
Trace Label,2,,-0.024418,-0.56218583136797,-0.0308354487642646,
Probe,1,,-0.02436,-0.56218583136797,-0.0227952469140291,
Skew,0 s,,-0.024302,-0.521984819322824,-0.0268153478391469,
,,,-0.024244,-0.56218583136797,-0.0227952469140291,
MATH,,,-0.024186,-0.602386843413115,-0.0187751459889114,
