# Ip = 30 mA
# B/mT Up/mV Uh/mV
303 1109 52.59
282 1106 49.14
261 1105 45.47
240 1103 41.81
220 1101 38.35
200 1099 34.86
181 1097 31.48
159 1096 27.69
139 1096 24.16
121 1095 20.84
099 1094 16.84
080 1093 12.42
59 1094 -4.14
24 1093 -12.31
6 1094 -15.64
2 1094 -16.42
-22 1094 -21.12
-41 1093 -24.59
-62 1094 -28.41
-85 1094 -32.63
-101 1095 -35.56
-121 1094 -24.35
-140 1096 -27.44
-161 1096 -31.14
-182 1096 -34.69
-201 1098 -38.16
-222 1098 -41.72
-242 1101 -45.41
-260 1102 -48.54
-280 1103 -52.06
-303 1105 -56.04

