# B/mT, Up/mV, Uh/mV
# part1
140 425 -1.10
140 394 4.18
139 401 4.44
138 416 6.24
136 430 6.51
134 448 6.85
132 463 7.30
130 479 7.75
128 508 7.44
126 526 7.89
124 559 7.30
121 586 8.01
118 637 9.12
113 705 10.81
109 767 13.07
105 837 15.33
101 898 18.06
96 991 22.26
90 1093 27.74
85 1153 31.57
80 1210 35.85
75 1244 39.20
70 1265 42.18
64 1270 44.72
60 1265 46.09
55 1253 47.30
49 1230 48.43
45 1208 49.11
40 1187 49.64
# part 2
140 427 -27.21
140 397 -25.84
139 402 -26.04
138 414 -26.54
136 431 -27.22
134 452 -27.52
131 467 -21.54
130 488 -26.78
128 511 -25.60
126 528 -21.06
124 561 -18.59
122 580 -17.95
121 608 -17.20
117 651 -17.88
114 696 -19.83
110 763 -22.82
103 869 -26.89
98 962 -31.47
93 1049 -35.65
88 1117 -39.68
83 1171 -42.81
77 1227 -47.08
72 1250 -49.41
65 1263 -52.23
60 1257 -53.30
55 1245 -54.03
50 1227 -54.44
45 1206 -54.66
40 1181 -54.54
