# Press Shift+Enter to add data
# Press Ctrl+S to save
# sample 14
# Ip = 30 mA B = 0
# T(°C)	Uh(mV)	Up(mV)
142.6	10	397
145.1	10	359
143.8	10	364
142.8	10	370
141.7	10	378
140.6	10	386
139.6	10	395
138.7	10	401
137.9	10	409
136.8	11	418
135.8	11	427
134.9	11	436
133.8	11	447
132.7	11	458
131.6	11	469
130.7	11	479
129.9	11	489
128.6	12	503
127.6	12	513
126.7	12	523
125.7	12	535
124.8	12	547
124.0	12	559
122.8	12	578
121.7	13	589
120.7	13	602
118.9	13	629
116.4	13	662
114.6	13	690
112.8	14	720
110.7	14	753
108.8	14	785
106.8	15	819
104.7	15	854
102.7	15	888
100.9	16	921
95.6	17	1010
90.8	18	1090
85.3	18	1168
80.9	19	1219
75.6	19	1263
70.9	20	1288
65.8	20	1300
60.1	20	1300
55.4	19	1288
50.8	19	1272
