# Press Shift+Enter to add data
# Press Ctrl+S to save
# sample 14
# Ip = 30 mA
# B (mT) T(°C)	Uh(mV)	Up(mV)
16 20.9	12	1134
46 20.9	6	1134
95 20.7	-3	1135
143 20.9	-12	1136
176 20.9	-17	1138
196 21.0	-21	1138
221 20.8	-25	1139
241 21.0	-29	1141
258 20.8	-32	1142
286 20.9	-37	1143
303 21.0	-41	1146
-295 20.9	73	1145
-281 20.9	69	1143
-260 20.4	65	1140
-246 21.0	60	1138
-218 22.0	57	1137
-190 20.8	53	1135
-165 20.9	50	1134
-143 20.9	46	1132
-118 20.8	42	1128
-95 21.2	38	1130
-71 20.9	34	1129
-45 21.0	28	1128
-30 21.0	25	1127
6 21.3	15	1127
