# Press Shift+Enter to add data
# Press Ctrl+S to save
# sample 14
# Ip = 30 mA B = 300 mT
# T(°C)	Uh(mV)	Up(mV)
142.7	2	398
140.5	2	408
139.5	2	416
138.7	2	422
137.9	2	430
136.9	1	439
135.7	1	449
134.7	1	458
133.5	1	469
132.7	2	479
131.6	2	491
130.6	2	501
129.8	2	509
128.6	0	525
127.7	0	534
126.7	0	547
125.6	-1	558
124.7	-1	571
123.7	-1	584
122.6	-1	597
121.5	-2	613
120.7	-2	624
118.6	-3	653
116.5	-3	685
114.6	-4	713
112.6	-5	745
110.7	-5	775
108.7	-6	809
106.7	-7	841
104.8	-8	875
102.8	-10	909
100.6	-11	946
95.5	-16	1035
90.8	-28	1108
85.6	-34	1181
80.6	-37	1235
75.9	-40	1274
70.7	-43	1299
65.8	-45	1310

