# Press Shift+Enter to add data
# Press Ctrl+S to save
# sample 15
# task3 Ip = 30 mA
# T(°C)	Uh(mV)	Up(mV)
142.0	-1	373
141.6	-1	368
140.0	-1	376
138.8	-1	384
137.7	-1	393
137.4	-1	399
135.4	-1	414
134.3	-1	423
133.8	-1	431
132.8	-1	439
131.6	-1	452
130.7	-1	462
129.9	-1	473
128.5	-1	485
128.0	-1	495
125.9	-1	511
125.9	-1	523
121.9	-1	550
122.1	-1	570
119.7	-1	603
116.6	-1	643
114.3	-1	681
112.0	-1	712
110.6	-1	742
108.8	-1	768
106.4	-1	805
104.3	-1	845
102.6	-1	874
100.4	-1	913
95.4	-1	1008
90.3	-1	1102
85.8	-1	1183
80.7	0	1260
75.8	0	1324
70.7	0	1369
65.7	1	1402
60.6	1	1416
55.4	1	1415
50.8	1	1405
