# Press Shift+Enter to add data
# Press Ctrl+S to save
# sample 15
# task5 Ip = 30 mA B = 298 mT
# T(°C)	Uh(mV)	Up(mV)
141.7	-6	370
140.9	-7	373
139.7	-7	379
139.1	-7	385
137.5	-7	397
136.8	-7	405
135.8	-7	411
135.1	-8	419
133.6	-8	433
132.4	-8	443
131.4	-8	452
130.3	-9	468
129.3	-9	475
128.7	-9	485
127.4	-10	496
126.6	-10	506
126.2	-10	515
124.8	-10	528
124.0	-11	540
122.5	-11	557
121.4	-12	571
120.7	-12	582
118.6	-13	608
116.5	-13	639
114.2	-14	672
112.5	-15	700
110.6	-16	729
108.7	-17	767
106.9	-18	796
104.7	-20	837
102.4	-21	878
100.3	-22	914
95.8	-26	1005
90.8	-29	1100
85.5	-34	1191
80.8	-38	1269
75.5	-42	1334
70.4	-45	1379
65.4	-48	1410
60.6	-50	1420
55.8	-52	1423
50.8	-54	1412
