# Press Shift+Enter to add data
# Press Ctrl+S to save
# sample 16
# task3 Ip = 30 mA B = 0
# T(°C)	Uh(mV)	Up(mV)
142.3	1	378
140.6	1	372
139.7	0	379
138.6	1	388
137.7	1	394
136.4	1	405
135.5	1	413
134.6	1	422
133.6	1	431
132.7	1	440
131.5	1	451
130.5	1	461
129.6	1	471
128.6	1	482
127.6	1	494
126.6	1	506
125.5	1	517
124.5	1	529
123.5	1	541
122.6	1	553
121.7	1	565
120.5	1	581
118.1	1	614
116.3	1	639
114.5	1	667
112.6	1	695
110.7	1	730
107.0	1	793
104.8	1	834
102.7	1	870
100.7	1	908
93.5	1	1050
90.6	1	1106
85.7	2	1198
80.7	2	1283
75.7	2	1355
70.7	2	1408
65.7	2	1443
60.5	1	1461
55.4	1	1463
50.8	1	1454
