# Press Shift+Enter to add data
# Press Ctrl+S to save

# T(°C)	Uh(mV)	Up(mV)
# sample 21
# Task 3 Up(T) at B = 0 cooling
141.0	-12	499
140.5	-11	441
138.4	-11	462
137.7	-12	469
136.5	-12	485
135.9	-12	492
134.6	-13	507
133.7	-13	520
132.7	-14	534
131.8	-14	546
130.8	-14	562
129.7	-15	578
128.8	-15	593
127.6	-16	612
126.7	-16	628
125.9	-16	642
124.8	-17	663
123.7	-17	683
122.8	-18	703
121.8	-18	720
120.8	-19	739
119.8	-19	760
117.9	-20	802
116.6	-21	831
114.8	-22	875
112.8	-23	924
111.1	-24	963
105.5	-28	1116
100.8	-31	1242
95.6	-34	1380
90.7	-36	1489
84.8	-39	1601
80.8	-40	1649
75.7	-41	1684
70.8	-41	1694
65.7	-40	1688
60.8	-40	1664
55.7	-39	1631
50.8	-38	1588
