# Press Shift+Enter to add data
# Press Ctrl+S to save

# T(°C)	Uh(mV)	Up(mV)
# sample 21
# Task 5 Uh(T) at B = 300 cooling
140.7	-17	545
136.7	-18	547
136.0	-18	553
135.7	-18	560
134.4	-18	576
133.1	-19	594
131.8	-19	614
130.5	-20	634
129.7	-20	648
128.8	-20	667
127.7	-21	681
126.8	-21	696
126.0	-21	717
125.0	-22	736
123.7	-22	757
122.6	-22	782
121.9	-23	799
120.8	-23	819
118.8	-23	861
116.6	-24	912
114.7	-24	954
112.8	-24	1007
110.8	-24	1053
108.5	-24	1116
107.0	-23	1160
104.7	-23	1220
102.4	-22	1273
100.7	-20	1319
95.2	-17	1456
90.8	-13	1545
84.9	-7	1639
80.6	-3	1678
75.8	2	1707
70.7	6	1712
65.7	9	1702
60.8	12	1676
56.0	14	1644
51.0	16	1605
46.3	17	1564
42.8	18	1534
37.5	19	1484
