# Press Shift+Enter to add data
# Press Ctrl+S to save
# sample 23
# Ip = 30 mT
# T(°C)	Uh(mV)	Up(mV)
142.6	15	449
143.4	17	420
142.6	17	425
141.7	17	433
140.7	18	444
139.7	18	454
138.7	19	467
137.7	19	477
136.7	20	491
135.6	21	503
134.9	21	514
133.7	22	530
132.8	23	545
131.8	24	558
130.8	24	574
129.7	25	590
128.8	26	607
127.8	26	622
126.8	27	640
125.6	28	661
124.7	28	677
123.7	29	696
122.8	29	714
121.8	30	733
120.6	31	756
118.7	33	798
116.6	35	840
114.8	36	885
112.8	38	933
110.8	41	982
108.7	43	1031
106.7	45	1086
104.7	47	1136
102.8	50	1184
100.7	52	1241
95.5	57	1364
90.9	62	1466
85.5	66	1555
80.8	73	1610
75.5	75	1645
70.7	75	1653
65.9	75	1643
60.8	74	1620
55.6	73	1585
50.7	71	1546
