# Press Shift+Enter to add data
# Press Ctrl+S to save
# sample 23
# Ip = 30 mT
# B (mT) T(°C)	Uh(mV)	Up(mV)
306 22.7	114	1331
287 22.9	111	1327
273 23.0	108	1323
253 23.1	104	1322
225 23.2	99	1317
198 22.4	94	1310
175 23.2	90	1309
143 23.1	84	1307
115 23.0	79	1303
89 22.9	74	1302
69 23.1	70	1299
26 23.0	62	1298
11 23.1	58	1298
-1 23.1	55	1299
-32 23.1	47	1299
-72 22.9	38	1303
-113 23.0	30	1307
-146 23.1	24	1311
-190 23.1	18	1314
-217 23.5	12	1321
-240 23.3	8	1325
-274 23.3	2	1332
-301 23.3	-2	1338

