# Press Shift+Enter to add data
# Press Ctrl+S to save
# sample 23
# Ip = 30 mT B = 300 mT
# T(°C)	Uh(mV)	Up(mV)
141.9	16	465
140.9	14	457
137.1	16	500
137.0	17	505
135.9	18	516
135.0	18	527
134.4	19	537
133.2	19	553
132.5	20	565
131.8	20	576
130.3	21	595
129.6	22	610
128.8	23	624
127.8	24	639
126.8	25	659
125.7	26	679
124.7	27	695
123.7	28	716
122.7	29	733
121.6	30	755
120.8	31	775
118.7	34	818
116.9	36	860
115.6	38	887
113.1	42	947
110.6	47	1009
108.7	50	1060
106.9	54	1106
104.7	59	1165
102.8	63	1210
100.5	68	1271
95.5	81	1392
90.9	92	1493
85.7	104	1579
80.9	113	1635
75.8	121	1667
71.0	126	1678
65.6	129	1668
60.6	130	1644
55.7	129	1610
50.6	130	1572
