# Press Shift+Enter to add data
# Press Ctrl+S to save
# sample 24
# Ip = 30 mA. B = 0
# T(°C)	Uh(mV)	Up(mV)
142.6	3	418
141.7	2	401
140.5	2	409
139.6	2	417
138.9	2	424
137.7	2	435
136.8	2	446
135.8	2	458
134.8	2	469
133.8	2	483
132.7	2	496
131.3	2	513
130.5	2	527
129.6	2	538
128.7	2	558
128.1	2	568
126.7	2	588
124.7	2	611
123.9	2	632
123.2	2	653
121.4	2	680
119.7	2	715
118.6	2	739
117.7	2	759
116.9	2	781
115.7	2	805
114.7	2	828
113.7	2	851
112.8	2	878
111.8	2	902
107.4	2	1014
105.1	2	1082
102.3	2	1166
100.1	2	1231
97.8	2	1301
96.6	2	1336
95.3	2	1374
90.7	2	1503
85.5	2	1631
80.8	2	1720
75.7	1	1784
70.7	1	1818
65.8	1	1826
60.7	1	1810
55.8	1	1780
51.0	1	1742
