LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
0.0,-2.000000,-2.000000,-2.074788666667e-10,1.391673222044e-11,3,-2.251637000000e-10;-2.061163000000e-10;-1.911566000000e-10
0.0,-1.900000,-1.900000,-1.963679333333e-10,3.044681601671e-12,3,-1.994161000000e-10;-1.922101000000e-10;-1.974776000000e-10
0.0,-1.800000,-1.800000,-1.870549666667e-10,4.962464748713e-12,3,-1.874483000000e-10;-1.807901000000e-10;-1.929265000000e-10
0.0,-1.700000,-1.700000,-1.970422000000e-10,2.685621652430e-12,3,-1.936850000000e-10;-1.971827000000e-10;-2.002589000000e-10
0.0,-1.600000,-1.600000,-1.884737000000e-10,6.133363744309e-12,3,-1.803688000000e-10;-1.952020000000e-10;-1.898503000000e-10
0.0,-1.500000,-1.500000,-1.779387000000e-10,8.529380699676e-12,3,-1.889653000000e-10;-1.766605000000e-10;-1.681903000000e-10
0.0,-1.400000,-1.400000,-1.997251000000e-10,5.312163086728e-12,3,-2.002589000000e-10;-1.929686000000e-10;-2.059478000000e-10
0.0,-1.300000,-1.300000,-1.881787333333e-10,8.020948826805e-12,3,-1.895132000000e-10;-1.777561000000e-10;-1.972669000000e-10
0.0,-1.200000,-1.200000,-1.866616666667e-10,1.186930008224e-11,3,-1.699601000000e-10;-1.964663000000e-10;-1.935586000000e-10
0.0,-1.100000,-1.100000,-1.821246000000e-10,9.141595648828e-12,3,-1.750591000000e-10;-1.950335000000e-10;-1.762812000000e-10
0.0,-1.000000,-1.000000,-1.900862400000e-10,9.975955655595e-12,10,-2.054000000000e-10;-1.787253000000e-10;-2.015231000000e-10;-1.777139000000e-10;-1.900609000000e-10;-1.908195000000e-10;-1.764497000000e-10;-1.973933000000e-10;-1.841613000000e-10;-1.986154000000e-10
0.0,-0.990000,-0.990000,-1.903475200000e-10,1.010577645239e-11,10,-2.026187000000e-10;-1.887968000000e-10;-2.059478000000e-10;-1.919994000000e-10;-1.850463000000e-10;-1.745534000000e-10;-2.004696000000e-10;-1.874483000000e-10;-1.751012000000e-10;-1.914937000000e-10
0.0,-0.980000,-0.980000,-1.870184600000e-10,1.198206176025e-11,10,-1.753962000000e-10;-1.911566000000e-10;-1.718564000000e-10;-1.944014000000e-10;-1.687381000000e-10;-1.981940000000e-10;-1.823915000000e-10;-2.094876000000e-10;-1.879540000000e-10;-1.906088000000e-10
0.0,-0.970000,-0.970000,-1.831120500000e-10,1.089158559258e-11,10,-1.670946000000e-10;-1.919994000000e-10;-1.769975000000e-10;-1.821808000000e-10;-1.827286000000e-10;-1.803687000000e-10;-1.934743000000e-10;-1.669260000000e-10;-2.038408000000e-10;-1.855098000000e-10
0.0,-0.960000,-0.960000,-1.857626600000e-10,1.100000771820e-11,10,-1.922101000000e-10;-1.767868000000e-10;-1.855098000000e-10;-1.889232000000e-10;-1.703394000000e-10;-2.045150000000e-10;-1.875325000000e-10;-1.980254000000e-10;-1.674739000000e-10;-1.863105000000e-10
0.0,-0.950000,-0.950000,-1.849282700000e-10,1.032336893277e-11,10,-1.868583000000e-10;-1.796945000000e-10;-1.934321000000e-10;-1.934743000000e-10;-2.032086000000e-10;-1.730363000000e-10;-1.807480000000e-10;-1.684009000000e-10;-1.930529000000e-10;-1.773768000000e-10
0.0,-0.940000,-0.940000,-1.837778400000e-10,9.325722095709e-12,10,-1.804951000000e-10;-1.638498000000e-10;-1.901452000000e-10;-1.959184000000e-10;-1.871111000000e-10;-1.917044000000e-10;-1.775453000000e-10;-1.916623000000e-10;-1.739634000000e-10;-1.853834000000e-10
0.0,-0.930000,-0.930000,-1.827159200000e-10,8.449727649315e-12,10,-1.810008000000e-10;-1.959606000000e-10;-1.847513000000e-10;-1.905245000000e-10;-1.713507000000e-10;-1.745955000000e-10;-1.740056000000e-10;-1.941485000000e-10;-1.750169000000e-10;-1.858048000000e-10
0.0,-0.920000,-0.920000,-1.816329000000e-10,1.002070553574e-11,10,-1.981097000000e-10;-1.843299000000e-10;-1.758597000000e-10;-1.720671000000e-10;-1.778403000000e-10;-1.605629000000e-10;-1.856362000000e-10;-1.849619000000e-10;-1.917465000000e-10;-1.852148000000e-10
0.0,-0.910000,-0.910000,-1.830530300000e-10,5.109079623386e-12,10,-1.736684000000e-10;-1.878697000000e-10;-1.850463000000e-10;-1.847934000000e-10;-1.897659000000e-10;-1.758176000000e-10;-1.813379000000e-10;-1.795259000000e-10;-1.843299000000e-10;-1.883753000000e-10
0.0,-0.900000,-0.900000,-1.854339200000e-10,1.213170609797e-11,10,-1.793995000000e-10;-1.997531000000e-10;-1.825178000000e-10;-2.036721000000e-10;-1.640605000000e-10;-1.861840000000e-10;-1.874061000000e-10;-1.958762000000e-10;-1.677267000000e-10;-1.877432000000e-10
0.0,-0.890000,-0.890000,-1.849998900000e-10,1.051944326877e-11,10,-1.989103000000e-10;-1.653668000000e-10;-1.880803000000e-10;-1.833185000000e-10;-1.904402000000e-10;-1.858048000000e-10;-1.808322000000e-10;-1.953706000000e-10;-1.681481000000e-10;-1.937271000000e-10
0.0,-0.880000,-0.880000,-1.867571200000e-10,1.372986492008e-11,10,-1.691594000000e-10;-2.040514000000e-10;-1.804951000000e-10;-2.030401000000e-10;-1.803265000000e-10;-2.060320000000e-10;-1.889231000000e-10;-1.828971000000e-10;-1.636391000000e-10;-1.890074000000e-10
0.0,-0.870000,-0.870000,-1.793657800000e-10,1.257354115719e-11,10,-1.965505000000e-10;-1.802844000000e-10;-1.771239000000e-10;-1.558432000000e-10;-1.842456000000e-10;-1.786831000000e-10;-1.853834000000e-10;-1.663361000000e-10;-1.994582000000e-10;-1.697494000000e-10
0.0,-0.860000,-0.860000,-1.835291800000e-10,1.195647423506e-11,10,-1.874061000000e-10;-1.748483000000e-10;-1.936428000000e-10;-1.880382000000e-10;-2.062005000000e-10;-1.752276000000e-10;-1.895973000000e-10;-1.653247000000e-10;-1.873218000000e-10;-1.676845000000e-10
0.0,-0.850000,-0.850000,-1.862472300000e-10,1.214127167566e-11,10,-1.744269000000e-10;-1.961291000000e-10;-1.893024000000e-10;-2.037564000000e-10;-1.879539000000e-10;-1.909037000000e-10;-1.643555000000e-10;-1.772925000000e-10;-1.765339000000e-10;-2.018180000000e-10
0.0,-0.840000,-0.840000,-1.824082600000e-10,1.493009275579e-11,10,-2.032086000000e-10;-1.869004000000e-10;-1.824335000000e-10;-1.705500000000e-10;-1.825600000000e-10;-1.549161000000e-10;-1.951177000000e-10;-1.766604000000e-10;-2.040514000000e-10;-1.676845000000e-10
