LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
12.0,-5.000000,-5.000000,-3.453787000000e-09,7.823511441802e-11,3,-3.557653000000e-09;-3.434869000000e-09;-3.368839000000e-09
12.0,-4.900000,-4.900000,-3.377633000000e-09,4.228787232765e-11,3,-3.409080000000e-09;-3.317856000000e-09;-3.405963000000e-09
12.0,-4.800000,-4.800000,-3.344486000000e-09,2.582130377550e-11,3,-3.329950000000e-09;-3.380765000000e-09;-3.322743000000e-09
12.0,-4.700000,-4.700000,-3.339711333333e-09,2.868896449082e-11,3,-3.313644000000e-09;-3.379670000000e-09;-3.325820000000e-09
12.0,-4.600000,-4.600000,-3.329234333333e-09,1.927863052421e-11,3,-3.315288000000e-09;-3.315919000000e-09;-3.356496000000e-09
12.0,-4.500000,-4.500000,-3.322802000000e-09,1.175000258156e-11,3,-3.308461000000e-09;-3.322703000000e-09;-3.337242000000e-09
12.0,-4.400000,-4.400000,-3.303460666667e-09,1.257010475515e-11,3,-3.292491000000e-09;-3.321060000000e-09;-3.296831000000e-09
12.0,-4.300000,-4.300000,-3.301914666667e-09,1.010174721961e-11,3,-3.289752000000e-09;-3.314486000000e-09;-3.301506000000e-09
12.0,-4.200000,-4.200000,-3.313642666667e-09,3.133661365808e-12,3,-3.309219000000e-09;-3.316085000000e-09;-3.315624000000e-09
12.0,-4.100000,-4.100000,-3.302237333333e-09,2.605060246691e-12,3,-3.300834000000e-09;-3.299989000000e-09;-3.305889000000e-09
12.0,-4.000000,-4.000000,-3.295061333333e-09,7.944860029534e-12,3,-3.303996000000e-09;-3.296494000000e-09;-3.284694000000e-09
12.0,-3.900000,-3.900000,-3.291127333333e-09,1.546532845504e-11,3,-3.309512000000e-09;-3.271675000000e-09;-3.292195000000e-09
12.0,-3.800000,-3.800000,-3.280762000000e-09,1.351244295702e-11,3,-3.271674000000e-09;-3.299864000000e-09;-3.270748000000e-09
12.0,-3.700000,-3.700000,-3.268837666667e-09,2.962300689592e-11,3,-3.278963000000e-09;-3.298980000000e-09;-3.228570000000e-09
12.0,-3.600000,-3.600000,-3.288978666667e-09,4.156745375357e-11,3,-3.307744000000e-09;-3.231350000000e-09;-3.327842000000e-09
12.0,-3.500000,-3.500000,-3.258191333333e-09,4.859623163945e-11,3,-3.234973000000e-09;-3.325819000000e-09;-3.213782000000e-09
12.0,-3.400000,-3.400000,-3.254145666667e-09,8.867009537732e-11,3,-3.185253000000e-09;-3.379333000000e-09;-3.197851000000e-09
12.0,-3.300000,-3.300000,-3.257798000000e-09,4.936680699282e-11,3,-3.323165000000e-09;-3.203878000000e-09;-3.246351000000e-09
12.0,-3.200000,-3.200000,-3.270775333333e-09,3.291490674789e-11,3,-3.281702000000e-09;-3.226126000000e-09;-3.304498000000e-09
