LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
4.0,-2.000000,-2.000000,-8.396947000000e-10,2.027222345852e-11,10,-8.458171000000e-10;-8.636831000000e-10;-8.275724000000e-10;-8.538651000000e-10;-8.508311000000e-10;-8.151839000000e-10;-8.487664000000e-10;-7.993410000000e-10;-8.281201000000e-10;-8.637668000000e-10
4.0,-1.900000,-1.900000,-8.262955900000e-10,2.666231397844e-11,10,-7.780207000000e-10;-8.395392000000e-10;-8.464073000000e-10;-8.075577000000e-10;-8.428254000000e-10;-8.055772000000e-10;-8.687389000000e-10;-8.110129000000e-10;-8.545814000000e-10;-8.086952000000e-10
4.0,-1.800000,-1.800000,-8.457370300000e-10,2.714384093440e-11,10,-8.289203000000e-10;-8.393706000000e-10;-8.205778000000e-10;-8.673485000000e-10;-8.052823000000e-10;-8.575730000000e-10;-8.229792000000e-10;-8.866890000000e-10;-8.389911000000e-10;-8.896385000000e-10
4.0,-1.700000,-1.700000,-8.783587800000e-10,2.173763334592e-11,10,-8.488515000000e-10;-8.668432000000e-10;-8.769137000000e-10;-8.531489000000e-10;-9.105378000000e-10;-8.767451000000e-10;-9.102850000000e-10;-8.844134000000e-10;-9.001723000000e-10;-8.556769000000e-10
4.0,-1.600000,-1.600000,-9.159480900000e-10,1.713188699242e-11,10,-9.177850000000e-10;-8.906499000000e-10;-9.191339000000e-10;-9.346818000000e-10;-8.875738000000e-10;-9.152573000000e-10;-9.090207000000e-10;-9.343444000000e-10;-9.088524000000e-10;-9.421817000000e-10
4.0,-1.500000,-1.500000,-9.223991600000e-10,2.249471719730e-11,10,-9.487973000000e-10;-8.931783000000e-10;-9.522945000000e-10;-8.901860000000e-10;-9.497664000000e-10;-9.110856000000e-10;-9.335440000000e-10;-8.984870000000e-10;-9.246114000000e-10;-9.220411000000e-10
4.0,-1.400000,-1.400000,-9.091769800000e-10,2.768588515619e-11,10,-8.910713000000e-10;-9.303838000000e-10;-8.949057000000e-10;-9.559178000000e-10;-8.943158000000e-10;-9.292463000000e-10;-8.836551000000e-10;-9.094004000000e-10;-8.620395000000e-10;-9.408341000000e-10
4.0,-1.300000,-1.300000,-8.557821800000e-10,3.036200033482e-11,10,-9.075041000000e-10;-8.405079000000e-10;-8.990765000000e-10;-8.274036000000e-10;-8.575312000000e-10;-8.211256000000e-10;-8.842450000000e-10;-8.411821000000e-10;-8.606066000000e-10;-8.186392000000e-10
4.0,-1.200000,-1.200000,-7.970574700000e-10,2.910112220610e-11,10,-7.887231000000e-10;-8.384854000000e-10;-7.647897000000e-10;-8.386962000000e-10;-7.813913000000e-10;-8.097066000000e-10;-7.649582000000e-10;-8.118556000000e-10;-7.542982000000e-10;-8.176704000000e-10
4.0,-1.100000,-1.100000,-7.224180600000e-10,2.331253443692e-11,10,-7.620510000000e-10;-7.137211000000e-10;-7.508009000000e-10;-7.063473000000e-10;-7.408987000000e-10;-7.043249000000e-10;-7.221063000000e-10;-6.972461000000e-10;-6.882711000000e-10;-7.384132000000e-10
4.0,-1.000000,-1.000000,-6.628460700000e-10,2.244307272675e-11,10,-6.320194000000e-10;-6.761355000000e-10;-6.357697000000e-10;-6.451238000000e-10;-6.942121000000e-10;-6.403201000000e-10;-6.881024000000e-10;-6.638319000000e-10;-6.630317000000e-10;-6.899141000000e-10
4.0,-0.990000,-0.990000,-6.620075900000e-10,2.119937022331e-11,10,-6.245614000000e-10;-6.741973000000e-10;-6.428906000000e-10;-6.723855000000e-10;-6.479888000000e-10;-6.890295000000e-10;-6.507278000000e-10;-6.955184000000e-10;-6.492953000000e-10;-6.734813000000e-10
4.0,-0.980000,-0.980000,-6.691580900000e-10,2.388501542949e-11,10,-6.572167000000e-10;-6.559107000000e-10;-6.679615000000e-10;-6.452501000000e-10;-7.033555000000e-10;-6.377502000000e-10;-7.011644000000e-10;-6.549413000000e-10;-7.062629000000e-10;-6.617676000000e-10
4.0,-0.970000,-0.970000,-6.689346700000e-10,2.071121183519e-11,10,-6.506015000000e-10;-6.889450000000e-10;-6.918524000000e-10;-6.336206000000e-10;-6.813606000000e-10;-6.342947000000e-10;-6.830880000000e-10;-6.797593000000e-10;-6.791274000000e-10;-6.666972000000e-10
4.0,-0.960000,-0.960000,-6.416433400000e-10,1.981375969861e-11,10,-6.454610000000e-10;-6.321880000000e-10;-6.514864000000e-10;-6.564583000000e-10;-6.192946000000e-10;-6.556157000000e-10;-6.157548000000e-10;-6.646328000000e-10;-6.096454000000e-10;-6.658964000000e-10
4.0,-0.950000,-0.950000,-6.040411300000e-10,1.986713337042e-11,10,-6.325252000000e-10;-5.910634000000e-10;-6.326932000000e-10;-5.931281000000e-10;-6.199685000000e-10;-5.901785000000e-10;-6.200105000000e-10;-5.700795000000e-10;-5.987741000000e-10;-5.919903000000e-10
4.0,-0.940000,-0.940000,-5.759365800000e-10,1.530768066539e-11,10,-5.897149000000e-10;-5.687312000000e-10;-5.599671000000e-10;-5.758101000000e-10;-5.715123000000e-10;-5.883247000000e-10;-5.630852000000e-10;-5.966254000000e-10;-5.497701000000e-10;-5.958248000000e-10
4.0,-0.930000,-0.930000,-5.382797900000e-10,2.704701751315e-11,10,-5.515822000000e-10;-5.795602000000e-10;-5.181262000000e-10;-5.756415000000e-10;-5.592087000000e-10;-5.121007000000e-10;-5.020725000000e-10;-5.442507000000e-10;-5.042636000000e-10;-5.359916000000e-10
4.0,-0.920000,-0.920000,-5.162637200000e-10,1.689862491162e-11,10,-5.391521000000e-10;-4.956255000000e-10;-5.209490000000e-10;-4.869455000000e-10;-5.318623000000e-10;-5.082663000000e-10;-5.340958000000e-10;-5.066230000000e-10;-5.076342000000e-10;-5.314835000000e-10
4.0,-0.910000,-0.910000,-5.175742000000e-10,1.698169114017e-11,10,-4.923388000000e-10;-5.399526000000e-10;-5.082242000000e-10;-5.479585000000e-10;-5.085191000000e-10;-5.341379000000e-10;-5.125642000000e-10;-5.159773000000e-10;-4.988280000000e-10;-5.172414000000e-10
4.0,-0.900000,-0.900000,-5.172244500000e-10,2.091342521115e-11,10,-5.160617000000e-10;-4.942773000000e-10;-5.337585000000e-10;-4.929712000000e-10;-5.067494000000e-10;-5.193480000000e-10;-4.921703000000e-10;-5.377613000000e-10;-5.193060000000e-10;-5.598408000000e-10
4.0,-0.890000,-0.890000,-5.201614200000e-10,1.041868310314e-11,10,-5.177470000000e-10;-5.242359000000e-10;-5.268905000000e-10;-5.126907000000e-10;-5.142918000000e-10;-5.030416000000e-10;-5.334216000000e-10;-5.095306000000e-10;-5.387307000000e-10;-5.210338000000e-10
4.0,-0.880000,-0.880000,-5.179746100000e-10,1.260669265180e-11,10,-5.005557000000e-10;-5.004292000000e-10;-4.980695000000e-10;-5.276911000000e-10;-5.230140000000e-10;-5.289552000000e-10;-5.198962000000e-10;-5.338431000000e-10;-5.203595000000e-10;-5.269326000000e-10
