LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
0.0,-2.000000,-2.000000,-2.359984000000e-09,1.355293219123e-10,3,-2.551126000000e-09;-2.276695000000e-09;-2.252131000000e-09
0.0,-1.900000,-1.900000,-2.369352666667e-09,1.756742695338e-10,3,-2.550115000000e-09;-2.131371000000e-09;-2.426572000000e-09
0.0,-1.800000,-1.800000,-2.384774666667e-09,1.918937339681e-10,3,-2.532419000000e-09;-2.113758000000e-09;-2.508147000000e-09
0.0,-1.700000,-1.700000,-2.258493000000e-09,1.373488133986e-10,3,-2.104192000000e-09;-2.437822000000e-09;-2.233465000000e-09
0.0,-1.600000,-1.600000,-2.216709333333e-09,1.538159281595e-10,3,-2.021186000000e-09;-2.397036000000e-09;-2.231906000000e-09
0.0,-1.500000,-1.500000,-2.150991666667e-09,1.369786369848e-10,3,-2.002057000000e-09;-2.332737000000e-09;-2.118181000000e-09
0.0,-1.400000,-1.400000,-1.980932333333e-09,1.377868076567e-10,3,-1.901268000000e-09;-2.174771000000e-09;-1.866758000000e-09
0.0,-1.300000,-1.300000,-2.124151666667e-09,1.427425519139e-10,3,-2.299534000000e-09;-1.949893000000e-09;-2.123028000000e-09
0.0,-1.200000,-1.200000,-1.970006000000e-09,5.528223190743e-11,3,-2.018617000000e-09;-1.892673000000e-09;-1.998728000000e-09
0.0,-1.100000,-1.100000,-1.738048333333e-09,1.577808761761e-10,3,-1.599408000000e-09;-1.958783000000e-09;-1.655954000000e-09
0.0,-1.000000,-1.000000,-1.574708600000e-09,1.376554551547e-10,5,-1.795929000000e-09;-1.467355000000e-09;-1.637120000000e-09;-1.572737000000e-09;-1.400402000000e-09
0.0,-0.990000,-0.990000,-1.439672200000e-09,8.369630054286e-11,5,-1.594562000000e-09;-1.402888000000e-09;-1.385991000000e-09;-1.456063000000e-09;-1.358857000000e-09
0.0,-0.980000,-0.980000,-1.455228600000e-09,1.260934861753e-10,5,-1.604170000000e-09;-1.282422000000e-09;-1.575727000000e-09;-1.342634000000e-09;-1.471190000000e-09
0.0,-0.970000,-0.970000,-1.339490400000e-09,3.988266273257e-11,5,-1.287816000000e-09;-1.403730000000e-09;-1.330583000000e-09;-1.314530000000e-09;-1.360793000000e-09
0.0,-0.960000,-0.960000,-1.253399400000e-09,1.059452712670e-10,5,-1.189682000000e-09;-1.340106000000e-09;-1.160145000000e-09;-1.417720000000e-09;-1.159344000000e-09
0.0,-0.950000,-0.950000,-1.232129000000e-09,1.173334360036e-10,5,-1.345541000000e-09;-1.084427000000e-09;-1.301088000000e-09;-1.094792000000e-09;-1.334797000000e-09
0.0,-0.940000,-0.940000,-1.211052600000e-09,5.452848785213e-11,5,-1.207336000000e-09;-1.144891000000e-09;-1.253812000000e-09;-1.160271000000e-09;-1.288953000000e-09
0.0,-0.930000,-0.930000,-1.236882000000e-09,9.482241069072e-11,5,-1.141099000000e-09;-1.332563000000e-09;-1.159724000000e-09;-1.369558000000e-09;-1.181466000000e-09
0.0,-0.920000,-0.920000,-1.242342800000e-09,6.525254659061e-11,5,-1.333322000000e-09;-1.153529000000e-09;-1.272984000000e-09;-1.183235000000e-09;-1.268644000000e-09
0.0,-0.910000,-0.910000,-1.177125000000e-09,3.768504102691e-11,5,-1.144217000000e-09;-1.224233000000e-09;-1.145397000000e-09;-1.222210000000e-09;-1.149568000000e-09
0.0,-0.900000,-0.900000,-1.121759000000e-09,1.616096373364e-11,5,-1.100860000000e-09;-1.129680000000e-09;-1.104273000000e-09;-1.141268000000e-09;-1.132714000000e-09
0.0,-0.890000,-0.890000,-1.057021600000e-09,1.907905396606e-11,5,-1.067277000000e-09;-1.034623000000e-09;-1.086828000000e-09;-1.057376000000e-09;-1.039004000000e-09
0.0,-0.880000,-0.880000,-9.763403200000e-10,2.404536755256e-11,5,-9.883997000000e-10;-9.916437000000e-10;-1.005296000000e-09;-9.547751000000e-10;-9.415871000000e-10
0.0,-0.870000,-0.870000,-8.765717400000e-10,2.808621728839e-11,5,-8.587906000000e-10;-9.286518000000e-10;-8.560517000000e-10;-8.838187000000e-10;-8.555459000000e-10
0.0,-0.860000,-0.860000,-7.828956000000e-10,1.266304140450e-11,5,-7.997585000000e-10;-7.961764000000e-10;-7.773422000000e-10;-7.725809000000e-10;-7.686200000000e-10
0.0,-0.850000,-0.850000,-6.812055400000e-10,6.002538601159e-12,5,-6.834638000000e-10;-6.787871000000e-10;-6.824107000000e-10;-6.898265000000e-10;-6.715396000000e-10
0.0,-0.840000,-0.840000,-5.931758400000e-10,2.961301434313e-11,5,-6.031535000000e-10;-5.371270000000e-10;-6.237157000000e-10;-6.076621000000e-10;-5.942209000000e-10
0.0,-0.830000,-0.830000,-5.214104800000e-10,4.057557955980e-11,5,-5.598804000000e-10;-4.800754000000e-10;-5.677597000000e-10;-4.684460000000e-10;-5.308909000000e-10
0.0,-0.820000,-0.820000,-4.075936600000e-10,2.124563187619e-11,5,-3.933180000000e-10;-4.407207000000e-10;-3.887675000000e-10;-4.249198000000e-10;-3.902423000000e-10
0.0,-0.810000,-0.810000,-3.443985600000e-10,2.569777181318e-11,5,-3.502976000000e-10;-3.104373000000e-10;-3.778964000000e-10;-3.195806000000e-10;-3.637809000000e-10
0.0,-0.800000,-0.800000,-2.598575800000e-10,5.332401722370e-11,5,-2.856193000000e-10;-2.238064000000e-10;-3.149878000000e-10;-1.733700000000e-10;-3.015044000000e-10
0.0,-0.790000,-0.790000,-1.180406960000e-10,4.963277010963e-11,5,-5.067899000000e-11;-1.881175000000e-10;-9.377996000000e-11;-1.608136000000e-10;-9.681343000000e-11
0.0,-0.780000,-0.780000,-6.091707240000e-11,6.444414603917e-11,5,-1.358276000000e-10;3.510153000000e-11;-9.693985000000e-11;-5.892842000000e-12;-1.010266000000e-10
