LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
0.0,-2.000000,-2.000000,-2.033081333333e-10,2.070829074813e-11,3,-2.235217000000e-10;-2.115537000000e-10;-1.748490000000e-10
0.0,-1.900000,-1.900000,-2.016506000000e-10,1.004199166135e-11,3,-2.087724000000e-10;-1.874491000000e-10;-2.087303000000e-10
0.0,-1.800000,-1.800000,-1.895281000000e-10,1.999781340314e-11,3,-2.092781000000e-10;-1.621225000000e-10;-1.971837000000e-10
0.0,-1.700000,-1.700000,-1.772650666667e-10,1.021724977031e-11,3,-1.761132000000e-10;-1.903147000000e-10;-1.653673000000e-10
0.0,-1.600000,-1.600000,-1.818724666667e-10,1.697227416903e-11,3,-1.663365000000e-10;-2.054854000000e-10;-1.737955000000e-10
0.0,-1.500000,-1.500000,-1.519981266667e-10,9.467999053784e-11,3,-1.927167000000e-10;-2.117188000000e-11;-2.421058000000e-10
0.0,-1.400000,-1.400000,-1.959756333333e-10,2.018071841640e-11,3,-2.089410000000e-10;-1.674744000000e-10;-2.115115000000e-10
0.0,-1.300000,-1.300000,-1.752704000000e-10,1.823967086673e-11,3,-1.531886000000e-10;-1.978579000000e-10;-1.747647000000e-10
0.0,-1.200000,-1.200000,-1.658730000000e-10,2.207550268873e-11,3,-1.563492000000e-10;-1.963830000000e-10;-1.448868000000e-10
0.0,-1.100000,-1.100000,-1.911715666667e-10,2.104201647883e-11,3,-1.989114000000e-10;-1.624175000000e-10;-2.121858000000e-10
0.0,-1.000000,-1.000000,-1.823795600000e-10,2.229154745262e-11,10,-1.685700000000e-10;-2.056539000000e-10;-1.670951000000e-10;-2.243223000000e-10;-1.945288000000e-10;-1.600154000000e-10;-1.988693000000e-10;-1.569813000000e-10;-1.902304000000e-10;-1.575291000000e-10
0.0,-0.990000,-0.990000,-1.877103600000e-10,2.893253677323e-11,10,-1.585826000000e-10;-2.185490000000e-10;-1.751439000000e-10;-2.204875000000e-10;-1.562649000000e-10;-2.023248000000e-10;-1.486374000000e-10;-2.204454000000e-10;-1.606054000000e-10;-2.160627000000e-10
0.0,-0.980000,-0.980000,-1.831128100000e-10,2.353363993986e-11,10,-1.940231000000e-10;-1.674322000000e-10;-1.989114000000e-10;-1.535257000000e-10;-2.106687000000e-10;-1.583719000000e-10;-2.095731000000e-10;-1.633867000000e-10;-2.154306000000e-10;-1.598047000000e-10
