LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
5.0,-2.000000,-2.000000,-3.510025000000e-10,1.046141136017e-11,3,-3.647952000000e-10;-3.487411000000e-10;-3.394712000000e-10
5.0,-1.900000,-1.900000,-3.095826333333e-10,2.895245689175e-11,3,-3.032762000000e-10;-3.477721000000e-10;-2.776996000000e-10
5.0,-1.800000,-1.800000,-3.226307333333e-10,2.088063812328e-11,3,-3.242600000000e-10;-3.473506000000e-10;-2.962816000000e-10
5.0,-1.700000,-1.700000,-3.269005333333e-10,2.622310186996e-11,3,-3.372379000000e-10;-2.908882000000e-10;-3.525755000000e-10
5.0,-1.600000,-1.600000,-3.048352333333e-10,1.506243528171e-11,3,-2.983462000000e-10;-2.905089000000e-10;-3.256506000000e-10
5.0,-1.500000,-1.500000,-2.858318333333e-10,2.173453265157e-11,3,-2.647637000000e-10;-3.157485000000e-10;-2.769833000000e-10
5.0,-1.400000,-1.400000,-2.750871333333e-10,1.028429177089e-11,3,-2.692724000000e-10;-2.895397000000e-10;-2.664493000000e-10
5.0,-1.300000,-1.300000,-2.510133333333e-10,1.412850103734e-11,3,-2.703679000000e-10;-2.370381000000e-10;-2.456340000000e-10
5.0,-1.200000,-1.200000,-2.296222000000e-10,1.813098133380e-11,3,-2.444120000000e-10;-2.040877000000e-10;-2.403669000000e-10
5.0,-1.100000,-1.100000,-1.742833333333e-10,1.750274731679e-11,3,-1.823454000000e-10;-1.499848000000e-10;-1.905198000000e-10
5.0,-1.000000,-1.000000,-8.643427000000e-11,2.018605990527e-11,3,-7.591522000000e-11;-1.146770000000e-10;-6.871059000000e-11
5.0,-0.990000,-0.990000,-6.167448000000e-11,2.005326800730e-11,3,-5.838816000000e-11;-8.771232000000e-11;-3.892296000000e-11
5.0,-0.980000,-0.980000,-5.817746333333e-11,1.412714703991e-11,3,-7.119638000000e-11;-3.854378000000e-11;-6.479223000000e-11
5.0,-0.970000,-0.970000,-3.643714333333e-11,7.658870833808e-12,3,-2.560917000000e-11;-4.208286000000e-11;-4.161940000000e-11
5.0,-0.960000,-0.960000,-3.022959633333e-11,2.248757748952e-11,3,-5.998915000000e-11;-5.638309000000e-12;-2.506133000000e-11
5.0,-0.950000,-0.950000,-3.051051666667e-11,1.594745749277e-11,3,-3.163406000000e-11;-1.044143000000e-11;-4.945606000000e-11
5.0,-0.940000,-0.940000,-9.683037333333e-12,2.256556790936e-12,3,-7.407935000000e-12;-1.275863000000e-11;-8.882547000000e-12
5.0,-0.930000,-0.930000,4.993129333333e-12,1.065455346277e-11,3,1.732386000000e-11;-8.671841000000e-12;6.327369000000e-12
5.0,-0.920000,-0.920000,2.454253666667e-11,1.146657135476e-11,3,1.155170000000e-11;3.944343000000e-11;2.263248000000e-11
5.0,-0.910000,-0.910000,3.177530666667e-11,1.298960198520e-11,3,4.845983000000e-11;1.677612000000e-11;3.008997000000e-11
5.0,-0.900000,-0.900000,5.180216666667e-11,1.261641121594e-11,3,5.646485000000e-11;3.455589000000e-11;6.438576000000e-11
5.0,-0.890000,-0.890000,6.234939333333e-11,7.886812476708e-12,3,5.625422000000e-11;7.348644000000e-11;5.730752000000e-11
5.0,-0.880000,-0.880000,9.189826666667e-11,8.210191840184e-12,3,1.030634000000e-10;8.355604000000e-11;8.907536000000e-11
5.0,-0.870000,-0.870000,1.087230333333e-10,1.151462593120e-11,3,9.248810000000e-11;1.179360000000e-10;1.157450000000e-10
5.0,-0.860000,-0.860000,1.170933333333e-10,5.810684725190e-12,3,1.187364000000e-10;1.092989000000e-10;1.232447000000e-10
5.0,-0.850000,-0.850000,1.309269666667e-10,8.540528614527e-12,3,1.430050000000e-10;1.249301000000e-10;1.248458000000e-10
5.0,-0.840000,-0.840000,1.626245333333e-10,5.150545431527e-12,3,1.572035000000e-10;1.695483000000e-10;1.611218000000e-10
5.0,-0.830000,-0.830000,1.739863666667e-10,6.775271635555e-12,3,1.668099000000e-10;1.720764000000e-10;1.830728000000e-10
5.0,-0.820000,-0.820000,1.989286000000e-10,5.760587671989e-12,3,1.909093000000e-10;2.041811000000e-10;2.016954000000e-10
5.0,-0.810000,-0.810000,2.284493333333e-10,1.091958596905e-11,3,2.438698000000e-10;2.200229000000e-10;2.214553000000e-10
5.0,-0.800000,-0.800000,2.410471000000e-10,6.423313492272e-12,3,2.351487000000e-10;2.380134000000e-10;2.499792000000e-10
5.0,-0.790000,-0.790000,2.740788666667e-10,5.011611725006e-12,3,2.795140000000e-10;2.674219000000e-10;2.753007000000e-10
5.0,-0.780000,-0.780000,2.886284666667e-10,1.724878610866e-11,3,3.018018000000e-10;2.998218000000e-10;2.642618000000e-10
5.0,-0.770000,-0.770000,3.134866666667e-10,8.161340845038e-12,3,3.229945000000e-10;3.030660000000e-10;3.143995000000e-10
5.0,-0.760000,-0.760000,3.379374666667e-10,7.405936089531e-12,3,3.291457000000e-10;3.472629000000e-10;3.374038000000e-10
5.0,-0.750000,-0.750000,3.525573666667e-10,1.566731811858e-11,3,3.312102000000e-10;3.683711000000e-10;3.580908000000e-10
5.0,-0.740000,-0.740000,3.865864333333e-10,1.151423285513e-11,3,3.920917000000e-10;3.705622000000e-10;3.971054000000e-10
5.0,-0.730000,-0.730000,4.182839333333e-10,9.663350326304e-12,3,4.291260000000e-10;4.056582000000e-10;4.200676000000e-10
5.0,-0.720000,-0.720000,4.328899333333e-10,1.354968250362e-11,3,4.280304000000e-10;4.513721000000e-10;4.192673000000e-10
5.0,-0.710000,-0.710000,4.604446666667e-10,1.376566920454e-11,3,4.770310000000e-10;4.433248000000e-10;4.609782000000e-10
