LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
24.0,-5.000000,-5.000000,-2.326678333333e-09,4.959189014569e-11,3,-2.395192000000e-09;-2.305400000000e-09;-2.279443000000e-09
24.0,-4.900000,-4.900000,-2.254275000000e-09,4.532837595444e-12,3,-2.258840000000e-09;-2.248095000000e-09;-2.255890000000e-09
24.0,-4.800000,-4.800000,-2.233516333333e-09,8.261100263013e-12,3,-2.222646000000e-09;-2.242659000000e-09;-2.235244000000e-09
24.0,-4.700000,-4.700000,-2.209723333333e-09,4.947836047764e-12,3,-2.216577000000e-09;-2.207518000000e-09;-2.205075000000e-09
24.0,-4.600000,-4.600000,-2.201577666667e-09,1.149333790603e-11,3,-2.217757000000e-09;-2.192140000000e-09;-2.194836000000e-09
24.0,-4.500000,-4.500000,-2.191830000000e-09,3.797837367064e-12,3,-2.193151000000e-09;-2.186661000000e-09;-2.195678000000e-09
24.0,-4.400000,-4.400000,-2.175931000000e-09,2.052096976266e-12,3,-2.173052000000e-09;-2.177687000000e-09;-2.177054000000e-09
24.0,-4.300000,-4.300000,-2.165396333333e-09,9.362619517113e-12,3,-2.152826000000e-09;-2.168079000000e-09;-2.175284000000e-09
24.0,-4.200000,-4.200000,-2.171646666667e-09,3.078245965192e-12,3,-2.168332000000e-09;-2.170860000000e-09;-2.175748000000e-09
24.0,-4.100000,-4.100000,-2.155790333333e-09,6.445854964411e-12,3,-2.164541000000e-09;-2.149203000000e-09;-2.153627000000e-09
24.0,-4.000000,-4.000000,-2.145410666667e-09,4.387537375593e-12,3,-2.139975000000e-09;-2.150720000000e-09;-2.145537000000e-09
24.0,-3.900000,-3.900000,-2.145677000000e-09,7.193796077177e-12,3,-2.137025000000e-09;-2.145368000000e-09;-2.154638000000e-09
24.0,-3.800000,-3.800000,-2.129947666667e-09,3.639650196867e-12,3,-2.129568000000e-09;-2.134583000000e-09;-2.125692000000e-09
24.0,-3.700000,-3.700000,-2.126393000000e-09,1.006990327660e-11,3,-2.120045000000e-09;-2.140607000000e-09;-2.118527000000e-09
24.0,-3.600000,-3.600000,-2.111183000000e-09,7.844517703467e-12,3,-2.111154000000e-09;-2.101590000000e-09;-2.120805000000e-09
24.0,-3.500000,-3.500000,-2.112137666667e-09,9.967313156290e-12,3,-2.119623000000e-09;-2.098051000000e-09;-2.118739000000e-09
24.0,-3.400000,-3.400000,-2.119202666667e-09,8.698219025883e-12,3,-2.118570000000e-09;-2.108880000000e-09;-2.130158000000e-09
24.0,-3.300000,-3.300000,-2.097418333333e-09,2.534473296148e-12,3,-2.100158000000e-09;-2.098050000000e-09;-2.094047000000e-09
24.0,-3.200000,-3.200000,-2.099847666667e-09,7.615215572932e-12,3,-2.090086000000e-09;-2.100789000000e-09;-2.108668000000e-09
24.0,-3.100000,-3.100000,-2.100592333333e-09,5.411025554879e-12,3,-2.096112000000e-09;-2.108205000000e-09;-2.097460000000e-09
24.0,-3.000000,-3.000000,-2.105086333333e-09,1.309720136348e-11,3,-2.110269000000e-09;-2.117895000000e-09;-2.087095000000e-09
24.0,-2.900000,-2.900000,-2.098035333333e-09,1.252381955404e-11,3,-2.113303000000e-09;-2.082627000000e-09;-2.098176000000e-09
24.0,-2.800000,-2.800000,-2.083892000000e-09,4.889463024369e-12,3,-2.077108000000e-09;-2.088443000000e-09;-2.086125000000e-09
24.0,-2.700000,-2.700000,-2.076743333333e-09,4.483305650472e-12,3,-2.079215000000e-09;-2.080564000000e-09;-2.070451000000e-09
24.0,-2.600000,-2.600000,-2.082838666667e-09,1.441574440981e-11,3,-2.083008000000e-09;-2.065099000000e-09;-2.100409000000e-09
24.0,-2.500000,-2.500000,-2.074299000000e-09,1.812499274483e-11,3,-2.053808000000e-09;-2.097881000000e-09;-2.071208000000e-09
24.0,-2.400000,-2.400000,-2.084777333333e-09,1.165999503526e-11,3,-2.072600000000e-09;-2.100495000000e-09;-2.081237000000e-09
24.0,-2.300000,-2.300000,-2.066476333333e-09,9.475822931135e-12,3,-2.063710000000e-09;-2.079215000000e-09;-2.056504000000e-09
24.0,-2.200000,-2.200000,-2.073231333333e-09,1.053346987253e-11,3,-2.074790000000e-09;-2.059622000000e-09;-2.085282000000e-09
24.0,-2.100000,-2.100000,-2.053188333333e-09,1.806110148604e-11,3,-2.035772000000e-09;-2.078077000000e-09;-2.045716000000e-09
24.0,-2.000000,-2.000000,-2.071826333333e-09,9.719848981451e-12,3,-2.080772000000e-09;-2.058315000000e-09;-2.076392000000e-09
24.0,-1.900000,-1.900000,-2.058638000000e-09,1.674182363623e-11,3,-2.071082000000e-09;-2.034972000000e-09;-2.069860000000e-09
24.0,-1.800000,-1.800000,-2.048595666667e-09,1.471361628636e-11,3,-2.043568000000e-09;-2.068596000000e-09;-2.033623000000e-09
24.0,-1.700000,-1.700000,-2.035042000000e-09,1.766504199448e-11,3,-2.018539000000e-09;-2.059536000000e-09;-2.027051000000e-09
24.0,-1.600000,-1.600000,-2.041699666667e-09,9.527110171622e-12,3,-2.048161000000e-09;-2.028230000000e-09;-2.048708000000e-09
24.0,-1.500000,-1.500000,-2.038525333333e-09,1.220304432873e-11,3,-2.021741000000e-09;-2.043441000000e-09;-2.050394000000e-09
24.0,-1.400000,-1.400000,-2.013637000000e-09,5.780521833422e-12,3,-2.013525000000e-09;-2.020772000000e-09;-2.006614000000e-09
