LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
12.0,-5.000000,-5.000000,-3.316792666667e-10,5.363192469766e-11,3,-4.075257000000e-10;-2.940089000000e-10;-2.935032000000e-10
12.0,-4.900000,-4.900000,-2.813257000000e-10,4.162907817860e-12,3,-2.813257000000e-10;-2.762272000000e-10;-2.864242000000e-10
12.0,-4.800000,-4.800000,-2.538384000000e-10,1.878135411465e-11,3,-2.407057000000e-10;-2.803987000000e-10;-2.404108000000e-10
12.0,-4.700000,-4.700000,-2.644569000000e-10,8.293261748351e-12,3,-2.531361000000e-10;-2.674627000000e-10;-2.727719000000e-10
12.0,-4.600000,-4.600000,-2.522372000000e-10,1.881605430052e-11,3,-2.394838000000e-10;-2.788396000000e-10;-2.383882000000e-10
12.0,-4.500000,-4.500000,-2.734320000000e-10,9.102713184906e-12,3,-2.838117000000e-10;-2.616478000000e-10;-2.748365000000e-10
12.0,-4.400000,-4.400000,-2.463942666667e-10,1.350621185019e-11,3,-2.352280000000e-10;-2.385568000000e-10;-2.653980000000e-10
12.0,-4.300000,-4.300000,-2.305226000000e-10,2.752208819742e-11,3,-2.107464000000e-10;-2.694430000000e-10;-2.113784000000e-10
12.0,-4.200000,-4.200000,-2.474897333333e-10,2.363405962114e-11,3,-2.625748000000e-10;-2.141173000000e-10;-2.657771000000e-10
12.0,-4.100000,-4.100000,-2.335986000000e-10,2.246579926867e-11,3,-2.214070000000e-10;-2.651029000000e-10;-2.142859000000e-10
12.0,-4.000000,-4.000000,-2.449896333333e-10,2.332775636023e-11,3,-2.446245000000e-10;-2.166034000000e-10;-2.737410000000e-10
12.0,-3.900000,-3.900000,-2.430373000000e-10,4.813537402645e-12,3,-2.374190000000e-10;-2.425176000000e-10;-2.491753000000e-10
12.0,-3.800000,-3.800000,-2.427142333333e-10,2.597112488365e-11,3,-2.226289000000e-10;-2.793874000000e-10;-2.261264000000e-10
12.0,-3.700000,-3.700000,-2.500882000000e-10,2.599281374188e-11,3,-2.765221000000e-10;-2.147494000000e-10;-2.589931000000e-10
12.0,-3.600000,-3.600000,-2.355228666667e-10,2.685148484440e-11,3,-2.270955000000e-10;-2.718027000000e-10;-2.076704000000e-10
12.0,-3.500000,-3.500000,-2.428687333333e-10,2.304969014171e-11,3,-2.217020000000e-10;-2.749209000000e-10;-2.319833000000e-10
