LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A,Wavelength_nm,Comment
2.9,-5.000000,-5.000000,-2.106325333333e-09,9.533522849865e-11,3,-2.228106000000e-09;-2.095538000000e-09;-1.995332000000e-09,402,
2.9,-4.980000,-4.980000,-1.866611666667e-09,2.062161251912e-11,3,-1.886066000000e-09;-1.875700000000e-09;-1.838069000000e-09,402,
2.9,-4.960000,-4.960000,-1.789370666667e-09,1.100951262419e-11,3,-1.796774000000e-09;-1.797531000000e-09;-1.773807000000e-09,402,
2.9,-4.940000,-4.940000,-1.749633666667e-09,1.646353559301e-11,3,-1.771743000000e-09;-1.732258000000e-09;-1.744900000000e-09,402,
2.9,-4.920000,-4.920000,-1.713338666667e-09,1.448692836855e-11,3,-1.732849000000e-09;-1.698169000000e-09;-1.708998000000e-09,402,
2.9,-4.900000,-4.900000,-1.693884000000e-09,1.320452566357e-11,3,-1.712495000000e-09;-1.683251000000e-09;-1.685906000000e-09,402,
2.9,-4.880000,-4.880000,-1.663951000000e-09,3.226932082748e-12,3,-1.660327000000e-09;-1.668165000000e-09;-1.663361000000e-09,402,
2.9,-4.860000,-4.860000,-1.651871333333e-09,8.714420781415e-12,3,-1.656703000000e-09;-1.639637000000e-09;-1.659274000000e-09,402,
2.9,-4.840000,-4.840000,-1.634580333333e-09,7.967649018932e-12,3,-1.624678000000e-09;-1.644188000000e-09;-1.634875000000e-09,402,
2.9,-4.820000,-4.820000,-1.631757000000e-09,1.035305339823e-11,3,-1.639721000000e-09;-1.617135000000e-09;-1.638415000000e-09,402,
2.9,-4.800000,-4.800000,-1.618428000000e-09,2.768514523470e-12,3,-1.614691000000e-09;-1.621308000000e-09;-1.619285000000e-09,402,
2.9,-4.780000,-4.780000,-1.603903333333e-09,9.061161600786e-12,3,-1.600701000000e-09;-1.616250000000e-09;-1.594759000000e-09,402,
2.9,-4.760000,-4.760000,-1.597583000000e-09,7.227800818137e-12,3,-1.588860000000e-09;-1.606559000000e-09;-1.597330000000e-09,402,
2.9,-4.740000,-4.740000,-1.586879000000e-09,1.202412150637e-11,3,-1.584857000000e-09;-1.602512000000e-09;-1.573268000000e-09,402,
2.9,-4.720000,-4.720000,-1.581331000000e-09,8.862146053111e-12,3,-1.569771000000e-09;-1.591304000000e-09;-1.582918000000e-09,402,
2.9,-4.700000,-4.700000,-1.583999666667e-09,6.818103173823e-12,3,-1.593074000000e-09;-1.582286000000e-09;-1.576639000000e-09,402,
2.9,-4.680000,-4.680000,-1.566807000000e-09,5.210780043973e-12,3,-1.559868000000e-09;-1.572425000000e-09;-1.568128000000e-09,402,
2.9,-4.660000,-4.660000,-1.561048333333e-09,1.000061869197e-11,3,-1.557719000000e-09;-1.574617000000e-09;-1.550809000000e-09,402,
2.9,-4.640000,-4.640000,-1.559363000000e-09,1.200354755895e-11,3,-1.553253000000e-09;-1.576134000000e-09;-1.548702000000e-09,402,
2.9,-4.620000,-4.620000,-1.556483333333e-09,9.065486835000e-12,3,-1.544488000000e-09;-1.566400000000e-09;-1.558562000000e-09,402,
2.9,-4.600000,-4.600000,-1.552662666667e-09,7.088989506426e-12,3,-1.544656000000e-09;-1.561891000000e-09;-1.551441000000e-09,402,
2.9,-4.580000,-4.580000,-1.546173666667e-09,8.239616347595e-12,3,-1.551356000000e-09;-1.534544000000e-09;-1.552621000000e-09,402,
2.9,-4.560000,-4.560000,-1.548561000000e-09,8.450062603318e-12,3,-1.546257000000e-09;-1.539558000000e-09;-1.559868000000e-09,402,
2.9,-4.540000,-4.540000,-1.534360000000e-09,2.381271229127e-12,3,-1.535807000000e-09;-1.536270000000e-09;-1.531003000000e-09,402,
2.9,-4.520000,-4.520000,-1.529402000000e-09,6.412182207850e-12,3,-1.526031000000e-09;-1.538378000000e-09;-1.523797000000e-09,402,
2.9,-4.500000,-4.500000,-1.520243333333e-09,5.527453020053e-12,3,-1.522912000000e-09;-1.512546000000e-09;-1.525272000000e-09,402,
2.9,-4.480000,-4.480000,-1.526521666667e-09,2.145600822355e-12,3,-1.527505000000e-09;-1.523544000000e-09;-1.528516000000e-09,402,
2.9,-4.460000,-4.460000,-1.524050000000e-09,6.634578258387e-12,3,-1.531256000000e-09;-1.525651000000e-09;-1.515243000000e-09,402,
2.9,-4.440000,-4.440000,-1.512054000000e-09,4.321616441410e-12,3,-1.508627000000e-09;-1.518150000000e-09;-1.509385000000e-09,402,
2.9,-4.420000,-4.420000,-1.518530000000e-09,3.221707725208e-12,3,-1.521901000000e-09;-1.514190000000e-09;-1.519499000000e-09,402,
2.9,-4.400000,-4.400000,-1.506211000000e-09,7.763212522317e-12,3,-1.495438000000e-09;-1.513430000000e-09;-1.509765000000e-09,402,
2.9,-4.380000,-4.380000,-1.504595666667e-09,6.164958195767e-12,3,-1.496070000000e-09;-1.507279000000e-09;-1.510438000000e-09,402,
2.9,-4.360000,-4.360000,-1.510986666667e-09,2.347937723952e-12,3,-1.513220000000e-09;-1.511998000000e-09;-1.507742000000e-09,402,
2.9,-4.340000,-4.340000,-1.498949000000e-09,4.240514434201e-12,3,-1.493457000000e-09;-1.499609000000e-09;-1.503781000000e-09,402,
2.9,-4.320000,-4.320000,-1.490169333333e-09,1.940296426380e-12,3,-1.488948000000e-09;-1.492908000000e-09;-1.488652000000e-09,402,
2.9,-4.300000,-4.300000,-1.485057000000e-09,2.069205805778e-12,3,-1.482627000000e-09;-1.487684000000e-09;-1.484860000000e-09,402,
2.9,-4.280000,-4.280000,-1.479031333333e-09,5.267188834874e-12,3,-1.473610000000e-09;-1.477318000000e-09;-1.486166000000e-09,402,
2.9,-4.260000,-4.260000,-1.480183000000e-09,3.811270654257e-12,3,-1.482037000000e-09;-1.483639000000e-09;-1.474873000000e-09,402,
2.9,-4.240000,-4.240000,-1.477134666667e-09,1.060722239273e-11,3,-1.478961000000e-09;-1.489116000000e-09;-1.463327000000e-09,402,
2.9,-4.220000,-4.220000,-1.474381333333e-09,2.160121961577e-12,3,-1.473272000000e-09;-1.472471000000e-09;-1.477401000000e-09,402,
2.9,-4.200000,-4.200000,-1.465645000000e-09,4.630279977136e-12,3,-1.459240000000e-09;-1.467668000000e-09;-1.470027000000e-09,402,
2.9,-4.180000,-4.180000,-1.463172333333e-09,9.395033345101e-12,3,-1.468889000000e-09;-1.449927000000e-09;-1.470701000000e-09,402,
2.9,-4.160000,-4.160000,-1.458720333333e-09,6.759582547926e-12,3,-1.450011000000e-09;-1.466488000000e-09;-1.459662000000e-09,402,
2.9,-4.140000,-4.140000,-1.461430666667e-09,1.408649150388e-11,3,-1.458355000000e-09;-1.445923000000e-09;-1.480014000000e-09,402,
2.9,-4.120000,-4.120000,-1.464422666667e-09,2.315476086875e-11,3,-1.486040000000e-09;-1.432313000000e-09;-1.474915000000e-09,402,
2.9,-4.100000,-4.100000,-1.448662333333e-09,1.644532643506e-11,3,-1.438212000000e-09;-1.471881000000e-09;-1.435894000000e-09,402,
2.9,-4.080000,-4.080000,-1.459323666667e-09,1.022976775016e-11,3,-1.465434000000e-09;-1.444912000000e-09;-1.467625000000e-09,402,
2.9,-4.060000,-4.060000,-1.446429000000e-09,7.633852107554e-12,3,-1.440656000000e-09;-1.441415000000e-09;-1.457216000000e-09,402,
2.9,-4.040000,-4.040000,-1.439686666667e-09,2.495045267904e-12,3,-1.436863000000e-09;-1.439266000000e-09;-1.442931000000e-09,402,
2.9,-4.020000,-4.020000,-1.443535666667e-09,3.421519577939e-12,3,-1.438760000000e-09;-1.446598000000e-09;-1.445249000000e-09,402,
2.9,-4.000000,-4.000000,-1.426904666667e-09,2.607595614525e-12,3,-1.428056000000e-09;-1.423295000000e-09;-1.429363000000e-09,402,
2.9,-3.980000,-3.980000,-1.422648666667e-09,6.048724622229e-12,3,-1.414867000000e-09;-1.429616000000e-09;-1.423463000000e-09,402,
2.9,-3.960000,-3.960000,-1.424742000000e-09,1.093581577509e-12,3,-1.425318000000e-09;-1.423211000000e-09;-1.425697000000e-09,402,
2.9,-3.940000,-3.940000,-1.419418333333e-09,6.030543609180e-12,3,-1.415626000000e-09;-1.427930000000e-09;-1.414699000000e-09,402,
