LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
12.0,-2.000000,-2.000000,-8.394367333333e-10,2.968248803962e-12,3,-8.436089000000e-10;-8.377513000000e-10;-8.369500000000e-10
12.0,-1.900000,-1.900000,-7.930798666667e-10,3.832266217556e-12,3,-7.918577000000e-10;-7.982636000000e-10;-7.891183000000e-10
12.0,-1.800000,-1.800000,-7.737787333333e-10,3.808735759044e-12,3,-7.789201000000e-10;-7.725989000000e-10;-7.698172000000e-10
12.0,-1.700000,-1.700000,-7.585230333333e-10,1.076422929098e-11,3,-7.682581000000e-10;-7.435202000000e-10;-7.637908000000e-10
12.0,-1.600000,-1.600000,-7.561206333333e-10,1.433150575046e-11,3,-7.385471000000e-10;-7.736519000000e-10;-7.561629000000e-10
12.0,-1.500000,-1.500000,-7.454305000000e-10,6.529070239067e-12,3,-7.393057000000e-10;-7.544769000000e-10;-7.425089000000e-10
12.0,-1.400000,-1.400000,-7.389968000000e-10,4.667570959289e-12,3,-7.442365000000e-10;-7.329001000000e-10;-7.398538000000e-10
12.0,-1.300000,-1.300000,-7.186560000000e-10,9.202776085870e-12,3,-7.178976000000e-10;-7.077833000000e-10;-7.302871000000e-10
12.0,-1.200000,-1.200000,-6.857426666667e-10,5.027715652483e-12,3,-6.809805000000e-10;-6.926963000000e-10;-6.835512000000e-10
12.0,-1.100000,-1.100000,-6.545150333333e-10,8.118581625027e-12,3,-6.433050000000e-10;-6.622691000000e-10;-6.579710000000e-10
12.0,-1.000000,-1.000000,-6.185676000000e-10,4.519506885343e-12,3,-6.246784000000e-10;-6.171347000000e-10;-6.138897000000e-10
12.0,-0.990000,-0.990000,-6.191856333333e-10,1.227107705198e-11,3,-6.156176000000e-10;-6.062618000000e-10;-6.356775000000e-10
12.0,-0.980000,-0.980000,-6.268694333333e-10,5.813965748284e-12,3,-6.186516000000e-10;-6.307466000000e-10;-6.312101000000e-10
12.0,-0.970000,-0.970000,-6.039016333333e-10,3.760055409462e-12,3,-6.081580000000e-10;-5.990131000000e-10;-6.045338000000e-10
12.0,-0.960000,-0.960000,-6.154347000000e-10,1.738536881020e-12,3,-6.177668000000e-10;-6.135943000000e-10;-6.149430000000e-10
12.0,-0.950000,-0.950000,-5.894889666667e-10,6.909863906201e-12,3,-5.917225000000e-10;-5.966110000000e-10;-5.801334000000e-10
