LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
0,-2,-2,-3.61E-10,2.13E-11,3,-3.871165000000e-10;-3.609887000000e-10;-3.349452000000e-10
0,-1.9,-1.9,-2.83E-10,4.53E-12,3,-2.878731000000e-10;-2.835747000000e-10;-2.768742000000e-10
0,-1.8,-1.8,-2.55E-10,3.26E-12,3,-2.587112000000e-10;-2.556771000000e-10;-2.507886000000e-10
0,-1.7,-1.7,-2.28E-10,1.25E-11,3,-2.122291000000e-10;-2.426974000000e-10;-2.299285000000e-10
0,-1.6,-1.6,-2.06E-10,8.99E-12,3,-1.940239000000e-10;-2.097849000000e-10;-2.152211000000e-10
0,-1.5,-1.5,-1.90E-10,2.79E-12,3,-1.877027000000e-10;-1.890934000000e-10;-1.941925000000e-10
0,-1.4,-1.4,-1.73E-10,5.18E-13,3,-1.722789000000e-10;-1.733324000000e-10;-1.734167000000e-10
0,-1.3,-1.3,-1.74E-10,5.70E-12,3,-1.764509000000e-10;-1.659577000000e-10;-1.791901000000e-10
0,-1.2,-1.2,-1.46E-10,7.98E-12,3,-1.475840000000e-10;-1.355319000000e-10;-1.548744000000e-10
0,-1.1,-1.1,-1.34E-10,6.52E-12,3,-1.262616000000e-10;-1.346471000000e-10;-1.422320000000e-10
0,-1,-1,-1.15E-10,4.50E-12,3,-1.117241000000e-10;-1.111763000000e-10;-1.209944000000e-10
0,-0.99,-0.99,-1.22E-10,3.98E-12,3,-1.247868000000e-10;-1.160222000000e-10;-1.241126000000e-10
0,-0.98,-0.98,-1.24E-10,1.92E-12,3,-1.245340000000e-10;-1.212051000000e-10;-1.257560000000e-10
0,-0.97,-0.97,-1.23E-10,4.99E-12,3,-1.158536000000e-10;-1.276101000000e-10;-1.246604000000e-10
0,-0.96,-0.96,-1.21E-10,2.10E-12,3,-1.212894000000e-10;-1.177498000000e-10;-1.227642000000e-10
0,-0.95,-0.95,-1.13E-10,4.16E-12,3,-1.089430000000e-10;-1.124405000000e-10;-1.189718000000e-10
0,-0.94,-0.94,-1.17E-10,3.41E-12,3,-1.215844000000e-10;-1.157693000000e-10;-1.134939000000e-10
0,-0.93,-0.93,-1.23E-10,1.02E-11,3,-1.099965000000e-10;-1.227642000000e-10;-1.350263000000e-10
0,-0.92,-0.92,-1.24E-10,6.00E-12,3,-1.314446000000e-10;-1.242812000000e-10;-1.167385000000e-10
