LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
14.0,-2.000000,-2.000000,-3.576954000000e-10,1.472834412711e-11,3,-3.755629000000e-10;-3.580326000000e-10;-3.394907000000e-10
14.0,-1.900000,-1.900000,-3.388868000000e-10,9.414394326066e-12,3,-3.450533000000e-10;-3.255846000000e-10;-3.460225000000e-10
14.0,-1.800000,-1.800000,-3.347569666667e-10,2.272995932029e-11,3,-3.458539000000e-10;-3.030815000000e-10;-3.553355000000e-10
14.0,-1.700000,-1.700000,-3.287028333333e-10,4.471275094298e-12,3,-3.305149000000e-10;-3.225503000000e-10;-3.330433000000e-10
14.0,-1.600000,-1.600000,-3.259075333333e-10,4.753161795643e-12,3,-3.199377000000e-10;-3.315682000000e-10;-3.262167000000e-10
14.0,-1.500000,-1.500000,-3.153443666667e-10,1.025383294719e-11,3,-3.067478000000e-10;-3.297563000000e-10;-3.095290000000e-10
14.0,-1.400000,-1.400000,-3.158078333333e-10,3.426756554269e-12,3,-3.120152000000e-10;-3.203168000000e-10;-3.150915000000e-10
14.0,-1.300000,-1.300000,-3.283094666667e-10,4.333901935003e-12,3,-3.328326000000e-10;-3.224660000000e-10;-3.296298000000e-10
14.0,-1.200000,-1.200000,-3.218339333333e-10,6.647298970426e-12,3,-3.155129000000e-10;-3.189684000000e-10;-3.310205000000e-10
14.0,-1.100000,-1.100000,-3.107229333333e-10,7.833208152617e-12,3,-3.182520000000e-10;-3.139957000000e-10;-2.999211000000e-10
14.0,-1.000000,-1.000000,-3.079556333333e-10,9.549668512339e-12,3,-3.114673000000e-10;-2.949062000000e-10;-3.174934000000e-10
14.0,-0.990000,-0.990000,-3.029972000000e-10,1.569989291747e-11,3,-3.239831000000e-10;-2.862254000000e-10;-2.987831000000e-10
14.0,-0.980000,-0.980000,-3.035028666667e-10,1.437216649183e-11,3,-3.023229000000e-10;-2.865203000000e-10;-3.216654000000e-10
