LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
1.8,-2.000000,-2.000000,-4.456002000000e-10,9.496506580141e-12,3,-4.561222000000e-10;-4.475670000000e-10;-4.331114000000e-10
1.8,-1.900000,-1.900000,-4.309761333333e-10,4.409974281356e-12,3,-4.257363000000e-10;-4.365252000000e-10;-4.306669000000e-10
1.8,-1.800000,-1.800000,-4.191757333333e-10,4.741478909464e-12,3,-4.170966000000e-10;-4.257362000000e-10;-4.146944000000e-10
1.8,-1.700000,-1.700000,-4.241066000000e-10,8.396841942461e-12,3,-4.233340000000e-10;-4.142307000000e-10;-4.347551000000e-10
1.8,-1.600000,-1.600000,-4.198639333333e-10,2.800278624629e-12,3,-4.221117000000e-10;-4.159164000000e-10;-4.215637000000e-10
1.8,-1.500000,-1.500000,-4.145679000000e-10,1.499754868859e-13,3,-4.143572000000e-10;-4.146522000000e-10;-4.146943000000e-10
1.8,-1.400000,-1.400000,-4.153685000000e-10,1.018921149190e-11,3,-4.048325000000e-10;-4.291497000000e-10;-4.121233000000e-10
1.8,-1.300000,-1.300000,-4.098476333333e-10,4.973730273033e-12,3,-4.127134000000e-10;-4.139778000000e-10;-4.028517000000e-10
1.8,-1.200000,-1.200000,-4.061389000000e-10,1.079844431419e-11,3,-4.131769000000e-10;-3.908828000000e-10;-4.143570000000e-10
1.8,-1.100000,-1.100000,-4.211000000000e-10,4.560306556216e-12,3,-4.244294000000e-10;-4.146519000000e-10;-4.242187000000e-10
1.8,-1.000000,-1.000000,-4.148766666667e-10,1.067696279109e-11,3,-4.026829000000e-10;-4.286859000000e-10;-4.132612000000e-10
1.8,-0.990000,-0.990000,-4.094119000000e-10,1.244477585897e-11,3,-4.011656000000e-10;-4.270001000000e-10;-4.000700000000e-10
1.8,-0.980000,-0.980000,-4.010393666667e-10,3.072436095710e-12,3,-4.037367000000e-10;-4.026408000000e-10;-3.967406000000e-10
1.8,-0.970000,-0.970000,-4.155228000000e-10,1.845912492563e-11,3,-4.371147000000e-10;-3.920205000000e-10;-4.174332000000e-10
1.8,-0.960000,-0.960000,-4.237690333333e-10,6.619172145786e-12,3,-4.220271000000e-10;-4.166748000000e-10;-4.326052000000e-10
1.8,-0.950000,-0.950000,-4.123478333333e-10,1.060383440124e-11,3,-3.996063000000e-10;-4.255671000000e-10;-4.118701000000e-10
1.8,-0.940000,-0.940000,-4.097629666667e-10,1.644229275686e-11,3,-3.951389000000e-10;-4.327315000000e-10;-4.014185000000e-10
1.8,-0.930000,-0.930000,-4.058295333333e-10,3.180698032752e-12,3,-4.102265000000e-10;-4.044528000000e-10;-4.028093000000e-10
1.8,-0.920000,-0.920000,-4.165762333333e-10,4.368470348099e-12,3,-4.170959000000e-10;-4.109851000000e-10;-4.216477000000e-10
1.8,-0.910000,-0.910000,-4.062368000000e-10,1.091156057064e-11,3,-4.007019000000e-10;-4.214789000000e-10;-3.965296000000e-10
1.8,-0.900000,-0.900000,-4.159157666667e-10,1.323366385658e-11,3,-4.229960000000e-10;-3.973724000000e-10;-4.273789000000e-10
1.8,-0.890000,-0.890000,-4.096926000000e-10,9.189694463909e-12,3,-4.099736000000e-10;-4.208045000000e-10;-3.982997000000e-10
