LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
3.3,-2.000000,-2.000000,-1.994310000000e-08,1.022629290929e-11,3,-1.995750000000e-08;-1.993706000000e-08;-1.993474000000e-08
3.3,-1.900000,-1.900000,-1.982317000000e-08,3.038497435686e-12,3,-1.982040000000e-08;-1.982740000000e-08;-1.982171000000e-08
3.3,-1.800000,-1.800000,-1.964048666667e-08,9.641964991063e-12,3,-1.964917000000e-08;-1.964525000000e-08;-1.962704000000e-08
3.3,-1.700000,-1.700000,-1.937565000000e-08,4.744322923241e-12,3,-1.938025000000e-08;-1.936912000000e-08;-1.937758000000e-08
3.3,-1.600000,-1.600000,-1.899988666667e-08,6.754062152184e-12,3,-1.900928000000e-08;-1.899369000000e-08;-1.899669000000e-08
3.3,-1.500000,-1.500000,-1.843432333333e-08,8.960782455914e-12,3,-1.844198000000e-08;-1.842175000000e-08;-1.843924000000e-08
3.3,-1.400000,-1.400000,-1.764317000000e-08,4.474758838939e-12,3,-1.764309000000e-08;-1.763773000000e-08;-1.764869000000e-08
3.3,-1.300000,-1.300000,-1.652341333333e-08,6.529555029930e-12,3,-1.651487000000e-08;-1.653072000000e-08;-1.652465000000e-08
3.3,-1.200000,-1.200000,-1.498985000000e-08,3.899948717612e-12,3,-1.498545000000e-08;-1.498917000000e-08;-1.499493000000e-08
3.3,-1.100000,-1.100000,-1.291449000000e-08,6.643979731055e-12,3,-1.291246000000e-08;-1.292345000000e-08;-1.290756000000e-08
3.3,-1.000000,-1.000000,-1.019384000000e-08,4.135674068396e-12,3,-1.018933000000e-08;-1.019932000000e-08;-1.019287000000e-08
3.3,-0.990000,-0.990000,-9.882179666667e-09,7.720776831957e-12,3,-9.889808000000e-09;-9.871600000000e-09;-9.885131000000e-09
3.3,-0.980000,-0.980000,-9.557234000000e-09,2.915285349098e-12,3,-9.553371000000e-09;-9.560413000000e-09;-9.557918000000e-09
3.3,-0.970000,-0.970000,-9.227312000000e-09,3.930736656997e-12,3,-9.226496000000e-09;-9.232482000000e-09;-9.222958000000e-09
3.3,-0.960000,-0.960000,-8.899243666667e-09,3.060580482342e-12,3,-8.901817000000e-09;-8.894943000000e-09;-8.900971000000e-09
3.3,-0.950000,-0.950000,-8.547784333333e-09,1.089022330146e-11,3,-8.535747000000e-09;-8.562123000000e-09;-8.545483000000e-09
3.3,-0.940000,-0.940000,-8.196147333333e-09,3.858152263569e-12,3,-8.193829000000e-09;-8.201584000000e-09;-8.193029000000e-09
3.3,-0.930000,-0.930000,-7.830684666667e-09,6.702287486788e-12,3,-7.831766000000e-09;-7.821989000000e-09;-7.838299000000e-09
3.3,-0.920000,-0.920000,-7.467118666667e-09,2.308544178096e-12,3,-7.470382000000e-09;-7.465571000000e-09;-7.465403000000e-09
3.3,-0.910000,-0.910000,-7.094588333333e-09,6.145612002794e-12,3,-7.088001000000e-09;-7.102792000000e-09;-7.092972000000e-09
