LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
24.0,-2.000000,-2.000000,-3.163638666667e-10,2.987444898285e-11,3,-3.579162000000e-10;-2.889713000000e-10;-3.022041000000e-10
24.0,-1.900000,-1.900000,-2.441180000000e-10,1.992357137530e-11,3,-2.408028000000e-10;-2.700074000000e-10;-2.215438000000e-10
24.0,-1.800000,-1.800000,-2.043357000000e-10,1.525531055491e-11,3,-2.184674000000e-10;-1.831522000000e-10;-2.113875000000e-10
24.0,-1.700000,-1.700000,-1.859335666667e-10,1.210595729117e-11,3,-1.960056000000e-10;-1.689081000000e-10;-1.928870000000e-10
24.0,-1.600000,-1.600000,-1.645112000000e-10,8.738156606516e-12,3,-1.533154000000e-10;-1.746394000000e-10;-1.655788000000e-10
24.0,-1.500000,-1.500000,-1.397040666667e-10,1.383906479748e-11,3,-1.235645000000e-10;-1.573611000000e-10;-1.381866000000e-10
24.0,-1.400000,-1.400000,-1.270339000000e-10,6.831498577911e-12,3,-1.285790000000e-10;-1.345205000000e-10;-1.180022000000e-10
24.0,-1.300000,-1.300000,-1.186764333333e-10,1.354035094088e-11,3,-1.036330000000e-10;-1.364589000000e-10;-1.159374000000e-10
24.0,-1.200000,-1.200000,-1.069760000000e-10,5.519145284069e-13,3,-1.069198000000e-10;-1.076783000000e-10;-1.063299000000e-10
24.0,-1.100000,-1.100000,-8.965707000000e-11,1.398219115183e-11,3,-9.844998000000e-11;-6.992223000000e-11;-1.005990000000e-10
24.0,-1.000000,-1.000000,-6.650901333333e-11,3.577076047503e-12,3,-6.145237000000e-11;-6.916374000000e-11;-6.891093000000e-11
24.0,-0.990000,-0.990000,-6.384024000000e-11,1.062181924457e-11,3,-5.154984000000e-11;-7.746502000000e-11;-6.250586000000e-11
24.0,-0.980000,-0.980000,-7.679078666667e-11,6.421210806825e-12,3,-8.222668000000e-11;-6.777314000000e-11;-8.037254000000e-11
24.0,-0.970000,-0.970000,-7.076500666667e-11,4.140312234927e-12,3,-7.645371000000e-11;-6.912160000000e-11;-6.671971000000e-11
24.0,-0.960000,-0.960000,-7.367257666667e-11,8.006171397018e-12,3,-6.280085000000e-11;-8.184748000000e-11;-7.636940000000e-11
24.0,-0.950000,-0.950000,-8.044283000000e-11,1.169971312725e-12,3,-7.902416000000e-11;-8.041475000000e-11;-8.188958000000e-11
24.0,-0.940000,-0.940000,-5.777233666667e-11,4.720660318828e-12,3,-5.563728000000e-11;-6.431783000000e-11;-5.336190000000e-11
24.0,-0.930000,-0.930000,-8.080802666667e-11,4.520706924316e-12,3,-8.593486000000e-11;-8.155246000000e-11;-7.493676000000e-11
24.0,-0.920000,-0.920000,-6.732375333333e-11,1.051156069243e-11,3,-7.847637000000e-11;-5.323547000000e-11;-7.025942000000e-11
24.0,-0.910000,-0.910000,-6.611577666667e-11,2.914634873077e-12,3,-6.992228000000e-11;-6.284302000000e-11;-6.558203000000e-11
24.0,-0.900000,-0.900000,-6.992231333333e-11,1.200383109399e-11,3,-5.302477000000e-11;-7.695945000000e-11;-7.978272000000e-11
24.0,-0.890000,-0.890000,-5.926126333333e-11,2.667952125936e-12,3,-5.774429000000e-11;-5.702792000000e-11;-6.301158000000e-11
24.0,-0.880000,-0.880000,-5.254715333333e-11,6.804068228055e-12,3,-5.521593000000e-11;-5.921909000000e-11;-4.320644000000e-11
24.0,-0.870000,-0.870000,-5.542671333333e-11,3.384898878690e-12,3,-5.108648000000e-11;-5.934557000000e-11;-5.584809000000e-11
24.0,-0.860000,-0.860000,-6.268854333333e-11,4.768079458722e-12,3,-5.858704000000e-11;-6.010409000000e-11;-6.937450000000e-11
24.0,-0.850000,-0.850000,-5.966861000000e-11,1.425392365000e-12,3,-6.166317000000e-11;-5.841852000000e-11;-5.892414000000e-11
24.0,-0.840000,-0.840000,-5.103026333333e-11,1.407558851526e-11,3,-3.402038000000e-11;-6.848960000000e-11;-5.058081000000e-11
24.0,-0.830000,-0.830000,-5.416259666667e-11,7.434565160857e-12,3,-4.430217000000e-11;-5.593241000000e-11;-6.225321000000e-11
24.0,-0.820000,-0.820000,-6.059571333333e-11,1.882747675961e-11,3,-8.092046000000e-11;-3.553739000000e-11;-6.532929000000e-11
24.0,-0.810000,-0.810000,-5.340408666667e-11,5.491702696325e-12,3,-5.155000000000e-11;-6.086259000000e-11;-4.779967000000e-11
24.0,-0.800000,-0.800000,-5.271584666667e-11,6.372243074901e-12,3,-6.157892000000e-11;-4.687269000000e-11;-4.969593000000e-11
24.0,-0.790000,-0.790000,-5.657851333333e-11,1.946146500387e-11,3,-6.537141000000e-11;-7.476827000000e-11;-2.959586000000e-11
24.0,-0.780000,-0.780000,-5.226638333333e-11,5.605527574281e-12,3,-4.805256000000e-11;-4.855817000000e-11;-6.018842000000e-11
24.0,-0.770000,-0.770000,-4.362805333333e-11,4.252437237047e-12,3,-4.910606000000e-11;-4.303810000000e-11;-3.874000000000e-11
24.0,-0.760000,-0.760000,-4.535568666667e-11,1.123357380761e-11,3,-2.963803000000e-11;-5.521607000000e-11;-5.121296000000e-11
24.0,-0.750000,-0.750000,-4.249028666667e-11,4.291919708960e-12,3,-4.286955000000e-11;-4.754689000000e-11;-3.705442000000e-11
24.0,-0.740000,-0.740000,-4.536977333333e-11,9.586390840945e-12,3,-3.288272000000e-11;-4.704127000000e-11;-5.618533000000e-11
24.0,-0.730000,-0.730000,-4.963981666667e-11,1.083144639464e-11,3,-6.136832000000e-11;-3.524257000000e-11;-5.230856000000e-11
24.0,-0.720000,-0.720000,-4.107164000000e-11,8.644180923454e-12,3,-4.270103000000e-11;-2.976449000000e-11;-5.074940000000e-11
24.0,-0.710000,-0.710000,-3.709661333333e-11,5.657956441345e-12,3,-4.371235000000e-11;-3.768653000000e-11;-2.989096000000e-11
24.0,-0.700000,-0.700000,-2.983476666667e-11,3.303753818112e-12,3,-2.900603000000e-11;-2.626704000000e-11;-3.423123000000e-11
24.0,-0.690000,-0.690000,-3.673146000000e-11,1.152637845379e-12,3,-3.532684000000e-11;-3.815011000000e-11;-3.671743000000e-11
24.0,-0.680000,-0.680000,-3.834676333333e-11,8.379819248211e-12,3,-4.704131000000e-11;-2.702556000000e-11;-4.097342000000e-11
24.0,-0.670000,-0.670000,-2.324721666667e-11,4.968999342600e-12,3,-3.027023000000e-11;-1.994641000000e-11;-1.952501000000e-11
24.0,-0.660000,-0.660000,-3.343062666667e-11,3.446284595883e-12,3,-3.212434000000e-11;-3.815016000000e-11;-3.001738000000e-11
24.0,-0.650000,-0.650000,-2.049419666667e-11,3.009870966607e-12,3,-1.830294000000e-11;-1.842948000000e-11;-2.475017000000e-11
24.0,-0.640000,-0.640000,-2.734869333333e-11,3.855956099347e-12,3,-3.271430000000e-11;-2.550868000000e-11;-2.382310000000e-11
24.0,-0.630000,-0.630000,-1.265648733333e-11,3.681880858543e-12,3,-1.257221000000e-11;-1.720740000000e-11;-8.189852000000e-12
24.0,-0.620000,-0.620000,-1.400487906667e-11,1.194833621137e-11,3,9.542228000000e-13;-2.828980000000e-11;-1.467906000000e-11
24.0,-0.610000,-0.610000,-2.042404333333e-11,3.258452624916e-12,3,-1.606976000000e-11;-2.390749000000e-11;-2.129488000000e-11
24.0,-0.600000,-0.600000,-1.998859366667e-11,1.037963466419e-11,3,-5.408701000000e-12;-2.875342000000e-11;-2.580366000000e-11
24.0,-0.590000,-0.590000,-1.622418700000e-11,9.111128528943e-12,3,-2.892187000000e-11;-1.177156000000e-11;-7.979131000000e-12
24.0,-0.580000,-0.580000,-2.206235666667e-12,7.074820812483e-12,3,2.260442000000e-12;3.313891000000e-12;-1.219304000000e-11
24.0,-0.570000,-0.570000,-2.105606666667e-11,6.930957064669e-12,3,-1.729171000000e-11;-1.510055000000e-11;-3.077594000000e-11
24.0,-0.560000,-0.560000,-3.947991333333e-12,8.722000152077e-12,3,7.780512000000e-12;-6.504436000000e-12;-1.312005000000e-11
24.0,-0.550000,-0.550000,-5.703697000000e-12,2.419208634728e-12,3,-4.523812000000e-12;-3.512496000000e-12;-9.074783000000e-12
24.0,-0.540000,-0.540000,-4.959324666667e-12,2.944914021659e-12,3,-8.990544000000e-12;-2.037773000000e-12;-3.849657000000e-12
24.0,-0.530000,-0.530000,1.656383000000e-12,1.283488370215e-11,3,1.540754000000e-11;-1.547983000000e-11;5.041439000000e-12
24.0,-0.520000,-0.520000,-2.220321333333e-12,5.454410584260e-12,3,-2.374809000000e-12;-8.821999000000e-12;4.535844000000e-12
24.0,-0.510000,-0.510000,-6.911729733333e-12,6.354572233701e-12,3,-1.569053000000e-11;-8.578832000000e-13;-4.186776000000e-12
24.0,-0.500000,-0.500000,3.917837000000e-12,1.099575578454e-11,3,-1.700612000000e-12;1.928432000000e-11;-5.830197000000e-12
24.0,-0.490000,-0.490000,1.974775333333e-11,6.272522780218e-12,3,1.115154000000e-11;2.594208000000e-11;2.214964000000e-11
24.0,-0.480000,-0.480000,1.870832666667e-11,9.918015333087e-12,3,8.117590000000e-12;1.603954000000e-11;3.196785000000e-11
24.0,-0.470000,-0.470000,4.872914333333e-12,1.394228359669e-11,3,-1.004406000000e-11;2.349804000000e-11;1.164763000000e-12
24.0,-0.460000,-0.460000,2.539416333333e-11,6.679232944709e-12,3,1.936837000000e-11;3.470671000000e-11;2.210741000000e-11
24.0,-0.450000,-0.450000,2.729041000000e-11,8.345175468405e-12,3,3.845710000000e-11;1.839924000000e-11;2.501489000000e-11
24.0,-0.440000,-0.440000,3.202400000000e-11,1.469570020539e-12,3,3.352695000000e-11;3.251563000000e-11;3.002942000000e-11
24.0,-0.430000,-0.430000,3.040866666667e-11,1.518767105837e-11,3,2.737463000000e-11;5.034019000000e-11;1.351118000000e-11
24.0,-0.420000,-0.420000,3.337230000000e-11,1.951166370678e-12,3,3.361104000000e-11;3.563365000000e-11;3.087221000000e-11
24.0,-0.410000,-0.410000,3.862557333333e-11,1.181329758842e-11,3,5.404818000000e-11;2.535204000000e-11;3.647650000000e-11
24.0,-0.400000,-0.400000,3.967896000000e-11,5.462216275054e-12,3,4.734818000000e-11;3.664498000000e-11;3.504372000000e-11
24.0,-0.390000,-0.390000,4.333099666667e-11,4.094445579337e-12,3,3.828848000000e-11;4.831731000000e-11;4.338720000000e-11
24.0,-0.380000,-0.380000,5.777034666667e-11,4.010727280684e-12,3,6.327631000000e-11;5.383746000000e-11;5.619727000000e-11
24.0,-0.370000,-0.370000,5.262948000000e-11,5.049830321948e-12,3,5.219401000000e-11;4.667397000000e-11;5.902046000000e-11
24.0,-0.360000,-0.360000,4.583114333333e-11,7.300284926615e-12,3,4.840153000000e-11;3.588650000000e-11;5.320540000000e-11
24.0,-0.350000,-0.350000,5.291035333333e-11,8.024662072255e-12,3,6.395057000000e-11;4.511472000000e-11;4.966577000000e-11
24.0,-0.340000,-0.340000,5.482050000000e-11,8.575299784664e-12,3,4.907573000000e-11;6.694231000000e-11;4.844346000000e-11
24.0,-0.330000,-0.330000,6.381002333333e-11,1.148755103684e-11,3,6.133806000000e-11;5.114051000000e-11;7.895150000000e-11
24.0,-0.320000,-0.320000,7.618475333333e-11,7.075453242417e-12,3,8.287088000000e-11;6.639461000000e-11;7.928877000000e-11
24.0,-0.310000,-0.310000,7.823532666667e-11,5.097577593383e-12,3,7.216751000000e-11;8.464031000000e-11;7.789816000000e-11
24.0,-0.300000,-0.300000,7.772961666667e-11,8.961938648341e-12,3,6.614161000000e-11;8.796919000000e-11;7.907805000000e-11
24.0,-0.290000,-0.290000,8.365702666667e-11,8.554778343017e-12,3,7.364223000000e-11;9.454271000000e-11;8.278614000000e-11
24.0,-0.280000,-0.280000,9.389666000000e-11,6.992944596053e-12,3,9.871448000000e-11;8.400822000000e-11;9.896728000000e-11
24.0,-0.270000,-0.270000,8.131134666667e-11,7.665250638204e-12,3,7.684460000000e-11;9.209868000000e-11;7.499076000000e-11
24.0,-0.260000,-0.260000,1.050772433333e-10,2.020218239440e-11,3,1.154012000000e-10;7.684463000000e-11;1.229859000000e-10
24.0,-0.250000,-0.250000,9.889692000000e-11,1.720338405915e-12,3,9.892503000000e-11;1.009897000000e-10;9.677603000000e-11
24.0,-0.240000,-0.240000,1.121565000000e-10,5.491026425603e-12,3,1.182666000000e-10;1.049509000000e-10;1.132520000000e-10
24.0,-0.230000,-0.230000,1.006948033333e-10,1.481993324884e-11,3,9.833506000000e-11;1.199099000000e-10;8.383945000000e-11
24.0,-0.220000,-0.220000,1.166932000000e-10,1.341999570293e-12,3,1.148110000000e-10;1.178451000000e-10;1.174235000000e-10
24.0,-0.210000,-0.210000,1.208086333333e-10,8.454010671207e-12,3,1.326354000000e-10;1.133783000000e-10;1.164122000000e-10
24.0,-0.200000,-0.200000,1.367649666667e-10,1.031781099049e-11,3,1.419901000000e-10;1.223537000000e-10;1.459511000000e-10
24.0,-0.190000,-0.190000,1.242358333333e-10,9.978852851016e-12,3,1.244605000000e-10;1.363435000000e-10;1.119035000000e-10
