LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A,Wavelength_nm,Comment
3.6,-3,-3,-5.32E-10,0.00E+00,1,-5.32E-10,560,560-570nm 29mA 3.57V
3.6,-2.99,-2.99,-5.28E-10,0.00E+00,1,-5.28E-10,560,560-570nm 29mA 3.57V
3.6,-2.98,-2.98,-5.30E-10,0.00E+00,1,-5.30E-10,560,560-570nm 29mA 3.57V
3.6,-2.97,-2.97,-4.75E-10,0.00E+00,1,-4.75E-10,560,560-570nm 29mA 3.57V
3.6,-2.96,-2.96,-4.40E-10,0.00E+00,1,-4.40E-10,560,560-570nm 29mA 3.57V
3.6,-2.95,-2.95,-4.72E-10,0.00E+00,1,-4.72E-10,560,560-570nm 29mA 3.57V
3.6,-2.94,-2.94,-4.88E-10,0.00E+00,1,-4.88E-10,560,560-570nm 29mA 3.57V
3.6,-2.93,-2.93,-5.38E-10,0.00E+00,1,-5.38E-10,560,560-570nm 29mA 3.57V
3.6,-2.92,-2.92,-4.60E-10,0.00E+00,1,-4.60E-10,560,560-570nm 29mA 3.57V
3.6,-2.91,-2.91,-4.52E-10,0.00E+00,1,-4.52E-10,560,560-570nm 29mA 3.57V
3.6,-2.9,-2.9,-4.53E-10,0.00E+00,1,-4.53E-10,560,560-570nm 29mA 3.57V
3.6,-2.89,-2.89,-5.05E-10,0.00E+00,1,-5.05E-10,560,560-570nm 29mA 3.57V
3.6,-2.88,-2.88,-4.79E-10,0.00E+00,1,-4.79E-10,560,560-570nm 29mA 3.57V
3.6,-2.87,-2.87,-4.45E-10,0.00E+00,1,-4.45E-10,560,560-570nm 29mA 3.57V
3.6,-2.86,-2.86,-4.62E-10,0.00E+00,1,-4.62E-10,560,560-570nm 29mA 3.57V
3.6,-2.85,-2.85,-4.65E-10,0.00E+00,1,-4.65E-10,560,560-570nm 29mA 3.57V
3.6,-2.84,-2.84,-4.82E-10,0.00E+00,1,-4.82E-10,560,560-570nm 29mA 3.57V
3.6,-2.83,-2.83,-4.89E-10,0.00E+00,1,-4.89E-10,560,560-570nm 29mA 3.57V
3.6,-2.82,-2.82,-4.84E-10,0.00E+00,1,-4.84E-10,560,560-570nm 29mA 3.57V
3.6,-2.81,-2.81,-4.63E-10,0.00E+00,1,-4.63E-10,560,560-570nm 29mA 3.57V
3.6,-2.8,-2.8,-4.42E-10,0.00E+00,1,-4.42E-10,560,560-570nm 29mA 3.57V
3.6,-2.79,-2.79,-4.82E-10,0.00E+00,1,-4.82E-10,560,560-570nm 29mA 3.57V
3.6,-2.78,-2.78,-4.68E-10,0.00E+00,1,-4.68E-10,560,560-570nm 29mA 3.57V
3.6,-2.77,-2.77,-4.79E-10,0.00E+00,1,-4.79E-10,560,560-570nm 29mA 3.57V
3.6,-2.76,-2.76,-4.78E-10,0.00E+00,1,-4.78E-10,560,560-570nm 29mA 3.57V
3.6,-2.75,-2.75,-4.78E-10,0.00E+00,1,-4.78E-10,560,560-570nm 29mA 3.57V
3.6,-2.74,-2.74,-4.65E-10,0.00E+00,1,-4.65E-10,560,560-570nm 29mA 3.57V
3.6,-2.73,-2.73,-4.75E-10,0.00E+00,1,-4.75E-10,560,560-570nm 29mA 3.57V
3.6,-2.72,-2.72,-4.93E-10,0.00E+00,1,-4.93E-10,560,560-570nm 29mA 3.57V
3.6,-2.71,-2.71,-4.85E-10,0.00E+00,1,-4.85E-10,560,560-570nm 29mA 3.57V
3.6,-2.7,-2.7,-4.52E-10,0.00E+00,1,-4.52E-10,560,560-570nm 29mA 3.57V
3.6,-2.69,-2.69,-4.61E-10,0.00E+00,1,-4.61E-10,560,560-570nm 29mA 3.57V
3.6,-2.68,-2.68,-4.64E-10,0.00E+00,1,-4.64E-10,560,560-570nm 29mA 3.57V
3.6,-2.67,-2.67,-4.96E-10,0.00E+00,1,-4.96E-10,560,560-570nm 29mA 3.57V
3.6,-2.66,-2.66,-4.89E-10,0.00E+00,1,-4.89E-10,560,560-570nm 29mA 3.57V
3.6,-2.65,-2.65,-4.76E-10,0.00E+00,1,-4.76E-10,560,560-570nm 29mA 3.57V
3.6,-2.64,-2.64,-4.80E-10,0.00E+00,1,-4.80E-10,560,560-570nm 29mA 3.57V
3.6,-2.63,-2.63,-4.85E-10,0.00E+00,1,-4.85E-10,560,560-570nm 29mA 3.57V
3.6,-2.62,-2.62,-4.89E-10,0.00E+00,1,-4.89E-10,560,560-570nm 29mA 3.57V
3.6,-2.61,-2.61,-4.81E-10,0.00E+00,1,-4.81E-10,560,560-570nm 29mA 3.57V
3.6,-2.6,-2.6,-4.63E-10,0.00E+00,1,-4.63E-10,560,560-570nm 29mA 3.57V
3.6,-2.59,-2.59,-4.91E-10,0.00E+00,1,-4.91E-10,560,560-570nm 29mA 3.57V
3.6,-2.58,-2.58,-4.76E-10,0.00E+00,1,-4.76E-10,560,560-570nm 29mA 3.57V
3.6,-2.57,-2.57,-4.92E-10,0.00E+00,1,-4.92E-10,560,560-570nm 29mA 3.57V
3.6,-2.56,-2.56,-4.94E-10,0.00E+00,1,-4.94E-10,560,560-570nm 29mA 3.57V
3.6,-2.55,-2.55,-4.80E-10,0.00E+00,1,-4.80E-10,560,560-570nm 29mA 3.57V
3.6,-2.54,-2.54,-4.91E-10,0.00E+00,1,-4.91E-10,560,560-570nm 29mA 3.57V
3.6,-2.53,-2.53,-4.74E-10,0.00E+00,1,-4.74E-10,560,560-570nm 29mA 3.57V
3.6,-2.52,-2.52,-4.76E-10,0.00E+00,1,-4.76E-10,560,560-570nm 29mA 3.57V
3.6,-2.51,-2.51,-4.58E-10,0.00E+00,1,-4.58E-10,560,560-570nm 29mA 3.57V
3.6,-2.5,-2.5,-4.76E-10,0.00E+00,1,-4.76E-10,560,560-570nm 29mA 3.57V
3.6,-2.49,-2.49,-5.10E-10,0.00E+00,1,-5.10E-10,560,560-570nm 29mA 3.57V
3.6,-2.48,-2.48,-4.98E-10,0.00E+00,1,-4.98E-10,560,560-570nm 29mA 3.57V
3.6,-2.47,-2.47,-3.16E-10,0.00E+00,1,-3.16E-10,560,560-570nm 29mA 3.57V
3.6,-2.46,-2.46,-5.61E-10,0.00E+00,1,-5.61E-10,560,560-570nm 29mA 3.57V
3.6,-2.45,-2.45,-4.61E-10,0.00E+00,1,-4.61E-10,560,560-570nm 29mA 3.57V
3.6,-2.44,-2.44,-5.09E-10,0.00E+00,1,-5.09E-10,560,560-570nm 29mA 3.57V
3.6,-2.43,-2.43,-4.81E-10,0.00E+00,1,-4.81E-10,560,560-570nm 29mA 3.57V
3.6,-2.42,-2.42,-4.49E-10,0.00E+00,1,-4.49E-10,560,560-570nm 29mA 3.57V
3.6,-2.41,-2.41,-5.03E-10,0.00E+00,1,-5.03E-10,560,560-570nm 29mA 3.57V
3.6,-2.4,-2.4,-4.96E-10,0.00E+00,1,-4.96E-10,560,560-570nm 29mA 3.57V
3.6,-2.39,-2.39,-3.87E-10,0.00E+00,1,-3.87E-10,560,560-570nm 29mA 3.57V
3.6,-2.38,-2.38,-4.09E-10,0.00E+00,1,-4.09E-10,560,560-570nm 29mA 3.57V
3.6,-2.37,-2.37,-5.49E-10,0.00E+00,1,-5.49E-10,560,560-570nm 29mA 3.57V
3.6,-2.36,-2.36,-5.20E-10,0.00E+00,1,-5.20E-10,560,560-570nm 29mA 3.57V
3.6,-2.35,-2.35,-4.64E-10,0.00E+00,1,-4.64E-10,560,560-570nm 29mA 3.57V
3.6,-2.34,-2.34,-4.58E-10,0.00E+00,1,-4.58E-10,560,560-570nm 29mA 3.57V
3.6,-2.33,-2.33,-4.84E-10,0.00E+00,1,-4.84E-10,560,560-570nm 29mA 3.57V
3.6,-2.32,-2.32,-4.96E-10,0.00E+00,1,-4.96E-10,560,560-570nm 29mA 3.57V
3.6,-2.31,-2.31,-4.62E-10,0.00E+00,1,-4.62E-10,560,560-570nm 29mA 3.57V
3.6,-2.3,-2.3,-4.37E-10,0.00E+00,1,-4.37E-10,560,560-570nm 29mA 3.57V
3.6,-2.29,-2.29,-4.77E-10,0.00E+00,1,-4.77E-10,560,560-570nm 29mA 3.57V
3.6,-2.28,-2.28,-5.08E-10,0.00E+00,1,-5.08E-10,560,560-570nm 29mA 3.57V
3.6,-2.27,-2.27,-4.45E-10,0.00E+00,1,-4.45E-10,560,560-570nm 29mA 3.57V
3.6,-2.26,-2.26,-4.78E-10,0.00E+00,1,-4.78E-10,560,560-570nm 29mA 3.57V
3.6,-2.25,-2.25,-5.09E-10,0.00E+00,1,-5.09E-10,560,560-570nm 29mA 3.57V
3.6,-2.24,-2.24,-4.73E-10,0.00E+00,1,-4.73E-10,560,560-570nm 29mA 3.57V
3.6,-2.23,-2.23,-4.24E-10,0.00E+00,1,-4.24E-10,560,560-570nm 29mA 3.57V
3.6,-2.22,-2.22,-4.75E-10,0.00E+00,1,-4.75E-10,560,560-570nm 29mA 3.57V
3.6,-2.21,-2.21,-5.06E-10,0.00E+00,1,-5.06E-10,560,560-570nm 29mA 3.57V
3.6,-2.2,-2.2,-4.72E-10,0.00E+00,1,-4.72E-10,560,560-570nm 29mA 3.57V
3.6,-2.19,-2.19,-4.39E-10,0.00E+00,1,-4.39E-10,560,560-570nm 29mA 3.57V
3.6,-2.18,-2.18,-4.58E-10,0.00E+00,1,-4.58E-10,560,560-570nm 29mA 3.57V
3.6,-2.17,-2.17,-4.77E-10,0.00E+00,1,-4.77E-10,560,560-570nm 29mA 3.57V
3.6,-2.16,-2.16,-4.48E-10,0.00E+00,1,-4.48E-10,560,560-570nm 29mA 3.57V
3.6,-2.15,-2.15,-4.81E-10,0.00E+00,1,-4.81E-10,560,560-570nm 29mA 3.57V
3.6,-2.14,-2.14,-4.84E-10,0.00E+00,1,-4.84E-10,560,560-570nm 29mA 3.57V
3.6,-2.13,-2.13,-4.50E-10,0.00E+00,1,-4.50E-10,560,560-570nm 29mA 3.57V
3.6,-2.12,-2.12,-4.65E-10,0.00E+00,1,-4.65E-10,560,560-570nm 29mA 3.57V
3.6,-2.11,-2.11,-4.98E-10,0.00E+00,1,-4.98E-10,560,560-570nm 29mA 3.57V
3.6,-2.1,-2.1,-4.63E-10,0.00E+00,1,-4.63E-10,560,560-570nm 29mA 3.57V
3.6,-2.09,-2.09,-4.73E-10,0.00E+00,1,-4.73E-10,560,560-570nm 29mA 3.57V
3.6,-2.08,-2.08,-5.03E-10,0.00E+00,1,-5.03E-10,560,560-570nm 29mA 3.57V
3.6,-2.07,-2.07,-4.76E-10,0.00E+00,1,-4.76E-10,560,560-570nm 29mA 3.57V
3.6,-2.06,-2.06,-4.43E-10,0.00E+00,1,-4.43E-10,560,560-570nm 29mA 3.57V
3.6,-2.05,-2.05,-4.69E-10,0.00E+00,1,-4.69E-10,560,560-570nm 29mA 3.57V
3.6,-2.04,-2.04,-5.03E-10,0.00E+00,1,-5.03E-10,560,560-570nm 29mA 3.57V
3.6,-2.03,-2.03,-4.41E-10,0.00E+00,1,-4.41E-10,560,560-570nm 29mA 3.57V
3.6,-2.02,-2.02,-4.93E-10,0.00E+00,1,-4.93E-10,560,560-570nm 29mA 3.57V
3.6,-2.01,-2.01,-5.09E-10,0.00E+00,1,-5.09E-10,560,560-570nm 29mA 3.57V
3.6,-2,-2,-4.61E-10,0.00E+00,1,-4.61E-10,560,560-570nm 29mA 3.57V
3.6,-1.99,-1.99,-4.40E-10,0.00E+00,1,-4.40E-10,560,560-570nm 29mA 3.57V
3.6,-1.98,-1.98,-4.96E-10,0.00E+00,1,-4.96E-10,560,560-570nm 29mA 3.57V
3.6,-1.97,-1.97,-4.87E-10,0.00E+00,1,-4.87E-10,560,560-570nm 29mA 3.57V
3.6,-1.96,-1.96,-4.56E-10,0.00E+00,1,-4.56E-10,560,560-570nm 29mA 3.57V
3.6,-1.95,-1.95,-5.01E-10,0.00E+00,1,-5.01E-10,560,560-570nm 29mA 3.57V
3.6,-1.94,-1.94,-4.72E-10,0.00E+00,1,-4.72E-10,560,560-570nm 29mA 3.57V
3.6,-1.93,-1.93,-4.68E-10,0.00E+00,1,-4.68E-10,560,560-570nm 29mA 3.57V
3.6,-1.92,-1.92,-4.78E-10,0.00E+00,1,-4.78E-10,560,560-570nm 29mA 3.57V
3.6,-1.91,-1.91,-4.64E-10,0.00E+00,1,-4.64E-10,560,560-570nm 29mA 3.57V
3.6,-1.9,-1.9,-4.85E-10,0.00E+00,1,-4.85E-10,560,560-570nm 29mA 3.57V
3.6,-1.89,-1.89,-4.89E-10,0.00E+00,1,-4.89E-10,560,560-570nm 29mA 3.57V
3.6,-1.88,-1.88,-4.70E-10,0.00E+00,1,-4.70E-10,560,560-570nm 29mA 3.57V
3.6,-1.87,-1.87,-4.70E-10,0.00E+00,1,-4.70E-10,560,560-570nm 29mA 3.57V
3.6,-1.86,-1.86,-4.75E-10,0.00E+00,1,-4.75E-10,560,560-570nm 29mA 3.57V
3.6,-1.85,-1.85,-4.67E-10,0.00E+00,1,-4.67E-10,560,560-570nm 29mA 3.57V
3.6,-1.84,-1.84,-4.76E-10,0.00E+00,1,-4.76E-10,560,560-570nm 29mA 3.57V
3.6,-1.83,-1.83,-4.75E-10,0.00E+00,1,-4.75E-10,560,560-570nm 29mA 3.57V
3.6,-1.82,-1.82,-4.80E-10,0.00E+00,1,-4.80E-10,560,560-570nm 29mA 3.57V
3.6,-1.81,-1.81,-4.78E-10,0.00E+00,1,-4.78E-10,560,560-570nm 29mA 3.57V
3.6,-1.8,-1.8,-4.63E-10,0.00E+00,1,-4.63E-10,560,560-570nm 29mA 3.57V
3.6,-1.79,-1.79,-4.86E-10,0.00E+00,1,-4.86E-10,560,560-570nm 29mA 3.57V
3.6,-1.78,-1.78,-4.52E-10,0.00E+00,1,-4.52E-10,560,560-570nm 29mA 3.57V
3.6,-1.77,-1.77,-4.87E-10,0.00E+00,1,-4.87E-10,560,560-570nm 29mA 3.57V
3.6,-1.76,-1.76,-4.72E-10,0.00E+00,1,-4.72E-10,560,560-570nm 29mA 3.57V
3.6,-1.75,-1.75,-4.78E-10,0.00E+00,1,-4.78E-10,560,560-570nm 29mA 3.57V
3.6,-1.74,-1.74,-4.67E-10,0.00E+00,1,-4.67E-10,560,560-570nm 29mA 3.57V
3.6,-1.73,-1.73,-4.87E-10,0.00E+00,1,-4.87E-10,560,560-570nm 29mA 3.57V
3.6,-1.72,-1.72,-4.61E-10,0.00E+00,1,-4.61E-10,560,560-570nm 29mA 3.57V
3.6,-1.71,-1.71,-4.79E-10,0.00E+00,1,-4.79E-10,560,560-570nm 29mA 3.57V
3.6,-1.7,-1.7,-4.57E-10,0.00E+00,1,-4.57E-10,560,560-570nm 29mA 3.57V
3.6,-1.69,-1.69,-4.89E-10,0.00E+00,1,-4.89E-10,560,560-570nm 29mA 3.57V
