390-395_56mA_5.72V
Integration time [ms]: 100.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] ;[counts] 

 173.88;   -8.999;    2.997;    0.000;-11.99552
 174.48;   33.001;   17.998;    0.000;15.00291
 175.09;   11.000;    3.999;    0.000; 7.00108
 175.69;   58.001;    9.998;    0.000;48.00283
 176.30;  -13.999;  -19.003;    0.000; 5.00464
 176.90;   12.000;  -17.001;    0.000;29.00160
 177.51;   -7.000;  -15.001;    0.000; 8.00097
 178.11;  -13.999;   -0.002;    0.000;-13.99670
 178.72;  -76.000;   -5.001;    0.000;-70.99817
 179.32;   -2.999;    5.997;    0.000;-8.99617
 179.93;    1.001;  -52.003;    0.000;53.00365
 180.54;  -45.000;   -2.001;    0.000;-42.99896
 181.14;  -39.999;  -10.003;    0.000;-29.99546
 181.75;   16.000;  -23.001;    0.000;39.00130
 182.35;  -27.000;  -75.001;    0.000;48.00094
 182.96;   13.000;   21.999;    0.000;-8.99801
 183.56;   -3.999;  -73.004;    0.000;69.00485
 184.17;  -13.999;    2.998;    0.000;-16.99734
 184.77;  -21.000;  -15.001;    0.000;-5.99900
 185.38;   21.001;    5.998;    0.000;15.00298
 185.98;   45.001;    0.998;    0.000;44.00312
 186.59;  -30.000;  -23.001;    0.000;-6.99820
 187.19;   -1.999;  -56.002;    0.000;54.00249
 187.80;  -49.999;  -58.003;    0.000; 8.00424
 188.40;  -36.998;  -39.005;    0.000; 2.00641
 189.01;  -10.999;  -44.002;    0.000;33.00311
 189.61;   20.001;    4.998;    0.000;15.00201
 190.21;   -4.999;   27.997;    0.000;-32.99572
 190.82;  -29.999;  -23.003;    0.000;-6.99621
 191.42;    6.001;    3.996;    0.000; 2.00484
 192.03;   33.001;  -56.004;    0.000;89.00510
 192.63;   -3.999;   25.996;    0.000;-29.99426
 193.24;    6.000;   -2.001;    0.000; 8.00143
 193.84;   25.002;   31.995;    0.000;-6.99310
 194.45;    2.001;    5.996;    0.000;-3.99418
 195.05;    1.001;  -14.003;    0.000;15.00381
 195.66;  -46.999;   -3.004;    0.000;-43.99463
 196.26;   43.002;  -21.005;    0.000;64.00712
 196.87;  -82.998;   17.995;    0.000;-100.99373
 197.47;   -8.999;   18.996;    0.000;-27.99491
 198.07;  -22.998;   -3.005;    0.000;-19.99308
 198.68;   27.002;   19.995;    0.000; 7.00733
 199.28;   -5.999;  -26.003;    0.000;20.00429
 199.89;   17.002;  -15.007;    0.000;32.00911
 200.49;  -67.998;  -12.005;    0.000;-55.99303
 201.10;  -28.999;   65.996;    0.000;-94.99456
 201.70;  -39.998;   -8.006;    0.000;-31.99251
 202.31;  -50.999;  -13.002;    0.000;-37.99672
 202.91;   -0.999;  -15.003;    0.000;14.00335
 203.51;    4.001;   19.996;    0.000;-15.99445
 204.12;  -28.000;  -21.001;    0.000;-6.99922
 204.72;   52.000;   39.999;    0.000;12.00199
 205.33;   41.001;  -22.002;    0.000;63.00329
 205.93;  -11.999;  -18.003;    0.000; 6.00407
 206.53;    1.001;  -44.003;    0.000;45.00454
 207.14;  -27.999;  -21.003;    0.000;-6.99563
 207.74;   11.001;  -38.003;    0.000;49.00415
 208.35;  -10.999;    6.996;    0.000;-17.99486
 208.95;    3.001;    2.997;    0.000; 0.00431
 209.55;   23.001;   25.997;    0.000;-2.99562
 210.16;  -56.999;  -14.004;    0.000;-42.99488
 210.76;   38.001;   22.996;    0.000;15.00484
 211.37;  -46.999;   -6.003;    0.000;-40.99537
 211.97;  -61.999;  -15.002;    0.000;-46.99699
 212.57;   30.002;   28.995;    0.000; 1.00677
 213.18;   24.001;   16.996;    0.000; 7.00544
 213.78;  -55.998;    9.995;    0.000;-65.99389
 214.38;   -8.999;  -73.003;    0.000;64.00426
 214.99;  -77.999;   -3.004;    0.000;-74.99456
 215.59;   -0.998;   -0.005;    0.000;-0.99361
 216.20;   -0.998;   12.995;    0.000;-13.99298
 216.80;  -21.998;   22.995;    0.000;-44.99337
