400-410_22mA_4.01V_1701237U1
Integration time [ms]: 100.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] ;[counts] 

 173.88;  -29.034;  -14.009;    0.000;-15.02461
 174.48;    4.978;  -57.006;    0.000;61.98398
 175.09;    5.992;    4.998;    0.000; 0.99406
 175.69;   15.979;    8.994;    0.000; 6.98444
 176.30;   39.965;   65.991;    0.000;-26.02554
 176.90;   15.988;  -12.003;    0.000;27.99118
 177.51;  -15.007;  -12.002;    0.000;-3.00536
 178.11;  -16.025;   20.993;    0.000;-37.01816
 178.72;  -53.014;  -19.004;    0.000;-34.01009
 179.32;   28.971;  -80.008;    0.000;108.97896
 179.93;   20.973;  -64.007;    0.000;84.97994
 180.54;   28.992;   40.998;    0.000;-12.00571
 181.14;   50.966;  -11.009;    0.000;61.97504
 181.75;    7.990;   44.997;    0.000;-37.00715
 182.35;   24.993;  -54.002;    0.000;78.99481
 182.96;   44.985;   76.996;    0.000;-32.01095
 183.56;   -3.036;   16.990;    0.000;-20.02669
 184.17;   15.980;  148.995;    0.000;-133.01464
 184.77;  -45.007;  -17.002;    0.000;-28.00548
 185.38;  -19.022;    7.994;    0.000;-27.01637
 185.98;   38.977;   50.994;    0.000;-12.01718
 186.59;  -13.014;    8.996;    0.000;-22.00991
 187.19;   32.981;   10.995;    0.000;21.98628
 187.80;    9.968;  -30.008;    0.000;39.97665
 188.40;   48.952;   21.987;    0.000;26.96472
 189.01;   25.977;  -34.006;    0.000;59.98288
 189.61;  -12.015;  -27.004;    0.000;14.98893
 190.21;  -21.032;  -46.009;    0.000;24.97648
 190.82;   39.972;   -3.008;    0.000;42.97913
 191.42;  -23.036;  -46.010;    0.000;22.97337
 192.03;  -22.038;  -61.010;    0.000;38.97193
 192.63;    8.957;   -7.011;    0.000;15.96841
 193.24;   -0.011;   36.997;    0.000;-37.00784
 193.84;   26.948;  -37.014;    0.000;63.96207
 194.45;   50.956;  -17.012;    0.000;67.96801
 195.05;    7.971;  -76.008;    0.000;83.97902
 195.66;   24.960;   -1.011;    0.000;25.97049
 196.26;  -29.053;   10.986;    0.000;-40.03914
 196.87;   47.953;   -4.013;    0.000;51.96553
 197.47;   11.962;   21.990;    0.000;-10.02801
 198.07;   -5.052;  -50.014;    0.000;44.96196
 198.68;    8.945;  -94.015;    0.000;102.95971
 199.28;   41.968;    9.991;    0.000;31.97642
 199.89;  -15.068;  -19.018;    0.000; 3.94991
 200.49;   40.948;   20.986;    0.000;19.96167
 201.10;   -0.041;   17.989;    0.000;-18.02992
 201.70;   -5.056;   26.985;    0.000;-32.04121
 202.31;   29.975;  -70.007;    0.000;99.98196
 202.91;   -5.025;   24.993;    0.000;-30.01845
 203.51;  -29.042;  -47.011;    0.000;17.96945
 204.12;   10.994;  -31.002;    0.000;41.99573
 204.72;   27.985;   39.996;    0.000;-12.01095
 205.33;  -20.025;  -49.007;    0.000;28.98190
 205.93;  -20.030;  -21.008;    0.000; 0.97763
 206.53;  -16.034;  -39.009;    0.000;22.97504
 207.14;  -44.033; -109.009;    0.000;64.97596
 207.74;  -13.031;   45.992;    0.000;-59.02283
 208.35;    0.961;  -50.010;    0.000;50.97175
 208.95;    2.968;   -0.009;    0.000; 2.97631
 209.55;   32.967;  206.991;    0.000;-174.02409
 210.16;  -23.038;  -10.010;    0.000;-13.02819
 210.76;   39.964;  -30.010;    0.000;69.97337
 211.37;   20.965;  -79.009;    0.000;99.97452
 211.97;   47.977;  -25.006;    0.000;72.98346
 212.57;   -5.051;  -30.014;    0.000;24.96276
 213.18;  -13.041;  -58.011;    0.000;44.97008
 213.78;  -47.046; -103.012;    0.000;55.96639
 214.38;    2.968;  -23.009;    0.000;25.97660
 214.99;   18.959;   13.989;    0.000; 4.97008
 215.59;   49.952;  -36.013;    0.000;85.96484
 216.20;  -10.053;  -27.014;    0.000;16.96138
 216.80;    0.950;  -75.013;    0.000;75.96351
