420-425_22mA_4.08V_1701237U1
Integration time [ms]:   2.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] ;[counts] 

 173.88;   -4.028;  -14.009;    0.000; 9.98098
 174.48;   19.982;  -57.006;    0.000;76.98762
 175.09;   22.993;    4.998;    0.000;17.99541
 175.69;  -44.018;    8.994;    0.000;-53.01203
 176.30;  -24.029;   65.991;    0.000;-90.01973
 176.90;  -20.010;  -12.003;    0.000;-8.00681
 177.51;   -2.006;  -12.002;    0.000; 9.99586
 178.11;   -5.021;   20.993;    0.000;-26.01403
 178.72;  -14.011;  -19.004;    0.000; 4.99221
 179.32;   -2.024;  -80.008;    0.000;77.98374
 179.93;  -16.023;  -64.007;    0.000;47.98450
 180.54;   44.994;   40.998;    0.000; 3.99559
 181.14;  -11.028;  -11.009;    0.000;-0.01929
 181.75;  -29.008;   44.997;    0.000;-74.00552
 182.35;   -5.006;  -54.002;    0.000;48.99599
 182.96;  -38.012;   76.996;    0.000;-115.00846
 183.56;  -30.030;   16.990;    0.000;-47.02062
 184.17;  -22.017;  148.995;    0.000;-171.01131
 184.77;  -81.006;  -17.002;    0.000;-64.00423
 185.38;  -13.019;    7.994;    0.000;-21.01265
 185.98;   14.980;   50.994;    0.000;-36.01327
 186.59;  -73.011;    8.996;    0.000;-82.00766
 187.19;  -11.016;   10.995;    0.000;-22.01060
 187.80;   -5.027;  -30.008;    0.000;24.98196
 188.40;   -7.040;   21.987;    0.000;-29.02726
 189.01;  -25.019;  -34.006;    0.000; 8.98677
 189.61;   30.987;  -27.004;    0.000;57.99145
 190.21;   15.973;  -46.009;    0.000;61.98183
 190.82;   -3.024;   -3.008;    0.000;-0.01612
 191.42;    3.970;  -46.010;    0.000;49.97942
 192.03;   20.968;  -61.010;    0.000;81.97831
 192.63;  -53.036;   -7.011;    0.000;-46.02441
 193.24;   59.991;   36.997;    0.000;22.99394
 193.84;  -12.043;  -37.014;    0.000;24.97069
 194.45;   19.964;  -17.012;    0.000;36.97528
 195.05;    3.976;  -76.008;    0.000;79.98379
 195.66;  -47.034;   -1.011;    0.000;-46.02281
 196.26;  -32.044;   10.986;    0.000;-43.03024
 196.87;   37.961;   -4.013;    0.000;41.97336
 197.47;   -6.032;   21.990;    0.000;-28.02165
 198.07;   21.957;  -50.014;    0.000;71.97060
 198.68;  -10.046;  -94.015;    0.000;83.96886
 199.28;  -30.027;    9.991;    0.000;-40.01822
 199.89;   14.943;  -19.018;    0.000;33.96129
 200.49;   20.956;   20.986;    0.000;-0.02962
 201.10;   38.966;   17.989;    0.000;20.97688
 201.70;  -27.047;   26.985;    0.000;-54.03185
 202.31;   12.979;  -70.007;    0.000;82.98606
 202.91;    6.979;   24.993;    0.000;-18.01425
 203.51;  -22.035;  -47.011;    0.000;24.97639
 204.12;  -27.005;  -31.002;    0.000; 3.99670
 204.72;  -16.012;   39.996;    0.000;-56.00846
 205.33;  -22.021;  -49.007;    0.000;26.98601
 205.93;   36.975;  -21.008;    0.000;57.98272
 206.53;  -37.028;  -39.009;    0.000; 1.98071
 207.14;   37.973; -109.009;    0.000;146.98143
 207.74;   39.974;   45.992;    0.000;-6.01764
 208.35;  -17.032;  -50.010;    0.000;32.97817
 208.95;  -14.027;   -0.009;    0.000;-14.01831
 209.55;  -17.027;  206.991;    0.000;-224.01862
 210.16;  -15.032;  -10.010;    0.000;-5.02178
 210.76;  -12.030;  -30.010;    0.000;17.97942
 211.37;  -47.029;  -79.009;    0.000;31.98031
 211.97;  -25.019;  -25.006;    0.000;-0.01278
 212.57;   10.958;  -30.014;    0.000;40.97123
 213.18;  -38.034;  -58.011;    0.000;19.97688
 213.78;   35.962; -103.012;    0.000;138.97403
 214.38;  -38.027;  -23.009;    0.000;-15.01808
 214.99;   44.966;   13.989;    0.000;30.97688
 215.59;  -85.040;  -36.013;    0.000;-49.02717
 216.20;   34.956;  -27.014;    0.000;61.97016
