730_38mA_3.49V_1701237U1
Integration time [ms]: 100.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] ;[counts] 

 173.88;  -21.828;  -14.009;    0.000;-7.81896
 174.48;   10.461;  -57.006;    0.000;67.46681
 175.09;   -6.200;    4.998;    0.000;-11.19755
 175.69;   -8.524;    8.994;    0.000;-17.51784
 176.30;   73.141;   65.991;    0.000; 7.15035
 176.90;  -15.297;  -12.003;    0.000;-3.29344
 177.51;  -23.180;  -12.002;    0.000;-11.17837
 178.11;   45.389;   20.993;    0.000;24.39585
 178.72;  -27.339;  -19.004;    0.000;-8.33564
 179.32;    9.292;  -80.008;    0.000;89.29995
 179.93;  -32.675;  -64.007;    0.000;31.33256
 180.54;   -0.192;   40.998;    0.000;-41.18988
 181.14;   -2.840;  -11.009;    0.000; 8.16953
 181.75;   45.760;   44.997;    0.000; 0.76218
 182.35;   15.825;  -54.002;    0.000;69.82739
 182.96;   60.632;   76.996;    0.000;-16.36441
 183.56;   30.102;   16.990;    0.000;13.11199
 184.17;  -12.492;  148.995;    0.000;-161.48716
 184.77;    5.816;  -17.002;    0.000;22.81780
 185.38;   34.449;    7.994;    0.000;26.45530
 185.98;   19.422;   50.994;    0.000;-31.57155
 186.59;   58.667;    8.996;    0.000;49.67011
 187.19;   -5.461;   10.995;    0.000;-16.45647
 187.80;   59.215;  -30.008;    0.000;89.22323
 188.40;  -52.187;   21.987;    0.000;-74.17378
 189.01;   16.424;  -34.006;    0.000;50.43037
 189.61;   -5.372;  -27.004;    0.000;21.63176
 190.21;   -3.791;  -46.009;    0.000;42.21748
 190.82;   46.298;   -3.008;    0.000;49.30571
 191.42;   57.104;  -46.010;    0.000;103.11391
 192.03;   21.056;  -61.010;    0.000;82.06596
 192.63;   43.937;   -7.011;    0.000;50.94897
 193.24;   -4.264;   36.997;    0.000;-41.26084
 193.84;   45.724;  -37.014;    0.000;82.73799
 194.45;    8.924;  -17.012;    0.000;25.93554
 195.05;   31.294;  -76.008;    0.000;107.30187
 195.66;  -26.993;   -1.011;    0.000;-25.98199
 196.26;   -0.317;   10.986;    0.000;-11.30228
 196.87;  -46.159;   -4.013;    0.000;-42.14693
 197.47;  -14.942;   21.990;    0.000;-36.93212
 198.07;   31.720;  -50.014;    0.000;81.73416
 198.68;   24.645;  -94.015;    0.000;118.65936
 199.28;    5.207;    9.991;    0.000;-4.78444
 199.89;   21.315;  -19.018;    0.000;40.33331
 200.49;   28.711;   20.986;    0.000; 7.72457
 201.10;   52.994;   17.989;    0.000;35.00459
 201.70;  -21.386;   26.985;    0.000;-48.37133
 202.31;   31.393;  -70.007;    0.000;101.39968
 202.91;   20.380;   24.993;    0.000;-4.61374
 203.51;   36.972;  -47.011;    0.000;83.98349
 204.12;  -20.143;  -31.002;    0.000;10.85807
 204.72;   62.632;   39.996;    0.000;22.63559
 205.33;   32.391;  -49.007;    0.000;81.39777
 205.93;   27.248;  -21.008;    0.000;48.25584
 206.53;  -16.840;  -39.009;    0.000;22.16953
 207.14;   42.191; -109.009;    0.000;151.20022
 207.74;  -27.768;   45.992;    0.000;-73.75950
 208.35;    9.050;  -50.010;    0.000;59.06021
 208.95;   10.203;   -0.009;    0.000;10.21173
 209.55;   20.190;  206.991;    0.000;-186.80170
 210.16;   24.052;  -10.010;    0.000;34.06213
 210.76;   61.104;  -30.010;    0.000;91.11391
 211.37;   37.143;  -79.009;    0.000;116.15227
 211.97;   18.444;  -25.006;    0.000;43.44955
 212.57;   52.747;  -30.014;    0.000;82.76101
 213.18;   26.994;  -58.011;    0.000;85.00459
 213.78;   12.870; -103.012;    0.000;115.88184
 214.38;   25.213;  -23.009;    0.000;48.22132
 214.99;   43.994;   13.989;    0.000;30.00459
 215.59;    2.817;  -36.013;    0.000;38.83006
 216.20;  -80.299;  -27.014;    0.000;-53.28502
 216.80;   -1.227;  -75.013;    0.000;73.78594
 217.40;   21.050;  -15.010;    0.000;36.06021
