LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A,Wavelength_nm,Comment
3.1,1.000000,1.000000,-1.929720000000e-10,0.000000000000e+00,1,-1.929720000000e-10,400,blue
3.1,1.010000,1.010000,-3.131211000000e-10,0.000000000000e+00,1,-3.131211000000e-10,400,blue
3.1,1.020000,1.020000,-2.883832000000e-10,0.000000000000e+00,1,-2.883832000000e-10,400,blue
3.1,1.030000,1.030000,-2.868239000000e-10,0.000000000000e+00,1,-2.868239000000e-10,400,blue
3.1,1.040000,1.040000,-8.049816000000e-11,0.000000000000e+00,1,-8.049816000000e-11,400,blue
3.1,1.050000,1.050000,-1.674756000000e-10,0.000000000000e+00,1,-1.674756000000e-10,400,blue
3.1,1.060000,1.060000,-3.669374000000e-10,0.000000000000e+00,1,-3.669374000000e-10,400,blue
3.1,1.070000,1.070000,-1.966805000000e-10,0.000000000000e+00,1,-1.966805000000e-10,400,blue
3.1,1.080000,1.080000,-2.875147000000e-11,0.000000000000e+00,1,-2.875147000000e-11,400,blue
3.1,1.090000,1.090000,-6.579169000000e-11,0.000000000000e+00,1,-6.579169000000e-11,400,blue
3.1,1.100000,1.100000,-3.020374000000e-10,0.000000000000e+00,1,-3.020374000000e-10,400,blue
3.1,1.110000,1.110000,-3.539152000000e-10,0.000000000000e+00,1,-3.539152000000e-10,400,blue
3.1,1.120000,1.120000,-2.308162000000e-10,0.000000000000e+00,1,-2.308162000000e-10,400,blue
3.1,1.130000,1.130000,-6.924712000000e-11,0.000000000000e+00,1,-6.924712000000e-11,400,blue
3.1,1.140000,1.140000,-6.326337000000e-11,0.000000000000e+00,1,-6.326337000000e-11,400,blue
3.1,1.150000,1.150000,-1.904012000000e-10,0.000000000000e+00,1,-1.904012000000e-10,400,blue
3.1,1.160000,1.160000,-3.215916000000e-10,0.000000000000e+00,1,-3.215916000000e-10,400,blue
3.1,1.170000,1.170000,-2.813031000000e-10,0.000000000000e+00,1,-2.813031000000e-10,400,blue
3.1,1.180000,1.180000,-8.551278000000e-11,0.000000000000e+00,1,-8.551278000000e-11,400,blue
3.1,1.190000,1.190000,-1.480899000000e-10,0.000000000000e+00,1,-1.480899000000e-10,400,blue
3.1,1.200000,1.200000,-2.558489000000e-10,0.000000000000e+00,1,-2.558489000000e-10,400,blue
3.1,1.210000,1.210000,-1.452663000000e-10,0.000000000000e+00,1,-1.452663000000e-10,400,blue
3.1,1.220000,1.220000,-9.891300000000e-11,0.000000000000e+00,1,-9.891300000000e-11,400,blue
3.1,1.230000,1.230000,-1.788962000000e-10,0.000000000000e+00,1,-1.788962000000e-10,400,blue
3.1,1.240000,1.240000,-2.288354000000e-10,0.000000000000e+00,1,-2.288354000000e-10,400,blue
3.1,1.250000,1.250000,-2.468303000000e-10,0.000000000000e+00,1,-2.468303000000e-10,400,blue
3.1,1.260000,1.260000,-1.300537000000e-10,0.000000000000e+00,1,-1.300537000000e-10,400,blue
3.1,1.270000,1.270000,-1.533577000000e-10,0.000000000000e+00,1,-1.533577000000e-10,400,blue
3.1,1.280000,1.280000,-2.173725000000e-10,0.000000000000e+00,1,-2.173725000000e-10,400,blue
3.1,1.290000,1.290000,-1.973547000000e-10,0.000000000000e+00,1,-1.973547000000e-10,400,blue
3.1,1.300000,1.300000,-2.118097000000e-10,0.000000000000e+00,1,-2.118097000000e-10,400,blue
3.1,1.310000,1.310000,-1.688241000000e-10,0.000000000000e+00,1,-1.688241000000e-10,400,blue
3.1,1.320000,1.320000,-1.475420000000e-10,0.000000000000e+00,1,-1.475420000000e-10,400,blue
3.1,1.330000,1.330000,-1.679813000000e-10,0.000000000000e+00,1,-1.679813000000e-10,400,blue
3.1,1.340000,1.340000,-7.674793000000e-11,0.000000000000e+00,1,-7.674793000000e-11,400,blue
3.1,1.350000,1.350000,-2.386124000000e-10,0.000000000000e+00,1,-2.386124000000e-10,400,blue
3.1,1.360000,1.360000,-1.930140000000e-10,0.000000000000e+00,1,-1.930140000000e-10,400,blue
3.1,1.370000,1.370000,-1.899376000000e-10,0.000000000000e+00,1,-1.899376000000e-10,400,blue
3.1,1.380000,1.380000,-2.319960000000e-10,0.000000000000e+00,1,-2.319960000000e-10,400,blue
3.1,1.390000,1.390000,-1.834476000000e-10,0.000000000000e+00,1,-1.834476000000e-10,400,blue
3.1,1.400000,1.400000,3.584733000000e-11,0.000000000000e+00,1,3.584733000000e-11,400,blue
3.1,1.410000,1.410000,-2.840422000000e-10,0.000000000000e+00,1,-2.840422000000e-10,400,blue
3.1,1.420000,1.420000,-1.754826000000e-10,0.000000000000e+00,1,-1.754826000000e-10,400,blue
3.1,1.430000,1.430000,-1.532734000000e-10,0.000000000000e+00,1,-1.532734000000e-10,400,blue
3.1,1.440000,1.440000,-1.904011000000e-10,0.000000000000e+00,1,-1.904011000000e-10,400,blue
3.1,1.450000,1.450000,-2.265596000000e-10,0.000000000000e+00,1,-2.265596000000e-10,400,blue
3.1,1.460000,1.460000,-2.118518000000e-10,0.000000000000e+00,1,-2.118518000000e-10,400,blue
3.1,1.470000,1.470000,-1.670541000000e-10,0.000000000000e+00,1,-1.670541000000e-10,400,blue
3.1,1.480000,1.480000,-1.927611000000e-10,0.000000000000e+00,1,-1.927611000000e-10,400,blue
3.1,1.490000,1.490000,-2.106296000000e-10,0.000000000000e+00,1,-2.106296000000e-10,400,blue
3.1,1.500000,1.500000,-1.796126000000e-10,0.000000000000e+00,1,-1.796126000000e-10,400,blue
3.1,1.510000,1.510000,-1.859762000000e-10,0.000000000000e+00,1,-1.859762000000e-10,400,blue
3.1,1.520000,1.520000,-1.374281000000e-10,0.000000000000e+00,1,-1.374281000000e-10,400,blue
3.1,1.530000,1.530000,-1.529363000000e-10,0.000000000000e+00,1,-1.529363000000e-10,400,blue
3.1,1.540000,1.540000,-2.221767000000e-10,0.000000000000e+00,1,-2.221767000000e-10,400,blue
3.1,1.550000,1.550000,-3.842152000000e-10,0.000000000000e+00,1,-3.842152000000e-10,400,blue
3.1,1.560000,1.560000,-2.306309000000e-11,0.000000000000e+00,1,-2.306309000000e-11,400,blue
3.1,1.570000,1.570000,-1.113019000000e-10,0.000000000000e+00,1,-1.113019000000e-10,400,blue
3.1,1.580000,1.580000,-3.296825000000e-10,0.000000000000e+00,1,-3.296825000000e-10,400,blue
3.1,1.590000,1.590000,-2.870764000000e-10,0.000000000000e+00,1,-2.870764000000e-10,400,blue
3.1,1.600000,1.600000,-1.198983000000e-10,0.000000000000e+00,1,-1.198983000000e-10,400,blue
3.1,1.610000,1.610000,-5.020053000000e-11,0.000000000000e+00,1,-5.020053000000e-11,400,blue
3.1,1.620000,1.620000,-3.937084000000e-11,0.000000000000e+00,1,-3.937084000000e-11,400,blue
3.1,1.630000,1.630000,-1.869875000000e-10,0.000000000000e+00,1,-1.869875000000e-10,400,blue
3.1,1.640000,1.640000,-2.448072000000e-10,0.000000000000e+00,1,-2.448072000000e-10,400,blue
3.1,1.650000,1.650000,-2.553850000000e-10,0.000000000000e+00,1,-2.553850000000e-10,400,blue
3.1,1.660000,1.660000,-9.866029000000e-11,0.000000000000e+00,1,-9.866029000000e-11,400,blue
3.1,1.670000,1.670000,-2.895627000000e-10,0.000000000000e+00,1,-2.895627000000e-10,400,blue
3.1,1.680000,1.680000,-5.192825000000e-11,0.000000000000e+00,1,-5.192825000000e-11,400,blue
