LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A,Wavelength_nm,Comment
0.0,0.500000,0.500000,-2.343561000000e-10,0.000000000000e+00,1,-2.343561000000e-10,520,520-525nm
0.0,0.510000,0.510000,-3.269857000000e-10,0.000000000000e+00,1,-3.269857000000e-10,520,520-525nm
0.0,0.520000,0.520000,-8.413792000000e-10,0.000000000000e+00,1,-8.413792000000e-10,520,520-525nm
0.0,0.530000,0.530000,-3.264378000000e-10,0.000000000000e+00,1,-3.264378000000e-10,520,520-525nm
0.0,0.540000,0.540000,-1.738391000000e-10,0.000000000000e+00,1,-1.738391000000e-10,520,520-525nm
0.0,0.550000,0.550000,-2.097447000000e-10,0.000000000000e+00,1,-2.097447000000e-10,520,520-525nm
0.0,0.560000,0.560000,-3.851425000000e-10,0.000000000000e+00,1,-3.851425000000e-10,520,520-525nm
0.0,0.570000,0.570000,-4.594822000000e-10,0.000000000000e+00,1,-4.594822000000e-10,520,520-525nm
0.0,0.580000,0.580000,-3.331384000000e-10,0.000000000000e+00,1,-3.331384000000e-10,520,520-525nm
0.0,0.590000,0.590000,-2.835786000000e-10,0.000000000000e+00,1,-2.835786000000e-10,520,520-525nm
0.0,0.600000,0.600000,-2.193531000000e-10,0.000000000000e+00,1,-2.193531000000e-10,520,520-525nm
0.0,0.610000,0.610000,-3.044814000000e-10,0.000000000000e+00,1,-3.044814000000e-10,520,520-525nm
0.0,0.620000,0.620000,-3.775989000000e-10,0.000000000000e+00,1,-3.775989000000e-10,520,520-525nm
0.0,0.630000,0.630000,-4.110602000000e-10,0.000000000000e+00,1,-4.110602000000e-10,520,520-525nm
0.0,0.640000,0.640000,-4.426249000000e-10,0.000000000000e+00,1,-4.426249000000e-10,520,520-525nm
0.0,0.650000,0.650000,-3.066306000000e-10,0.000000000000e+00,1,-3.066306000000e-10,520,520-525nm
0.0,0.660000,0.660000,-2.035496000000e-10,0.000000000000e+00,1,-2.035496000000e-10,520,520-525nm
0.0,0.670000,0.670000,-2.277395000000e-10,0.000000000000e+00,1,-2.277395000000e-10,520,520-525nm
0.0,0.680000,0.680000,-3.845102000000e-10,0.000000000000e+00,1,-3.845102000000e-10,520,520-525nm
0.0,0.690000,0.690000,-4.047386000000e-10,0.000000000000e+00,1,-4.047386000000e-10,520,520-525nm
0.0,0.700000,0.700000,-3.170398000000e-10,0.000000000000e+00,1,-3.170398000000e-10,520,520-525nm
0.0,0.710000,0.710000,-1.830683000000e-10,0.000000000000e+00,1,-1.830683000000e-10,520,520-525nm
0.0,0.720000,0.720000,-2.746442000000e-10,0.000000000000e+00,1,-2.746442000000e-10,520,520-525nm
0.0,0.730000,0.730000,-2.436693000000e-10,0.000000000000e+00,1,-2.436693000000e-10,520,520-525nm
0.0,0.740000,0.740000,-3.512174000000e-10,0.000000000000e+00,1,-3.512174000000e-10,520,520-525nm
0.0,0.750000,0.750000,-3.728366000000e-10,0.000000000000e+00,1,-3.728366000000e-10,520,520-525nm
0.0,0.760000,0.760000,-3.087375000000e-10,0.000000000000e+00,1,-3.087375000000e-10,520,520-525nm
0.0,0.770000,0.770000,-3.346554000000e-10,0.000000000000e+00,1,-3.346554000000e-10,520,520-525nm
0.0,0.780000,0.780000,-3.265218000000e-10,0.000000000000e+00,1,-3.265218000000e-10,520,520-525nm
0.0,0.790000,0.790000,-3.947928000000e-10,0.000000000000e+00,1,-3.947928000000e-10,520,520-525nm
0.0,0.800000,0.800000,-2.541207000000e-10,0.000000000000e+00,1,-2.541207000000e-10,520,520-525nm
0.0,0.810000,0.810000,-3.480988000000e-10,0.000000000000e+00,1,-3.480988000000e-10,520,520-525nm
0.0,0.820000,0.820000,-3.132468000000e-10,0.000000000000e+00,1,-3.132468000000e-10,520,520-525nm
0.0,0.830000,0.830000,-3.276596000000e-10,0.000000000000e+00,1,-3.276596000000e-10,520,520-525nm
0.0,0.840000,0.840000,-3.346973000000e-10,0.000000000000e+00,1,-3.346973000000e-10,520,520-525nm
0.0,0.850000,0.850000,-3.059982000000e-10,0.000000000000e+00,1,-3.059982000000e-10,520,520-525nm
0.0,0.860000,0.860000,-2.426157000000e-10,0.000000000000e+00,1,-2.426157000000e-10,520,520-525nm
0.0,0.870000,0.870000,-2.931868000000e-10,0.000000000000e+00,1,-2.931868000000e-10,520,520-525nm
0.0,0.880000,0.880000,-2.858119000000e-10,0.000000000000e+00,1,-2.858119000000e-10,520,520-525nm
0.0,0.890000,0.890000,-2.600627000000e-10,0.000000000000e+00,1,-2.600627000000e-10,520,520-525nm
0.0,0.900000,0.900000,-3.054503000000e-10,0.000000000000e+00,1,-3.054503000000e-10,520,520-525nm
0.0,0.910000,0.910000,-2.853904000000e-10,0.000000000000e+00,1,-2.853904000000e-10,520,520-525nm
0.0,0.920000,0.920000,-3.035961000000e-10,0.000000000000e+00,1,-3.035961000000e-10,520,520-525nm
0.0,0.930000,0.930000,-2.850533000000e-10,0.000000000000e+00,1,-2.850533000000e-10,520,520-525nm
0.0,0.940000,0.940000,-3.387008000000e-10,0.000000000000e+00,1,-3.387008000000e-10,520,520-525nm
0.0,0.950000,0.950000,-3.025846000000e-10,0.000000000000e+00,1,-3.025846000000e-10,520,520-525nm
