LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A,Wavelength_nm,Comment
3.0,-5.000000,-5.000000,-9.210453000000e-08,0.000000000000e+00,1,-9.210453000000e-08,500,500-510 nm 12mA 3V
3.0,-4.990000,-4.990000,-9.236116000000e-08,0.000000000000e+00,1,-9.236116000000e-08,500,500-510 nm 12mA 3V
3.0,-4.980000,-4.980000,-9.229894000000e-08,0.000000000000e+00,1,-9.229894000000e-08,500,500-510 nm 12mA 3V
3.0,-4.970000,-4.970000,-9.215478000000e-08,0.000000000000e+00,1,-9.215478000000e-08,500,500-510 nm 12mA 3V
3.0,-4.960000,-4.960000,-9.236125000000e-08,0.000000000000e+00,1,-9.236125000000e-08,500,500-510 nm 12mA 3V
3.0,-4.950000,-4.950000,-9.206374000000e-08,0.000000000000e+00,1,-9.206374000000e-08,500,500-510 nm 12mA 3V
3.0,-4.940000,-4.940000,-9.235295000000e-08,0.000000000000e+00,1,-9.235295000000e-08,500,500-510 nm 12mA 3V
3.0,-4.930000,-4.930000,-9.229457000000e-08,0.000000000000e+00,1,-9.229457000000e-08,500,500-510 nm 12mA 3V
3.0,-4.920000,-4.920000,-9.234856000000e-08,0.000000000000e+00,1,-9.234856000000e-08,500,500-510 nm 12mA 3V
3.0,-4.910000,-4.910000,-9.218348000000e-08,0.000000000000e+00,1,-9.218348000000e-08,500,500-510 nm 12mA 3V
3.0,-4.900000,-4.900000,-9.213971000000e-08,0.000000000000e+00,1,-9.213971000000e-08,500,500-510 nm 12mA 3V
3.0,-4.890000,-4.890000,-9.232258000000e-08,0.000000000000e+00,1,-9.232258000000e-08,500,500-510 nm 12mA 3V
3.0,-4.880000,-4.880000,-9.219303000000e-08,0.000000000000e+00,1,-9.219303000000e-08,500,500-510 nm 12mA 3V
3.0,-4.870000,-4.870000,-9.230411000000e-08,0.000000000000e+00,1,-9.230411000000e-08,500,500-510 nm 12mA 3V
3.0,-4.860000,-4.860000,-9.239971000000e-08,0.000000000000e+00,1,-9.239971000000e-08,500,500-510 nm 12mA 3V
3.0,-4.850000,-4.850000,-9.226004000000e-08,0.000000000000e+00,1,-9.226004000000e-08,500,500-510 nm 12mA 3V
3.0,-4.840000,-4.840000,-9.226551000000e-08,0.000000000000e+00,1,-9.226551000000e-08,500,500-510 nm 12mA 3V
3.0,-4.830000,-4.830000,-9.212643000000e-08,0.000000000000e+00,1,-9.212643000000e-08,500,500-510 nm 12mA 3V
3.0,-4.820000,-4.820000,-9.228041000000e-08,0.000000000000e+00,1,-9.228041000000e-08,500,500-510 nm 12mA 3V
3.0,-4.810000,-4.810000,-9.227054000000e-08,0.000000000000e+00,1,-9.227054000000e-08,500,500-510 nm 12mA 3V
3.0,-4.800000,-4.800000,-9.206506000000e-08,0.000000000000e+00,1,-9.206506000000e-08,500,500-510 nm 12mA 3V
3.0,-4.790000,-4.790000,-9.222158000000e-08,0.000000000000e+00,1,-9.222158000000e-08,500,500-510 nm 12mA 3V
3.0,-4.780000,-4.780000,-9.224192000000e-08,0.000000000000e+00,1,-9.224192000000e-08,500,500-510 nm 12mA 3V
3.0,-4.770000,-4.770000,-9.209217000000e-08,0.000000000000e+00,1,-9.209217000000e-08,500,500-510 nm 12mA 3V
3.0,-4.760000,-4.760000,-9.208878000000e-08,0.000000000000e+00,1,-9.208878000000e-08,500,500-510 nm 12mA 3V
3.0,-4.750000,-4.750000,-9.215248000000e-08,0.000000000000e+00,1,-9.215248000000e-08,500,500-510 nm 12mA 3V
3.0,-4.740000,-4.740000,-9.219228000000e-08,0.000000000000e+00,1,-9.219228000000e-08,500,500-510 nm 12mA 3V
3.0,-4.730000,-4.730000,-9.196659000000e-08,0.000000000000e+00,1,-9.196659000000e-08,500,500-510 nm 12mA 3V
3.0,-4.720000,-4.720000,-9.227934000000e-08,0.000000000000e+00,1,-9.227934000000e-08,500,500-510 nm 12mA 3V
3.0,-4.710000,-4.710000,-9.215584000000e-08,0.000000000000e+00,1,-9.215584000000e-08,500,500-510 nm 12mA 3V
3.0,-4.700000,-4.700000,-9.215807000000e-08,0.000000000000e+00,1,-9.215807000000e-08,500,500-510 nm 12mA 3V
3.0,-4.690000,-4.690000,-9.223707000000e-08,0.000000000000e+00,1,-9.223707000000e-08,500,500-510 nm 12mA 3V
3.0,-4.680000,-4.680000,-9.224853000000e-08,0.000000000000e+00,1,-9.224853000000e-08,500,500-510 nm 12mA 3V
3.0,-4.670000,-4.670000,-9.216406000000e-08,0.000000000000e+00,1,-9.216406000000e-08,500,500-510 nm 12mA 3V
3.0,-4.660000,-4.660000,-9.204056000000e-08,0.000000000000e+00,1,-9.204056000000e-08,500,500-510 nm 12mA 3V
3.0,-4.650000,-4.650000,-9.219444000000e-08,0.000000000000e+00,1,-9.219444000000e-08,500,500-510 nm 12mA 3V
3.0,-4.640000,-4.640000,-9.213334000000e-08,0.000000000000e+00,1,-9.213334000000e-08,500,500-510 nm 12mA 3V
3.0,-4.630000,-4.630000,-9.232822000000e-08,0.000000000000e+00,1,-9.232822000000e-08,500,500-510 nm 12mA 3V
3.0,-4.620000,-4.620000,-9.200922000000e-08,0.000000000000e+00,1,-9.200922000000e-08,500,500-510 nm 12mA 3V
3.0,-4.610000,-4.610000,-9.211821000000e-08,0.000000000000e+00,1,-9.211821000000e-08,500,500-510 nm 12mA 3V
3.0,-4.600000,-4.600000,-9.224109000000e-08,0.000000000000e+00,1,-9.224109000000e-08,500,500-510 nm 12mA 3V
3.0,-4.590000,-4.590000,-9.215684000000e-08,0.000000000000e+00,1,-9.215684000000e-08,500,500-510 nm 12mA 3V
3.0,-4.580000,-4.580000,-9.199579000000e-08,0.000000000000e+00,1,-9.199579000000e-08,500,500-510 nm 12mA 3V
3.0,-4.570000,-4.570000,-9.189778000000e-08,0.000000000000e+00,1,-9.189778000000e-08,500,500-510 nm 12mA 3V
3.0,-4.560000,-4.560000,-9.206401000000e-08,0.000000000000e+00,1,-9.206401000000e-08,500,500-510 nm 12mA 3V
3.0,-4.550000,-4.550000,-9.223424000000e-08,0.000000000000e+00,1,-9.223424000000e-08,500,500-510 nm 12mA 3V
3.0,-4.540000,-4.540000,-9.215389000000e-08,0.000000000000e+00,1,-9.215389000000e-08,500,500-510 nm 12mA 3V
3.0,-4.530000,-4.530000,-9.200528000000e-08,0.000000000000e+00,1,-9.200528000000e-08,500,500-510 nm 12mA 3V
3.0,-4.520000,-4.520000,-9.200701000000e-08,0.000000000000e+00,1,-9.200701000000e-08,500,500-510 nm 12mA 3V
3.0,-4.510000,-4.510000,-9.205066000000e-08,0.000000000000e+00,1,-9.205066000000e-08,500,500-510 nm 12mA 3V
3.0,-4.500000,-4.500000,-9.238085000000e-08,0.000000000000e+00,1,-9.238085000000e-08,500,500-510 nm 12mA 3V
3.0,-4.490000,-4.490000,-9.228589000000e-08,0.000000000000e+00,1,-9.228589000000e-08,500,500-510 nm 12mA 3V
3.0,-4.480000,-4.480000,-9.218947000000e-08,0.000000000000e+00,1,-9.218947000000e-08,500,500-510 nm 12mA 3V
3.0,-4.470000,-4.470000,-9.179201000000e-08,0.000000000000e+00,1,-9.179201000000e-08,500,500-510 nm 12mA 3V
3.0,-4.460000,-4.460000,-9.204323000000e-08,0.000000000000e+00,1,-9.204323000000e-08,500,500-510 nm 12mA 3V
3.0,-4.450000,-4.450000,-9.230554000000e-08,0.000000000000e+00,1,-9.230554000000e-08,500,500-510 nm 12mA 3V
3.0,-4.440000,-4.440000,-9.223102000000e-08,0.000000000000e+00,1,-9.223102000000e-08,500,500-510 nm 12mA 3V
3.0,-4.430000,-4.430000,-9.216443000000e-08,0.000000000000e+00,1,-9.216443000000e-08,500,500-510 nm 12mA 3V
3.0,-4.420000,-4.420000,-9.185933000000e-08,0.000000000000e+00,1,-9.185933000000e-08,500,500-510 nm 12mA 3V
3.0,-4.410000,-4.410000,-9.214324000000e-08,0.000000000000e+00,1,-9.214324000000e-08,500,500-510 nm 12mA 3V
3.0,-4.400000,-4.400000,-9.215935000000e-08,0.000000000000e+00,1,-9.215935000000e-08,500,500-510 nm 12mA 3V
3.0,-4.390000,-4.390000,-9.214822000000e-08,0.000000000000e+00,1,-9.214822000000e-08,500,500-510 nm 12mA 3V
3.0,-4.380000,-4.380000,-9.218461000000e-08,0.000000000000e+00,1,-9.218461000000e-08,500,500-510 nm 12mA 3V
3.0,-4.370000,-4.370000,-9.210354000000e-08,0.000000000000e+00,1,-9.210354000000e-08,500,500-510 nm 12mA 3V
3.0,-4.360000,-4.360000,-9.228415000000e-08,0.000000000000e+00,1,-9.228415000000e-08,500,500-510 nm 12mA 3V
