LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
12.0,-2.000000,-2.000000,-3.736276666667e-09,1.581760758002e-11,3,-3.751899000000e-09;-3.714600000000e-09;-3.742331000000e-09
12.0,-1.900000,-1.900000,-3.699555333333e-09,2.323545782252e-11,3,-3.719574000000e-09;-3.666979000000e-09;-3.712113000000e-09
12.0,-1.800000,-1.800000,-3.696844666667e-09,2.960345827020e-11,3,-3.715023000000e-09;-3.655095000000e-09;-3.720416000000e-09
12.0,-1.700000,-1.700000,-3.662271666667e-09,8.673212028360e-12,3,-3.653661000000e-09;-3.659012000000e-09;-3.674142000000e-09
12.0,-1.600000,-1.600000,-3.650317000000e-09,5.815636565903e-12,3,-3.650374000000e-09;-3.643166000000e-09;-3.657411000000e-09
12.0,-1.500000,-1.500000,-3.606768666667e-09,1.391673738904e-11,3,-3.626056000000e-09;-3.593732000000e-09;-3.600518000000e-09
12.0,-1.400000,-1.400000,-3.577114666667e-09,1.637144791669e-11,3,-3.557491000000e-09;-3.597567000000e-09;-3.576286000000e-09
12.0,-1.300000,-1.300000,-3.520529333333e-09,1.274321378442e-11,3,-3.513617000000e-09;-3.538399000000e-09;-3.509572000000e-09
12.0,-1.200000,-1.200000,-3.456487000000e-09,8.861613434735e-12,3,-3.461447000000e-09;-3.463974000000e-09;-3.444040000000e-09
12.0,-1.100000,-1.100000,-3.338190666667e-09,1.396665219570e-11,3,-3.328526000000e-09;-3.357941000000e-09;-3.328105000000e-09
12.0,-1.000000,-1.000000,-3.100532600000e-09,1.651999753753e-11,5,-3.109468000000e-09;-3.101543000000e-09;-3.088943000000e-09;-3.125313000000e-09;-3.077396000000e-09
12.0,-0.990000,-0.990000,-3.069379800000e-09,1.172568596543e-11,5,-3.071116000000e-09;-3.087593000000e-09;-3.054934000000e-09;-3.074656000000e-09;-3.058600000000e-09
12.0,-0.980000,-0.980000,-3.023545200000e-09,1.670885475908e-11,5,-3.012621000000e-09;-3.048318000000e-09;-3.015487000000e-09;-3.037697000000e-09;-3.003603000000e-09
12.0,-0.970000,-0.970000,-2.974793800000e-09,1.103874133042e-11,5,-2.961208000000e-09;-2.986788000000e-09;-2.964451000000e-09;-2.987925000000e-09;-2.973597000000e-09
12.0,-0.960000,-0.960000,-2.921558600000e-09,1.347663497465e-11,5,-2.917252000000e-09;-2.942368000000e-09;-2.905916000000e-09;-2.931411000000e-09;-2.910846000000e-09
12.0,-0.950000,-0.950000,-2.881497000000e-09,1.031456564282e-11,5,-2.887583000000e-09;-2.875023000000e-09;-2.887709000000e-09;-2.864488000000e-09;-2.892682000000e-09
12.0,-0.940000,-0.940000,-2.817642600000e-09,1.068292680121e-11,5,-2.799462000000e-09;-2.813791000000e-09;-2.824663000000e-09;-2.819523000000e-09;-2.830774000000e-09
12.0,-0.930000,-0.930000,-2.748915000000e-09,8.994367682055e-12,5,-2.753441000000e-09;-2.744929000000e-09;-2.763723000000e-09;-2.737300000000e-09;-2.745182000000e-09
12.0,-0.920000,-0.920000,-2.682144000000e-09,8.608559949260e-12,5,-2.670251000000e-09;-2.686181000000e-09;-2.692250000000e-09;-2.688372000000e-09;-2.673666000000e-09
12.0,-0.910000,-0.910000,-2.609371400000e-09,6.519779278473e-12,5,-2.613569000000e-09;-2.605942000000e-09;-2.598987000000e-09;-2.617993000000e-09;-2.610366000000e-09
12.0,-0.900000,-0.900000,-2.534895800000e-09,7.774653597428e-12,5,-2.535646000000e-09;-2.542852000000e-09;-2.536531000000e-09;-2.520180000000e-09;-2.539270000000e-09
12.0,-0.890000,-0.890000,-2.445873000000e-09,3.836989966106e-12,5,-2.450222000000e-09;-2.446050000000e-09;-2.438844000000e-09;-2.446093000000e-09;-2.448156000000e-09
12.0,-0.880000,-0.880000,-2.348969600000e-09,4.795010515108e-12,5,-2.341662000000e-09;-2.345540000000e-09;-2.355274000000e-09;-2.351523000000e-09;-2.350849000000e-09
12.0,-0.870000,-0.870000,-2.244926800000e-09,7.740772891643e-12,5,-2.250169000000e-09;-2.245871000000e-09;-2.255522000000e-09;-2.233523000000e-09;-2.239549000000e-09
12.0,-0.860000,-0.860000,-2.140294400000e-09,9.819890398574e-12,5,-2.147678000000e-09;-2.133433000000e-09;-2.124204000000e-09;-2.147594000000e-09;-2.148563000000e-09
12.0,-0.850000,-0.850000,-2.016487000000e-09,3.958360519205e-12,5,-2.014043000000e-09;-2.021165000000e-09;-2.017962000000e-09;-2.019184000000e-09;-2.010081000000e-09
