LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
5.0,-2.000000,-2.000000,-2.300022666667e-10,2.530457666594e-11,3,-2.434017000000e-10;-2.520397000000e-10;-1.945654000000e-10
5.0,-1.900000,-1.900000,-2.121083333333e-10,1.636509265690e-11,3,-2.352273000000e-10;-1.996218000000e-10;-2.014759000000e-10
5.0,-1.800000,-1.800000,-1.862505000000e-10,1.319294376425e-11,3,-1.959560000000e-10;-1.675980000000e-10;-1.951975000000e-10
5.0,-1.700000,-1.700000,-1.914052000000e-10,1.853264639998e-11,3,-2.131898000000e-10;-1.678930000000e-10;-1.931328000000e-10
5.0,-1.600000,-1.600000,-1.804356333333e-10,2.382504570913e-11,3,-1.512490000000e-10;-2.096082000000e-10;-1.804497000000e-10
5.0,-1.500000,-1.500000,-1.770366333333e-10,2.305677249708e-11,3,-1.546621000000e-10;-2.087655000000e-10;-1.676823000000e-10
5.0,-1.400000,-1.400000,-1.903801333333e-10,4.210664160766e-11,3,-2.094396000000e-10;-1.319934000000e-10;-2.297074000000e-10
5.0,-1.300000,-1.300000,-1.915175333333e-10,2.510556865111e-11,3,-2.077963000000e-10;-1.560526000000e-10;-2.107037000000e-10
5.0,-1.200000,-1.200000,-1.788625666667e-10,2.580330791524e-11,3,-1.872337000000e-10;-1.439173000000e-10;-2.054367000000e-10
5.0,-1.100000,-1.100000,-1.789187333333e-10,2.542488175841e-11,3,-1.530609000000e-10;-2.134848000000e-10;-1.702105000000e-10
5.0,-1.000000,-1.000000,-1.632021666667e-10,2.856185609799e-11,3,-1.986106000000e-10;-1.623310000000e-10;-1.286649000000e-10
5.0,-0.990000,-0.990000,-1.816997666667e-10,2.475037233529e-11,3,-1.989898000000e-10;-1.994112000000e-10;-1.466983000000e-10
5.0,-0.980000,-0.980000,-1.877676000000e-10,4.063329090397e-11,3,-2.328255000000e-10;-1.343528000000e-10;-1.961245000000e-10
5.0,-0.970000,-0.970000,-1.972623333333e-10,4.353284336730e-11,3,-2.286118000000e-10;-1.357011000000e-10;-2.274741000000e-10
5.0,-0.960000,-0.960000,-1.608425000000e-10,2.749692496856e-11,3,-1.276537000000e-10;-1.949868000000e-10;-1.598870000000e-10
5.0,-0.950000,-0.950000,-1.665165000000e-10,3.601232841431e-11,3,-1.410098000000e-10;-2.174456000000e-10;-1.410941000000e-10
5.0,-0.940000,-0.940000,-1.831750000000e-10,4.163944589937e-11,3,-2.009281000000e-10;-1.256735000000e-10;-2.229234000000e-10
5.0,-0.930000,-0.930000,-1.914053333333e-10,3.869175611396e-11,3,-2.237240000000e-10;-1.370072000000e-10;-2.134848000000e-10
5.0,-0.920000,-0.920000,-1.802530666667e-10,2.474361238385e-11,3,-1.758568000000e-10;-1.523867000000e-10;-2.125157000000e-10
5.0,-0.910000,-0.910000,-1.630755000000e-10,3.395564852461e-11,3,-1.400408000000e-10;-2.110830000000e-10;-1.381027000000e-10
5.0,-0.900000,-0.900000,-1.699998666667e-10,3.915936795203e-11,3,-1.389874000000e-10;-2.252409000000e-10;-1.457713000000e-10
5.0,-0.890000,-0.890000,-1.701405666667e-10,2.882977191231e-11,3,-1.811239000000e-10;-1.986527000000e-10;-1.306451000000e-10
5.0,-0.880000,-0.880000,-2.082177000000e-10,4.130244944964e-11,3,-2.588237000000e-10;-1.576538000000e-10;-2.081756000000e-10
5.0,-0.870000,-0.870000,-2.005208666667e-10,4.558678619281e-11,3,-2.203952000000e-10;-1.374707000000e-10;-2.436967000000e-10
5.0,-0.860000,-0.860000,-1.529920666667e-10,5.050770571239e-11,3,-1.199434000000e-10;-2.243560000000e-10;-1.146768000000e-10
5.0,-0.850000,-0.850000,-1.770507000000e-10,4.016921672201e-11,3,-1.447179000000e-10;-2.336682000000e-10;-1.527660000000e-10
5.0,-0.840000,-0.840000,-1.915457000000e-10,3.731334617381e-11,3,-2.180355000000e-10;-1.387768000000e-10;-2.178248000000e-10
5.0,-0.830000,-0.830000,-1.876273000000e-10,4.197663498241e-11,3,-2.126420000000e-10;-1.284964000000e-10;-2.217435000000e-10
5.0,-0.820000,-0.820000,-1.825846000000e-10,1.522992885888e-11,3,-1.613618000000e-10;-1.900147000000e-10;-1.963773000000e-10
5.0,-0.810000,-0.810000,-1.756180000000e-10,1.379156379845e-11,3,-1.885820000000e-10;-1.817559000000e-10;-1.565161000000e-10
5.0,-0.800000,-0.800000,-1.831604666667e-10,2.837162677575e-11,3,-2.062794000000e-10;-1.432010000000e-10;-2.000010000000e-10
5.0,-0.790000,-0.790000,-1.600278666667e-10,3.287248245025e-11,3,-1.463191000000e-10;-2.053524000000e-10;-1.284121000000e-10
5.0,-0.780000,-0.780000,-1.774720000000e-10,3.918237793711e-11,3,-1.485944000000e-10;-2.328675000000e-10;-1.509541000000e-10
5.0,-0.770000,-0.770000,-1.821071333333e-10,3.137199504254e-11,3,-2.109145000000e-10;-1.384818000000e-10;-1.969251000000e-10
5.0,-0.760000,-0.760000,-1.841159000000e-10,3.840956797214e-11,3,-2.105774000000e-10;-1.298025000000e-10;-2.119678000000e-10
5.0,-0.750000,-0.750000,-1.940317000000e-10,3.572275051066e-11,3,-2.091868000000e-10;-1.447179000000e-10;-2.281904000000e-10
5.0,-0.740000,-0.740000,-1.729493666667e-10,2.405708090138e-11,3,-1.549992000000e-10;-2.069536000000e-10;-1.568953000000e-10
5.0,-0.730000,-0.730000,-1.876973000000e-10,3.821988748946e-11,3,-2.249459000000e-10;-1.351533000000e-10;-2.029927000000e-10
5.0,-0.720000,-0.720000,-1.663906333333e-10,4.915479074192e-11,3,-1.258420000000e-10;-2.355643000000e-10;-1.377656000000e-10
5.0,-0.710000,-0.710000,-1.669381333333e-10,3.652349677275e-11,3,-1.506591000000e-10;-2.175299000000e-10;-1.326254000000e-10
5.0,-0.700000,-0.700000,-1.893967333333e-10,3.839593438064e-11,3,-2.035405000000e-10;-1.369229000000e-10;-2.277268000000e-10
5.0,-0.690000,-0.690000,-1.665308666667e-10,3.131048145167e-11,3,-1.290019000000e-10;-1.649434000000e-10;-2.056473000000e-10
5.0,-0.680000,-0.680000,-1.668118666667e-10,3.864974840361e-11,3,-1.537772000000e-10;-2.192996000000e-10;-1.273588000000e-10
5.0,-0.670000,-0.670000,-1.801278333333e-10,5.668685286509e-11,3,-2.154652000000e-10;-1.001410000000e-10;-2.247773000000e-10
5.0,-0.660000,-0.660000,-1.705338333333e-10,3.580519490403e-11,3,-1.638057000000e-10;-1.304345000000e-10;-2.173613000000e-10
5.0,-0.650000,-0.650000,-1.573738333333e-10,4.721256464575e-11,3,-1.347320000000e-10;-2.230919000000e-10;-1.142976000000e-10
5.0,-0.640000,-0.640000,-2.013634666667e-10,4.185749790868e-11,3,-2.272634000000e-10;-1.423161000000e-10;-2.345109000000e-10
5.0,-0.630000,-0.630000,-1.735252333333e-10,2.554708285373e-11,3,-1.559262000000e-10;-1.549992000000e-10;-2.096503000000e-10
5.0,-0.620000,-0.620000,-1.655903000000e-10,5.290959838712e-11,3,-1.456870000000e-10;-2.380082000000e-10;-1.130757000000e-10
5.0,-0.610000,-0.610000,-1.619517000000e-10,9.793158278104e-12,3,-1.754354000000e-10;-1.524710000000e-10;-1.579487000000e-10
5.0,-0.600000,-0.600000,-1.929791333333e-10,5.715862144106e-11,3,-2.396516000000e-10;-1.124859000000e-10;-2.267999000000e-10
5.0,-0.590000,-0.590000,-1.901702000000e-10,6.025454697155e-11,3,-2.418848000000e-10;-1.056604000000e-10;-2.229654000000e-10
5.0,-0.580000,-0.580000,-1.462931333333e-10,6.004552230157e-11,3,-1.057446000000e-10;-2.311821000000e-10;-1.019527000000e-10
5.0,-0.570000,-0.570000,-1.555623000000e-10,5.175384915791e-11,3,-1.229770000000e-10;-2.286118000000e-10;-1.150981000000e-10
5.0,-0.560000,-0.560000,-1.746215666667e-10,5.014893758478e-11,3,-1.724859000000e-10;-2.370812000000e-10;-1.142976000000e-10
5.0,-0.550000,-0.550000,-1.653511333333e-10,4.423979806090e-11,3,-2.277690000000e-10;-1.378499000000e-10;-1.304345000000e-10
