LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A,Wavelength_nm,Comment
4.1,-5.000000,-5.000000,-1.285904333333e-08,7.207956822537e-11,3,-1.295639000000e-08;-1.283656000000e-08;-1.278418000000e-08,550,RCA 929  green 4.1V
4.1,-4.980000,-4.980000,-1.269003000000e-08,1.892840722301e-11,3,-1.271406000000e-08;-1.268823000000e-08;-1.266780000000e-08,550,RCA 929  green 4.1V
4.1,-4.960000,-4.960000,-1.263104666667e-08,9.802779651144e-12,3,-1.264268000000e-08;-1.261870000000e-08;-1.263176000000e-08,550,RCA 929  green 4.1V
4.1,-4.940000,-4.940000,-1.259631666667e-08,7.036861674229e-12,3,-1.260189000000e-08;-1.260067000000e-08;-1.258639000000e-08,550,RCA 929  green 4.1V
4.1,-4.920000,-4.920000,-1.256600333333e-08,2.178977181054e-11,3,-1.259557000000e-08;-1.254370000000e-08;-1.255874000000e-08,550,RCA 929  green 4.1V
4.1,-4.900000,-4.900000,-1.254242666667e-08,1.155624314194e-11,3,-1.253650000000e-08;-1.255858000000e-08;-1.253220000000e-08,550,RCA 929  green 4.1V
4.1,-4.880000,-4.880000,-1.254083000000e-08,1.828284988726e-11,3,-1.256076000000e-08;-1.251660000000e-08;-1.254513000000e-08,550,RCA 929  green 4.1V
4.1,-4.860000,-4.860000,-1.250819000000e-08,1.622679471327e-11,3,-1.250931000000e-08;-1.252748000000e-08;-1.248778000000e-08,550,RCA 929  green 4.1V
4.1,-4.840000,-4.840000,-1.249418000000e-08,1.881841828281e-11,3,-1.251307000000e-08;-1.250097000000e-08;-1.246850000000e-08,550,RCA 929  green 4.1V
4.1,-4.820000,-4.820000,-1.248934333333e-08,1.958674608561e-11,3,-1.250915000000e-08;-1.246267000000e-08;-1.249621000000e-08,550,RCA 929  green 4.1V
4.1,-4.800000,-4.800000,-1.247219333333e-08,8.985103721654e-12,3,-1.246330000000e-08;-1.248450000000e-08;-1.246878000000e-08,550,RCA 929  green 4.1V
4.1,-4.780000,-4.780000,-1.247381333333e-08,1.871463657735e-11,3,-1.249277000000e-08;-1.244834000000e-08;-1.248033000000e-08,550,RCA 929  green 4.1V
4.1,-4.760000,-4.760000,-1.245577666667e-08,1.387363046294e-11,3,-1.245505000000e-08;-1.247312000000e-08;-1.243916000000e-08,550,RCA 929  green 4.1V
4.1,-4.740000,-4.740000,-1.245171333333e-08,1.545802129065e-11,3,-1.246671000000e-08;-1.243044000000e-08;-1.245799000000e-08,550,RCA 929  green 4.1V
4.1,-4.720000,-4.720000,-1.245095666667e-08,1.764748392516e-11,3,-1.247401000000e-08;-1.243115000000e-08;-1.244771000000e-08,550,RCA 929  green 4.1V
4.1,-4.700000,-4.700000,-1.244473666667e-08,1.111956334075e-11,3,-1.244544000000e-08;-1.243078000000e-08;-1.245799000000e-08,550,RCA 929  green 4.1V
4.1,-4.680000,-4.680000,-1.242744333333e-08,1.433680888095e-11,3,-1.241965000000e-08;-1.244755000000e-08;-1.241513000000e-08,550,RCA 929  green 4.1V
