LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A,Wavelength_nm,Comment
3.1,-5.000000,-5.000000,-2.974656666667e-07,3.299053736384e-11,3,-2.975057000000e-07;-2.974664000000e-07;-2.974249000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.980000,-4.980000,-2.973326666667e-07,2.114873255987e-11,3,-2.973359000000e-07;-2.973568000000e-07;-2.973053000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.960000,-4.960000,-2.973061000000e-07,1.510121407923e-11,3,-2.973023000000e-07;-2.972898000000e-07;-2.973262000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.940000,-4.940000,-2.972873666667e-07,1.562057048324e-11,3,-2.972673000000e-07;-2.973054000000e-07;-2.972894000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.920000,-4.920000,-2.972696666667e-07,4.067188491111e-11,3,-2.972219000000e-07;-2.972658000000e-07;-2.973213000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.900000,-4.900000,-2.972072000000e-07,2.863471087102e-11,3,-2.971788000000e-07;-2.972464000000e-07;-2.971964000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.880000,-4.880000,-2.972190666667e-07,1.262493124293e-11,3,-2.972319000000e-07;-2.972019000000e-07;-2.972234000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.860000,-4.860000,-2.972131333333e-07,1.006059419496e-11,3,-2.972155000000e-07;-2.972241000000e-07;-2.971998000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.840000,-4.840000,-2.972046000000e-07,8.845714593334e-12,3,-2.972134000000e-07;-2.971925000000e-07;-2.972079000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.820000,-4.820000,-2.971742333333e-07,1.518998207884e-11,3,-2.971906000000e-07;-2.971781000000e-07;-2.971540000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.800000,-4.800000,-2.971422000000e-07,3.576702391870e-11,3,-2.970980000000e-07;-2.971856000000e-07;-2.971430000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.780000,-4.780000,-2.971855333333e-07,2.549213386299e-11,3,-2.971622000000e-07;-2.972210000000e-07;-2.971734000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.760000,-4.760000,-2.971774333333e-07,3.720513704077e-11,3,-2.971931000000e-07;-2.972131000000e-07;-2.971261000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.740000,-4.740000,-2.971638333333e-07,1.872918103447e-11,3,-2.971497000000e-07;-2.971903000000e-07;-2.971515000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.720000,-4.720000,-2.972070000000e-07,2.344539755830e-11,3,-2.972293000000e-07;-2.971746000000e-07;-2.972171000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.700000,-4.700000,-2.971768333333e-07,5.443242497710e-11,3,-2.971185000000e-07;-2.972495000000e-07;-2.971625000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.680000,-4.680000,-2.971843000000e-07,2.028644867885e-11,3,-2.971957000000e-07;-2.971558000000e-07;-2.972014000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.660000,-4.660000,-2.971610000000e-07,3.005006932880e-11,3,-2.971981000000e-07;-2.971604000000e-07;-2.971245000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.640000,-4.640000,-2.970952000000e-07,1.112234987161e-11,3,-2.970918000000e-07;-2.971102000000e-07;-2.970836000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.620000,-4.620000,-2.971035333333e-07,1.186376368987e-11,3,-2.970905000000e-07;-2.971009000000e-07;-2.971192000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.600000,-4.600000,-2.970864000000e-07,3.162625491581e-11,3,-2.970545000000e-07;-2.971295000000e-07;-2.970752000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.580000,-4.580000,-2.970965000000e-07,8.419421991239e-12,3,-2.971061000000e-07;-2.970978000000e-07;-2.970856000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.560000,-4.560000,-2.970813333333e-07,8.561282354612e-12,3,-2.970836000000e-07;-2.970905000000e-07;-2.970699000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.540000,-4.540000,-2.970595666667e-07,1.543358531113e-11,3,-2.970573000000e-07;-2.970795000000e-07;-2.970419000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.520000,-4.520000,-2.970995333333e-07,3.308910528998e-12,3,-2.970969000000e-07;-2.971042000000e-07;-2.970975000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.500000,-4.500000,-2.970641333333e-07,2.234134184768e-11,3,-2.970379000000e-07;-2.970925000000e-07;-2.970620000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.480000,-4.480000,-2.970377000000e-07,2.380014005561e-11,3,-2.970411000000e-07;-2.970070000000e-07;-2.970650000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.460000,-4.460000,-2.970304333333e-07,3.145518858452e-11,3,-2.970332000000e-07;-2.969906000000e-07;-2.970675000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.440000,-4.440000,-2.970285666667e-07,1.831580980706e-11,3,-2.970201000000e-07;-2.970116000000e-07;-2.970540000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.420000,-4.420000,-2.970397666667e-07,2.659477810063e-11,3,-2.970104000000e-07;-2.970748000000e-07;-2.970341000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.400000,-4.400000,-2.970209666667e-07,1.295745173850e-11,3,-2.970084000000e-07;-2.970388000000e-07;-2.970157000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.380000,-4.380000,-2.970104000000e-07,1.512767882613e-11,3,-2.970051000000e-07;-2.970310000000e-07;-2.969951000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.360000,-4.360000,-2.970010000000e-07,8.800378779731e-12,3,-2.970113000000e-07;-2.969898000000e-07;-2.970019000000e-07,402,RCA 929 3.09V 23 mA
