LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A,Wavelength_nm,Comment
12.0,-5.000000,-5.000000,-6.842342000000e-08,1.590060705340e-10,3,-6.854185000000e-08;-6.819866000000e-08;-6.852975000000e-08,400,
12.0,-4.980000,-4.980000,-6.843319666667e-08,1.537898402222e-10,3,-6.860898000000e-08;-6.845622000000e-08;-6.823439000000e-08,400,
12.0,-4.960000,-4.960000,-6.836493666667e-08,2.261679550442e-10,3,-6.822582000000e-08;-6.868392000000e-08;-6.818507000000e-08,400,
12.0,-4.940000,-4.940000,-6.839361000000e-08,9.299890787889e-11,3,-6.826382000000e-08;-6.844009000000e-08;-6.847692000000e-08,400,
12.0,-4.920000,-4.920000,-6.845524666667e-08,1.714656459923e-10,3,-6.853179000000e-08;-6.821771000000e-08;-6.861624000000e-08,400,
12.0,-4.900000,-4.900000,-6.840567666667e-08,1.262633423533e-10,3,-6.854212000000e-08;-6.823770000000e-08;-6.843721000000e-08,400,
12.0,-4.880000,-4.880000,-6.841403666667e-08,1.169548580531e-10,3,-6.846200000000e-08;-6.852714000000e-08;-6.825297000000e-08,400,
12.0,-4.860000,-4.860000,-6.839015000000e-08,8.831608120835e-11,3,-6.841936000000e-08;-6.848071000000e-08;-6.827038000000e-08,400,
12.0,-4.840000,-4.840000,-6.831216666667e-08,1.191205905328e-10,3,-6.835349000000e-08;-6.843294000000e-08;-6.815007000000e-08,400,
12.0,-4.820000,-4.820000,-6.834275666667e-08,1.412663282205e-10,3,-6.820562000000e-08;-6.853714000000e-08;-6.828551000000e-08,400,
12.0,-4.800000,-4.800000,-6.842297333333e-08,9.396720184310e-11,3,-6.837776000000e-08;-6.833736000000e-08;-6.855380000000e-08,400,
12.0,-4.780000,-4.780000,-6.842885000000e-08,1.044277271609e-10,3,-6.849958000000e-08;-6.828121000000e-08;-6.850576000000e-08,400,
12.0,-4.760000,-4.760000,-6.843789000000e-08,1.175726578192e-10,3,-6.858593000000e-08;-6.829831000000e-08;-6.842943000000e-08,400,
12.0,-4.740000,-4.740000,-6.836203666667e-08,8.617323650002e-11,3,-6.846994000000e-08;-6.835714000000e-08;-6.825903000000e-08,400,
12.0,-4.720000,-4.720000,-6.833796666667e-08,9.319211745398e-11,3,-6.827228000000e-08;-6.846976000000e-08;-6.827186000000e-08,400,
12.0,-4.700000,-4.700000,-6.835626000000e-08,7.656362887603e-11,3,-6.826113000000e-08;-6.844861000000e-08;-6.835904000000e-08,400,
12.0,-4.680000,-4.680000,-6.831529333333e-08,3.754057035025e-11,3,-6.830837000000e-08;-6.827317000000e-08;-6.836434000000e-08,400,
12.0,-4.660000,-4.660000,-6.827508000000e-08,2.804497221726e-11,3,-6.823915000000e-08;-6.830759000000e-08;-6.827850000000e-08,400,
12.0,-4.640000,-4.640000,-6.828616000000e-08,7.484481144341e-11,3,-6.819883000000e-08;-6.838162000000e-08;-6.827803000000e-08,400,
12.0,-4.620000,-4.620000,-6.826562666667e-08,5.930337502106e-11,3,-6.827357000000e-08;-6.833396000000e-08;-6.818935000000e-08,400,
12.0,-4.600000,-4.600000,-6.829366333333e-08,3.864497753769e-11,3,-6.834693000000e-08;-6.827762000000e-08;-6.825644000000e-08,400,
12.0,-4.580000,-4.580000,-6.829899000000e-08,2.304742501886e-11,3,-6.827200000000e-08;-6.829666000000e-08;-6.832831000000e-08,400,
12.0,-4.560000,-4.560000,-6.825719000000e-08,9.496792125064e-11,3,-6.832985000000e-08;-6.812304000000e-08;-6.831868000000e-08,400,
12.0,-4.540000,-4.540000,-6.822488333333e-08,3.143488755436e-11,3,-6.824488000000e-08;-6.824927000000e-08;-6.818050000000e-08,400,
12.0,-4.520000,-4.520000,-6.827445333333e-08,4.821081920989e-11,3,-6.824815000000e-08;-6.834208000000e-08;-6.823313000000e-08,400,
12.0,-4.500000,-4.500000,-6.817372666667e-08,3.092283550316e-11,3,-6.814442000000e-08;-6.821649000000e-08;-6.816027000000e-08,400,
12.0,-4.480000,-4.480000,-6.820617333333e-08,9.131959750727e-12,3,-6.821767000000e-08;-6.819533000000e-08;-6.820552000000e-08,400,
12.0,-4.460000,-4.460000,-6.819687000000e-08,1.125420217815e-11,3,-6.821083000000e-08;-6.819651000000e-08;-6.818327000000e-08,400,
12.0,-4.440000,-4.440000,-6.820945000000e-08,1.633559916256e-11,3,-6.823168000000e-08;-6.820378000000e-08;-6.819289000000e-08,400,
12.0,-4.420000,-4.420000,-6.816274000000e-08,5.764413818127e-12,3,-6.815627000000e-08;-6.817027000000e-08;-6.816168000000e-08,400,
12.0,-4.400000,-4.400000,-6.814201666667e-08,2.871557571927e-11,3,-6.813325000000e-08;-6.811206000000e-08;-6.818074000000e-08,400,
12.0,-4.380000,-4.380000,-6.814753000000e-08,2.783146780175e-11,3,-6.817191000000e-08;-6.816210000000e-08;-6.810858000000e-08,400,
12.0,-4.360000,-4.360000,-6.815049666667e-08,2.822080359514e-11,3,-6.817775000000e-08;-6.811162000000e-08;-6.816212000000e-08,400,
12.0,-4.340000,-4.340000,-6.816612666667e-08,2.338650940654e-11,3,-6.819339000000e-08;-6.813628000000e-08;-6.816871000000e-08,400,
12.0,-4.320000,-4.320000,-6.813704333333e-08,2.549256405743e-11,3,-6.814016000000e-08;-6.810438000000e-08;-6.816659000000e-08,400,
12.0,-4.300000,-4.300000,-6.813536333333e-08,1.644446276275e-11,3,-6.815861000000e-08;-6.812317000000e-08;-6.812431000000e-08,400,
12.0,-4.280000,-4.280000,-6.816348333333e-08,2.996879747708e-11,3,-6.813573000000e-08;-6.820510000000e-08;-6.814962000000e-08,400,
12.0,-4.260000,-4.260000,-6.813199666667e-08,3.778152752632e-11,3,-6.808511000000e-08;-6.817763000000e-08;-6.813325000000e-08,400,
12.0,-4.240000,-4.240000,-6.810684333333e-08,2.089869267576e-11,3,-6.808212000000e-08;-6.810518000000e-08;-6.813323000000e-08,400,
12.0,-4.220000,-4.220000,-6.812644666667e-08,3.191999408243e-11,3,-6.811246000000e-08;-6.809627000000e-08;-6.817061000000e-08,400,
12.0,-4.200000,-4.200000,-6.813100666667e-08,2.747504847837e-11,3,-6.816985000000e-08;-6.811243000000e-08;-6.811074000000e-08,400,
12.0,-4.180000,-4.180000,-6.809022333333e-08,2.073012354575e-11,3,-6.809761000000e-08;-6.811110000000e-08;-6.806196000000e-08,400,
12.0,-4.160000,-4.160000,-6.808999000000e-08,9.405030568801e-12,3,-6.810117000000e-08;-6.807816000000e-08;-6.809064000000e-08,400,
12.0,-4.140000,-4.140000,-6.805395666667e-08,2.605050649970e-12,3,-6.805080000000e-08;-6.805718000000e-08;-6.805389000000e-08,400,
12.0,-4.120000,-4.120000,-6.805017333333e-08,2.430921544508e-11,3,-6.805880000000e-08;-6.807468000000e-08;-6.801704000000e-08,400,
12.0,-4.100000,-4.100000,-6.800880000000e-08,1.708083331300e-11,3,-6.798929000000e-08;-6.800622000000e-08;-6.803089000000e-08,400,
12.0,-4.080000,-4.080000,-6.806877333333e-08,3.211002162704e-11,3,-6.805084000000e-08;-6.804161000000e-08;-6.811387000000e-08,400,
12.0,-4.060000,-4.060000,-6.804520333333e-08,5.869992920685e-11,3,-6.811329000000e-08;-6.797003000000e-08;-6.805229000000e-08,400,
12.0,-4.040000,-4.040000,-6.801118333333e-08,7.547263713132e-11,3,-6.802939000000e-08;-6.809316000000e-08;-6.791100000000e-08,400,
12.0,-4.020000,-4.020000,-6.799589000000e-08,5.797651306061e-11,3,-6.792324000000e-08;-6.806513000000e-08;-6.799930000000e-08,400,
12.0,-4.000000,-4.000000,-6.800352666667e-08,8.283633274247e-11,3,-6.795007000000e-08;-6.793998000000e-08;-6.812053000000e-08,400,
12.0,-3.980000,-3.980000,-6.795919333333e-08,1.127550129952e-10,3,-6.809761000000e-08;-6.782142000000e-08;-6.795855000000e-08,400,
12.0,-3.960000,-3.960000,-6.794599333333e-08,7.532367681472e-11,3,-6.797565000000e-08;-6.801977000000e-08;-6.784256000000e-08,400,
12.0,-3.940000,-3.940000,-6.791790333333e-08,1.301556796900e-10,3,-6.782528000000e-08;-6.810197000000e-08;-6.782646000000e-08,400,
12.0,-3.920000,-3.920000,-6.792495333333e-08,7.796020452057e-11,3,-6.781682000000e-08;-6.799765000000e-08;-6.796039000000e-08,400,
12.0,-3.900000,-3.900000,-6.797087000000e-08,1.409587488121e-10,3,-6.795651000000e-08;-6.780586000000e-08;-6.815024000000e-08,400,
12.0,-3.880000,-3.880000,-6.798424666667e-08,1.722704866063e-10,3,-6.807948000000e-08;-6.774243000000e-08;-6.813083000000e-08,400,
12.0,-3.860000,-3.860000,-6.796528333333e-08,1.280048218710e-10,3,-6.814016000000e-08;-6.783733000000e-08;-6.791836000000e-08,400,
12.0,-3.840000,-3.840000,-6.790398333333e-08,1.363903069218e-10,3,-6.796077000000e-08;-6.803523000000e-08;-6.771595000000e-08,400,
12.0,-3.820000,-3.820000,-6.782410333333e-08,2.100258289407e-10,3,-6.769954000000e-08;-6.811990000000e-08;-6.765287000000e-08,400,
12.0,-3.800000,-3.800000,-6.782417000000e-08,1.512684190438e-10,3,-6.761027000000e-08;-6.793400000000e-08;-6.792824000000e-08,400,
12.0,-3.780000,-3.780000,-6.791892333333e-08,1.610232745772e-10,3,-6.792090000000e-08;-6.772073000000e-08;-6.811514000000e-08,400,
12.0,-3.760000,-3.760000,-6.789835333333e-08,2.159003400234e-10,3,-6.809959000000e-08;-6.759887000000e-08;-6.799660000000e-08,400,
12.0,-3.740000,-3.740000,-6.788412666667e-08,1.560850990824e-10,3,-6.808511000000e-08;-6.786268000000e-08;-6.770459000000e-08,400,
12.0,-3.720000,-3.720000,-6.782640333333e-08,1.829435148406e-10,3,-6.774417000000e-08;-6.807996000000e-08;-6.765508000000e-08,400,
12.0,-3.700000,-3.700000,-6.785902000000e-08,1.746612609214e-10,3,-6.765747000000e-08;-6.808346000000e-08;-6.783613000000e-08,400,
12.0,-3.680000,-3.680000,-6.786666666667e-08,1.467767820725e-10,3,-6.780034000000e-08;-6.772949000000e-08;-6.807017000000e-08,400,
12.0,-3.660000,-3.660000,-6.782617333333e-08,2.222792367471e-10,3,-6.803253000000e-08;-6.751763000000e-08;-6.792836000000e-08,400,
12.0,-3.640000,-3.640000,-6.781617333333e-08,1.457008657795e-10,3,-6.802060000000e-08;-6.773633000000e-08;-6.769159000000e-08,400,
12.0,-3.620000,-3.620000,-6.776774000000e-08,1.982632075466e-10,3,-6.775962000000e-08;-6.801452000000e-08;-6.752908000000e-08,400,
12.0,-3.600000,-3.600000,-6.774891333333e-08,1.779068787003e-10,3,-6.754990000000e-08;-6.798173000000e-08;-6.771511000000e-08,400,
12.0,-3.580000,-3.580000,-6.772772000000e-08,1.386880391382e-10,3,-6.762698000000e-08;-6.763235000000e-08;-6.792383000000e-08,400,
12.0,-3.560000,-3.560000,-6.781090333333e-08,2.230239572084e-10,3,-6.796832000000e-08;-6.749550000000e-08;-6.796889000000e-08,400,
12.0,-3.540000,-3.540000,-6.775999666667e-08,1.965539078444e-10,3,-6.792594000000e-08;-6.748390000000e-08;-6.787015000000e-08,400,
12.0,-3.520000,-3.520000,-6.776376333333e-08,1.404068396561e-10,3,-6.796197000000e-08;-6.765433000000e-08;-6.767499000000e-08,400,
12.0,-3.500000,-3.500000,-6.765836000000e-08,1.583425453461e-10,3,-6.775171000000e-08;-6.778796000000e-08;-6.743541000000e-08,400,
12.0,-3.480000,-3.480000,-6.765460333333e-08,1.861420300619e-10,3,-6.748788000000e-08;-6.791439000000e-08;-6.756154000000e-08,400,
