LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A,Wavelength_nm,Comment
4.6,-5.000000,-5.000000,-2.573009000000e-09,8.339942415069e-11,3,-2.684000000000e-09;-2.552067000000e-09;-2.482960000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.980000,-4.980000,-2.401113666667e-09,1.180098688905e-11,3,-2.417519000000e-09;-2.390257000000e-09;-2.395565000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.960000,-4.960000,-2.340897333333e-09,1.121223240731e-12,3,-2.342471000000e-09;-2.339942000000e-09;-2.340279000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.940000,-4.940000,-2.314575666667e-09,1.932112718129e-12,3,-2.317273000000e-09;-2.312849000000e-09;-2.313605000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.920000,-4.920000,-2.294953333333e-09,1.715653681707e-12,3,-2.296794000000e-09;-2.295402000000e-09;-2.292664000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.900000,-4.900000,-2.268799333333e-09,3.267480408850e-12,3,-2.271173000000e-09;-2.271046000000e-09;-2.264179000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.880000,-4.880000,-2.255792666667e-09,1.320018023446e-11,3,-2.256888000000e-09;-2.271384000000e-09;-2.239106000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.860000,-4.860000,-2.246409000000e-09,1.056266367921e-11,3,-2.252083000000e-09;-2.231605000000e-09;-2.255539000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.840000,-4.840000,-2.228908666667e-09,1.405568901035e-11,3,-2.213739000000e-09;-2.247618000000e-09;-2.225369000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.820000,-4.820000,-2.224680666667e-09,4.731281808935e-12,3,-2.218838000000e-09;-2.224778000000e-09;-2.230426000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.800000,-4.800000,-2.215283000000e-09,7.952881909514e-12,3,-2.216139000000e-09;-2.205143000000e-09;-2.224567000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.780000,-4.780000,-2.211997000000e-09,8.764234022435e-12,3,-2.224274000000e-09;-2.207333000000e-09;-2.204384000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.760000,-4.760000,-2.217165666667e-09,1.503569823971e-11,3,-2.224526000000e-09;-2.196209000000e-09;-2.230762000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.740000,-4.740000,-2.189495666667e-09,1.795591240294e-11,3,-2.188035000000e-09;-2.212181000000e-09;-2.168271000000e-09,590,RCA 929  yellow 4.6V
