
Integration time [ms]:  60.000
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

 173.88;   -3.750;  -37.000;    0.000
 174.48;   -1.950;    0.000;    0.000
 175.09;   -1.800;   31.000;    0.000
 175.69;    5.350;   19.000;    0.000
 176.30;   -0.250;  -11.000;    0.000
 176.90;    3.350;  -32.000;    0.000
 177.51;   -3.900;   35.000;    0.000
 178.11;    3.550;  -38.000;    0.000
 178.72;   -9.600;   11.000;    0.000
 179.32;   -8.850;   29.000;    0.000
 179.93;   -2.200;   -9.000;    0.000
 180.54;   -2.300;   18.000;    0.000
 181.14;    0.800;  -26.000;    0.000
 181.75;    2.050;   40.000;    0.000
 182.35;   -6.950;   58.000;    0.000
 182.96;   14.650;   24.000;    0.000
 183.56;   12.000;  -20.000;    0.000
 184.17;   20.500;  -10.000;    0.000
 184.77;   -5.350;   25.000;    0.000
 185.38;   -6.750;  -52.000;    0.000
 185.98;   10.550;    9.000;    0.000
 186.59;    4.700;   39.000;    0.000
 187.19;   -0.600;   22.000;    0.000
 187.80;    0.850;  -11.000;    0.000
 188.40;    2.950;   15.000;    0.000
 189.01;    3.650;  -49.000;    0.000
 189.61;   -6.650;  -11.000;    0.000
 190.21;    5.300;  -24.000;    0.000
 190.82;    5.000;   22.000;    0.000
 191.42;   -9.950;  -20.000;    0.000
 192.03;  -10.300;  -29.000;    0.000
 192.63;  -16.200;   29.000;    0.000
 193.24;   -3.600;   13.000;    0.000
 193.84;   -9.450;   14.000;    0.000
 194.45;   -3.400;  -15.000;    0.000
 195.05;   -3.000;   -8.000;    0.000
 195.66;   -7.100;   40.000;    0.000
 196.26;   -6.700;  -41.000;    0.000
 196.87;   -7.000;    4.000;    0.000
 197.47;   -9.700;   -7.000;    0.000
 198.07;  -21.950;    9.000;    0.000
 198.68;   -5.500;   25.000;    0.000
 199.28;   -0.900;  -37.000;    0.000
 199.89;    5.300;  -27.000;    0.000
 200.49;   -4.100;   62.000;    0.000
 201.10;    7.850;   -9.000;    0.000
 201.70;   -2.500;    2.000;    0.000
 202.31;   -1.400;  -32.000;    0.000
 202.91;    4.650;  -14.000;    0.000
 203.51;    0.400;  -24.000;    0.000
 204.12;    3.600;  -21.000;    0.000
 204.72;    1.350;  -34.000;    0.000
 205.33;   -4.350;   55.000;    0.000
 205.93;   -6.550;    6.000;    0.000
 206.53;   -5.600;    9.000;    0.000
 207.14;  -12.000;   18.000;    0.000
 207.74;    5.350;  -10.000;    0.000
 208.35;   -3.450;   46.000;    0.000
 208.95;   -0.200;  -42.000;    0.000
 209.55;   13.550;   25.000;    0.000
 210.16;   -0.750;  -20.000;    0.000
 210.76;   -6.750;  -40.000;    0.000
 211.37;    2.000;  -28.000;    0.000
 211.97;    5.150;   -4.000;    0.000
 212.57;    0.150;  -28.000;    0.000
 213.18;   -6.400;   27.000;    0.000
 213.78;  -13.250;  -11.000;    0.000
 214.38;    2.300;  -33.000;    0.000
 214.99;   -4.850;   49.000;    0.000
 215.59;   -7.850;  -17.000;    0.000
 216.20;   -1.850;   -1.000;    0.000
 216.80;    0.450;  -13.000;    0.000
 217.40;    2.550;  -57.000;    0.000
 218.01;   -4.250;  -23.000;    0.000
 218.61;   -4.600;    3.000;    0.000
 219.21;    3.200;    6.000;    0.000
 219.82;   -0.100;  -65.000;    0.000
 220.42;    3.800;   42.000;    0.000
 221.02;  -10.550;  -20.000;    0.000
 221.63;  -16.800;  -12.000;    0.000
 222.23;   -9.150;   -8.000;    0.000
 222.83;  -17.750;   -6.000;    0.000
 223.44;   -2.250;  -14.000;    0.000
 224.04;   -2.700;   15.000;    0.000
 224.64;   -4.300;    3.000;    0.000
 225.25;  -10.350;   41.000;    0.000
 225.85;  -12.650;  -48.000;    0.000
 226.45;  -14.950;   38.000;    0.000
 227.06;   -0.050;  -19.000;    0.000
 227.66;   -4.400;   58.000;    0.000
 228.26;   -3.500;  -16.000;    0.000
 228.87;    8.550;  -11.000;    0.000
 229.47;  -10.400;   -2.000;    0.000
 230.07;   10.650;    1.000;    0.000
 230.68;  -10.950;  -14.000;    0.000
 231.28;   -2.050;   -7.000;    0.000
 231.88;   17.600;   18.000;    0.000
 232.48;   -7.300;  -34.000;    0.000
 233.09;    2.400;    4.000;    0.000
 233.69;   -4.250;  -22.000;    0.000
 234.29;   -8.600;  -10.000;    0.000
 234.90;    1.350;   -8.000;    0.000
 235.50;    1.000;   30.000;    0.000
 236.10;    1.050;   -9.000;    0.000
 236.70;    5.100;   -6.000;    0.000
 237.31;   -9.100;  -22.000;    0.000
 237.91;    0.800;   17.000;    0.000
 238.51;   -8.650;  -26.000;    0.000
 239.11;  -11.000;    9.000;    0.000
 239.72;   -4.800;    6.000;    0.000
 240.32;   -0.250;   42.000;    0.000
 240.92;   -2.200;   11.000;    0.000
 241.53;   -4.500;   -6.000;    0.000
 242.13;    7.950;   43.000;    0.000
 242.73;   -1.150;   -8.000;    0.000
 243.33;    0.200;   12.000;    0.000
 243.93;   -7.050;  -11.000;    0.000
 244.54;   -5.900;   14.000;    0.000
 245.14;   -6.600;  -71.000;    0.000
 245.74;   -6.400;  -39.000;    0.000
 246.34;    5.300;  -33.000;    0.000
 246.95;    3.600;   37.000;    0.000
 247.55;   -5.750;  -44.000;    0.000
 248.15;   -2.000;  -23.000;    0.000
 248.75;    3.200;    0.000;    0.000
 249.36;   -6.700;   12.000;    0.000
 249.96;  -12.900;   -6.000;    0.000
 250.56;   -9.250;   17.000;    0.000
 251.16;   -9.800;  -40.000;    0.000
 251.76;   -6.500;    9.000;    0.000
 252.37;    0.950;   39.000;    0.000
 252.97;   -7.950;   24.000;    0.000
 253.57;   -8.150;   -4.000;    0.000
 254.17;   -0.650;  -63.000;    0.000
 254.77;   -2.350;   12.000;    0.000
 255.38;   -4.650;  -20.000;    0.000
 255.98;  -10.100;   -7.000;    0.000
 256.58;    5.650;    3.000;    0.000
 257.18;    3.550;  -12.000;    0.000
 257.78;   -7.500;  -29.000;    0.000
 258.38;   -2.650;   45.000;    0.000
 258.99;   -6.600;  -49.000;    0.000
 259.59;   -0.650;    9.000;    0.000
 260.19;   -2.850;   -9.000;    0.000
 260.79;    2.100;  -57.000;    0.000
 261.39;    1.750;  -39.000;    0.000
 261.99;  -20.350;  -25.000;    0.000
 262.60;    3.100;  -15.000;    0.000
 263.20;   -7.150;   -7.000;    0.000
 263.80;  -10.400;  -12.000;    0.000
 264.40;  -10.250;    4.000;    0.000
 265.00;   -3.950;  -70.000;    0.000
 265.60;   -8.550;  -64.000;    0.000
 266.20;  -18.800;    1.000;    0.000
 266.81;  -10.000;  -25.000;    0.000
 267.41;   -3.150;  -31.000;    0.000
 268.01;   -1.350;   16.000;    0.000
 268.61;  -16.150;   17.000;    0.000
 269.21;   -8.400;   10.000;    0.000
 269.81;   -4.050;   22.000;    0.000
 270.41;   -4.450;  -64.000;    0.000
 271.01;   -3.850;    9.000;    0.000
 271.62;   -0.050;  -28.000;    0.000
 272.22;    1.300;  -18.000;    0.000
 272.82;   -3.300;   -4.000;    0.000
 273.42;   -7.150;   17.000;    0.000
 274.02;   -1.050;    6.000;    0.000
 274.62;   -4.050;  -37.000;    0.000
 275.22;   -9.550;  -14.000;    0.000
 275.82;   -9.150;   17.000;    0.000
 276.42;  -10.150;   -6.000;    0.000
 277.02;   -6.200;   32.000;    0.000
 277.63;   -0.400;  -17.000;    0.000
 278.23;   -5.650;   12.000;    0.000
 278.83;    0.000;  -16.000;    0.000
 279.43;   -3.500;  -24.000;    0.000
 280.03;  -10.600;    9.000;    0.000
 280.63;    3.450;   28.000;    0.000
 281.23;  -14.400;   -5.000;    0.000
 281.83;  -17.700;   25.000;    0.000
 282.43;  151.100;   53.000;    0.000
 283.03;   11.550;  -29.000;    0.000
 283.63;  -20.250;  -33.000;    0.000
 284.23;    1.700;  -34.000;    0.000
 284.83;   -8.950;   -6.000;    0.000
 285.43;    3.800;  -37.000;    0.000
 286.03;    0.100;  -21.000;    0.000
 286.63;  -11.450;  -28.000;    0.000
 287.23;  -10.500;   44.000;    0.000
 287.84;  -14.700;   14.000;    0.000
 288.44;   -6.750;  -19.000;    0.000
 289.04;  -12.250;  -14.000;    0.000
