
Integration time [ms]:   1.050
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

 173.88;   -8.550;  -37.000;    0.000
 174.48;   26.100;    0.000;    0.000
 175.09;   10.600;   31.000;    0.000
 175.69;   20.850;   19.000;    0.000
 176.30;   24.400;  -11.000;    0.000
 176.90;    6.400;  -32.000;    0.000
 177.51;    1.900;   35.000;    0.000
 178.11;   16.800;  -38.000;    0.000
 178.72;   12.350;   11.000;    0.000
 179.32;   20.550;   29.000;    0.000
 179.93;    3.550;   -9.000;    0.000
 180.54;   16.900;   18.000;    0.000
 181.14;   10.000;  -26.000;    0.000
 181.75;   24.800;   40.000;    0.000
 182.35;   15.400;   58.000;    0.000
 182.96;   11.500;   24.000;    0.000
 183.56;   11.100;  -20.000;    0.000
 184.17;   24.350;  -10.000;    0.000
 184.77;   10.900;   25.000;    0.000
 185.38;   27.050;  -52.000;    0.000
 185.98;   11.100;    9.000;    0.000
 186.59;   16.700;   39.000;    0.000
 187.19;    5.800;   22.000;    0.000
 187.80;   18.000;  -11.000;    0.000
 188.40;    5.450;   15.000;    0.000
 189.01;   22.750;  -49.000;    0.000
 189.61;   13.850;  -11.000;    0.000
 190.21;   16.350;  -24.000;    0.000
 190.82;    4.300;   22.000;    0.000
 191.42;   14.450;  -20.000;    0.000
 192.03;   11.800;  -29.000;    0.000
 192.63;   27.200;   29.000;    0.000
 193.24;    5.600;   13.000;    0.000
 193.84;    4.000;   14.000;    0.000
 194.45;   15.600;  -15.000;    0.000
 195.05;   31.000;   -8.000;    0.000
 195.66;   10.850;   40.000;    0.000
 196.26;   11.950;  -41.000;    0.000
 196.87;   11.250;    4.000;    0.000
 197.47;   18.500;   -7.000;    0.000
 198.07;    6.550;    9.000;    0.000
 198.68;   11.000;   25.000;    0.000
 199.28;   12.400;  -37.000;    0.000
 199.89;   19.150;  -27.000;    0.000
 200.49;   18.500;   62.000;    0.000
 201.10;   11.550;   -9.000;    0.000
 201.70;   17.700;    2.000;    0.000
 202.31;   20.800;  -32.000;    0.000
 202.91;    6.000;  -14.000;    0.000
 203.51;   11.650;  -24.000;    0.000
 204.12;    3.500;  -21.000;    0.000
 204.72;   21.150;  -34.000;    0.000
 205.33;    4.700;   55.000;    0.000
 205.93;    8.950;    6.000;    0.000
 206.53;    7.300;    9.000;    0.000
 207.14;   22.150;   18.000;    0.000
 207.74;    9.350;  -10.000;    0.000
 208.35;   23.250;   46.000;    0.000
 208.95;    8.500;  -42.000;    0.000
 209.55;   18.000;   25.000;    0.000
 210.16;   -1.000;  -20.000;    0.000
 210.76;   11.400;  -40.000;    0.000
 211.37;    9.550;  -28.000;    0.000
 211.97;   24.300;   -4.000;    0.000
 212.57;    5.650;  -28.000;    0.000
 213.18;   25.850;   27.000;    0.000
 213.78;    5.250;  -11.000;    0.000
 214.38;   31.200;  -33.000;    0.000
 214.99;   10.100;   49.000;    0.000
 215.59;    9.850;  -17.000;    0.000
 216.20;   11.700;   -1.000;    0.000
 216.80;   19.200;  -13.000;    0.000
 217.40;    8.750;  -57.000;    0.000
 218.01;   30.000;  -23.000;    0.000
 218.61;    8.400;    3.000;    0.000
 219.21;   19.200;    6.000;    0.000
 219.82;    9.000;  -65.000;    0.000
 220.42;   11.900;   42.000;    0.000
 221.02;   15.250;  -20.000;    0.000
 221.63;    6.000;  -12.000;    0.000
 222.23;   22.000;   -8.000;    0.000
 222.83;   24.300;   -6.000;    0.000
 223.44;   13.400;  -14.000;    0.000
 224.04;   19.450;   15.000;    0.000
 224.64;    9.900;    3.000;    0.000
 225.25;   11.950;   41.000;    0.000
 225.85;   16.400;  -48.000;    0.000
 226.45;   12.150;   38.000;    0.000
 227.06;   15.800;  -19.000;    0.000
 227.66;   12.000;   58.000;    0.000
 228.26;   12.300;  -16.000;    0.000
 228.87;   27.950;  -11.000;    0.000
 229.47;   18.450;   -2.000;    0.000
 230.07;   23.750;    1.000;    0.000
 230.68;    3.850;  -14.000;    0.000
 231.28;   12.250;   -7.000;    0.000
 231.88;    9.550;   18.000;    0.000
 232.48;   28.600;  -34.000;    0.000
 233.09;   10.950;    4.000;    0.000
 233.69;   19.950;  -22.000;    0.000
 234.29;   16.900;  -10.000;    0.000
 234.90;   14.750;   -8.000;    0.000
 235.50;   24.950;   30.000;    0.000
 236.10;   20.900;   -9.000;    0.000
 236.70;    2.550;   -6.000;    0.000
 237.31;    6.300;  -22.000;    0.000
 237.91;   -4.350;   17.000;    0.000
 238.51;   12.900;  -26.000;    0.000
 239.11;   10.800;    9.000;    0.000
 239.72;   24.000;    6.000;    0.000
 240.32;    4.600;   42.000;    0.000
 240.92;    7.750;   11.000;    0.000
 241.53;    4.500;   -6.000;    0.000
 242.13;   16.700;   43.000;    0.000
 242.73;   21.900;   -8.000;    0.000
 243.33;   13.500;   12.000;    0.000
 243.93;    2.150;  -11.000;    0.000
 244.54;   18.550;   14.000;    0.000
 245.14;   16.250;  -71.000;    0.000
 245.74;   13.400;  -39.000;    0.000
 246.34;   18.350;  -33.000;    0.000
 246.95;   10.550;   37.000;    0.000
 247.55;    8.650;  -44.000;    0.000
 248.15;   17.350;  -23.000;    0.000
 248.75;   14.050;    0.000;    0.000
 249.36;    5.650;   12.000;    0.000
 249.96;   17.450;   -6.000;    0.000
 250.56;   15.400;   17.000;    0.000
 251.16;   16.700;  -40.000;    0.000
 251.76;   16.200;    9.000;    0.000
 252.37;   10.050;   39.000;    0.000
 252.97;   32.700;   24.000;    0.000
 253.57;   14.450;   -4.000;    0.000
 254.17;   14.500;  -63.000;    0.000
 254.77;   10.050;   12.000;    0.000
 255.38;   14.150;  -20.000;    0.000
 255.98;   11.500;   -7.000;    0.000
 256.58;   32.450;    3.000;    0.000
 257.18;    5.200;  -12.000;    0.000
 257.78;   24.000;  -29.000;    0.000
 258.38;    9.800;   45.000;    0.000
 258.99;   22.500;  -49.000;    0.000
 259.59;   11.350;    9.000;    0.000
 260.19;   16.850;   -9.000;    0.000
 260.79;   11.800;  -57.000;    0.000
 261.39;   17.950;  -39.000;    0.000
 261.99;   17.750;  -25.000;    0.000
 262.60;   21.050;  -15.000;    0.000
 263.20;   13.750;   -7.000;    0.000
 263.80;   20.700;  -12.000;    0.000
 264.40;    9.200;    4.000;    0.000
 265.00;   21.100;  -70.000;    0.000
 265.60;   15.500;  -64.000;    0.000
 266.20;   12.850;    1.000;    0.000
 266.81;   15.300;  -25.000;    0.000
 267.41;   10.400;  -31.000;    0.000
 268.01;   16.100;   16.000;    0.000
 268.61;   13.050;   17.000;    0.000
 269.21;   -2.850;   10.000;    0.000
 269.81;   22.850;   22.000;    0.000
 270.41;    6.200;  -64.000;    0.000
 271.01;   18.650;    9.000;    0.000
 271.62;   14.600;  -28.000;    0.000
 272.22;   14.950;  -18.000;    0.000
 272.82;    4.900;   -4.000;    0.000
 273.42;   25.800;   17.000;    0.000
 274.02;    5.250;    6.000;    0.000
 274.62;   25.250;  -37.000;    0.000
 275.22;   14.150;  -14.000;    0.000
 275.82;   25.400;   17.000;    0.000
 276.42;    5.550;   -6.000;    0.000
 277.02;   17.500;   32.000;    0.000
 277.63;   10.100;  -17.000;    0.000
 278.23;   20.300;   12.000;    0.000
 278.83;    9.850;  -16.000;    0.000
 279.43;   22.300;  -24.000;    0.000
 280.03;   10.850;    9.000;    0.000
 280.63;   33.050;   28.000;    0.000
 281.23;   -0.300;   -5.000;    0.000
 281.83;   29.300;   25.000;    0.000
 282.43;    2.400;   53.000;    0.000
 283.03;   21.600;  -29.000;    0.000
 283.63;   12.300;  -33.000;    0.000
 284.23;   18.850;  -34.000;    0.000
 284.83;    7.800;   -6.000;    0.000
 285.43;   18.300;  -37.000;    0.000
 286.03;   13.200;  -21.000;    0.000
 286.63;   21.850;  -28.000;    0.000
 287.23;   19.050;   44.000;    0.000
 287.84;    9.100;   14.000;    0.000
 288.44;    4.800;  -19.000;    0.000
 289.04;   12.500;  -14.000;    0.000
 289.64;   -4.350;    7.000;    0.000
 290.24;   30.500;    3.000;    0.000
 290.84;   13.250;  -68.000;    0.000
 291.44;   20.800;    3.000;    0.000
 292.04;    9.200;  -64.000;    0.000
 292.64;   20.450;    0.000;    0.000
 293.24;    4.200;   -7.000;    0.000
 293.84;   19.150;   -3.000;    0.000
 294.44;    8.150;  -25.000;    0.000
 295.04;   18.400;   43.000;    0.000
 295.64;   13.900;   13.000;    0.000
 296.24;   23.050;   11.000;    0.000
 296.84;    7.250;  -20.000;    0.000
 297.44;   11.400;   24.000;    0.000
 298.04;   10.350;  -17.000;    0.000
 298.64;   22.650;  -25.000;    0.000
 299.24;   14.900;   -7.000;    0.000
 299.84;    9.600;  -49.000;    0.000
 300.44;    6.100;  -31.000;    0.000
 301.04;   24.650;  -18.000;    0.000
 301.64;   15.500;  -27.000;    0.000
 302.24;   10.500;   11.000;    0.000
 302.83;    6.400;   29.000;    0.000
 303.43;   17.850;   -3.000;    0.000
 304.03;   14.600;   18.000;    0.000
 304.63;   30.100;   15.000;    0.000
 305.23;    8.550;   -7.000;    0.000
 305.83;   21.550;  -51.000;    0.000
 306.43;   11.750;  -20.000;    0.000
 307.03;   30.500;  -44.000;    0.000
 307.63;   15.550;  -53.000;    0.000
 308.23;    7.450;    1.000;    0.000
 308.83;   14.900;  -18.000;    0.000
 309.43;   25.750;  -25.000;    0.000
 310.03;   14.400;  -47.000;    0.000
 310.63;   17.550;  -38.000;    0.000
 311.23;   17.950;   10.000;    0.000
 311.83;   23.950;   10.000;    0.000
 312.43;   18.050;  -27.000;    0.000
 313.02;   15.000;  -25.000;    0.000
 313.62;    4.900;   12.000;    0.000
 314.22;   21.000;   -8.000;    0.000
 314.82;   14.150;  -16.000;    0.000
 315.42;   19.850;  -11.000;    0.000
 316.02;   18.100;   23.000;    0.000
 316.62;   20.500;  -17.000;    0.000
 317.22;   23.350;  -41.000;    0.000
 317.82;   34.550;  -19.000;    0.000
 318.42;   22.850;  -10.000;    0.000
 319.01;   28.900;    2.000;    0.000
 319.61;    9.000;   -7.000;    0.000
 320.21;   31.100;    6.000;    0.000
 320.81;   23.350;    8.000;    0.000
 321.41;   24.550;   -4.000;    0.000
 322.01;   17.550;  -22.000;    0.000
 322.61;   30.250;  -37.000;    0.000
 323.21;   16.100;  -10.000;    0.000
 323.80;   33.200;  -23.000;    0.000
 324.40;   20.450;    7.000;    0.000
 325.00;   29.700;   16.000;    0.000
 325.60;   36.850;  -45.000;    0.000
 326.20;   28.800;   -8.000;    0.000
 326.80;   31.600;  -22.000;    0.000
 327.40;   43.400;  -26.000;    0.000
 327.99;   23.700;  -27.000;    0.000
 328.59;   30.000;  -12.000;    0.000
 329.19;   39.850;  -41.000;    0.000
 329.79;   36.100;  -26.000;    0.000
 330.39;   31.350;   -4.000;    0.000
 330.99;   39.100;   41.000;    0.000
 331.58;   39.800;  -45.000;    0.000
 332.18;   51.000;  -26.000;    0.000
 332.78;   40.800;  -26.000;    0.000
 333.38;   58.300;  -15.000;    0.000
 333.98;   48.100;   -6.000;    0.000
 334.57;   65.400;  -38.000;    0.000
