X-ray (ID 01) / Crystal angle θ_c	X-ray (ID 01) / Impulse Imp
θ_c/°	Imp/# / s

3.0	9825
3.1	5294
3.2	3486
3.3	2326
3.4	1860
3.5	1562
3.6	1331
3.7	1189
3.8	1016
3.9	834
4.0	683
4.1	536
4.2	450
4.3	337
4.4	301
4.5	247
4.6	204
4.7	179
4.8	159
4.9	140
5.0	127
5.1	112
5.2	135
5.3	151
5.4	191
5.5	238
5.6	258
5.7	292
5.8	314
5.9	358
6.0	403
6.1	415
6.2	469
6.3	494
6.4	517
6.5	549
6.6	525
6.7	566
6.8	585
6.9	609
7.0	605
7.1	615
7.2	656
7.3	630
7.4	653
7.5	683
7.6	671
7.7	678
7.8	716
7.9	669
8.0	717
8.1	708
8.2	693
8.3	708
8.4	687
8.5	731
8.6	721
8.7	765
8.8	818
8.9	1043
9.0	1305
9.1	1944
9.2	2109
9.3	1341
9.4	936
9.5	899
9.6	862
9.7	832
9.8	899
9.9	1112
10.0	1548
10.1	2509
10.2	4920
10.3	6975
10.4	5154
10.5	1753
10.6	1149
10.7	957
10.8	878
10.9	875
11.0	892
11.1	860
11.2	908
11.3	895
11.4	911
11.5	852
11.6	882
11.7	929
11.8	919
11.9	877
12.0	933
12.1	854
12.2	892
12.3	924
12.4	890
12.5	888
12.6	914
12.7	922
12.8	880
12.9	897
13.0	908
13.1	844
13.2	909
13.3	849
13.4	811
13.5	788
13.6	778
13.7	739
13.8	761
13.9	778
14.0	753
14.1	741
14.2	757
14.3	745
14.4	709
14.5	755
14.6	721
14.7	729
14.8	764
14.9	694
15.0	673
15.1	716
15.2	708
15.3	683
15.4	693
15.5	705
15.6	647
15.7	658
15.8	644
15.9	648
16.0	639
16.1	655
16.2	616
16.3	600
16.4	621
16.5	629
16.6	586
16.7	574
16.8	577
16.9	584
17.0	611
17.1	558
17.2	579
17.3	561
17.4	530
17.5	519
17.6	515
17.7	518
17.8	521
17.9	526
18.0	501
18.1	532
18.2	471
18.3	610
18.4	677
18.5	582
18.6	461
18.7	494
18.8	454
18.9	459
19.0	473
19.1	443
19.2	427
19.3	428
19.4	438
19.5	419
19.6	397
19.7	385
19.8	372
19.9	371
20.0	371
20.1	390
20.2	365
20.3	376
20.4	413
20.5	486
20.6	721
20.7	1258
20.8	1205
20.9	724
21.0	399
21.1	314
21.2	294
21.3	304
21.4	289
21.5	271
21.6	259
21.7	235
21.8	262
21.9	255
22.0	258
22.1	246
22.2	236
22.3	232
22.4	229
22.5	204
22.6	203
22.7	201
22.8	179
22.9	199
23.0	192
23.1	208
23.2	193
23.3	183
23.4	173
23.5	187
23.6	170
23.7	176
23.8	178
23.9	160
24.0	161
24.1	150
24.2	152
24.3	155
24.4	154
24.5	142
24.6	135
24.7	150
24.8	140
24.9	135
25.0	127
25.1	129
25.2	132
25.3	123
25.4	116
25.5	133
25.6	134
25.7	113
25.8	119
25.9	122
26.0	119
26.1	115
26.2	119
26.3	103
26.4	111
26.5	99
26.6	97
26.7	112
26.8	105
26.9	101
27.0	93
27.1	97
27.2	106
27.3	93
27.4	97
27.5	91
27.6	90
27.7	105
27.8	81
27.9	77
28.0	81
28.1	99
28.2	110
28.3	96
28.4	92
28.5	81
28.6	74
28.7	77
28.8	79
28.9	72
29.0	73
29.1	68
29.2	69
29.3	70
29.4	63
29.5	70
29.6	65
29.7	71
29.8	67
29.9	62
30.0	64
30.1	71
30.2	62
30.3	79
30.4	58
30.5	60
30.6	72
30.7	63
30.8	63
30.9	61
31.0	64
31.1	65
31.2	65
31.3	66
31.4	61
31.5	68
31.6	63
31.7	74
31.8	84
31.9	170
32.0	186
32.1	135
32.2	132
32.3	92
32.4	59
32.5	63
32.6	57
32.7	61
32.8	63
32.9	57
33.0	56
33.1	62
33.2	64
33.3	59
33.4	65
33.5	45
33.6	52
33.7	56
33.8	43
33.9	57
34.0	45
34.1	46
34.2	45
34.3	58
34.4	53
34.5	44
34.6	56
34.7	42
34.8	47
34.9	50
35.0	40
35.1	46
35.2	48
35.3	51
35.4	40
35.5	53
35.6	56
35.7	54
35.8	53
35.9	50
36.0	48
36.1	45
36.2	38
36.3	46
36.4	48
36.5	42
36.6	46
36.7	47
36.8	41
36.9	53
37.0	43
37.1	42
37.2	41
37.3	38
37.4	39
37.5	51
37.6	43
37.7	49
37.8	40
37.9	40
38.0	41
38.1	39
38.2	39
38.3	40
38.4	34
38.5	42
38.6	41
38.7	35
38.8	35
38.9	40
39.0	45
39.1	44
39.2	34
39.3	34
39.4	42
39.5	38
39.6	36
39.7	41
39.8	36
39.9	44
40.0	28
40.1	36
40.2	39
40.3	38
40.4	38
40.5	41
40.6	42
40.7	37
40.8	36
40.9	33
41.0	35
41.1	33
41.2	28
41.3	29
41.4	40
41.5	35
41.6	36
41.7	35
41.8	33
41.9	34
42.0	24
42.1	31
42.2	36
42.3	31
42.4	25
42.5	39
42.6	25
42.7	28
42.8	33
42.9	38
43.0	23
43.1	33
43.2	32
43.3	34
43.4	30
43.5	36
43.6	26
43.7	26
43.8	35
43.9	30
44.0	41
44.1	33
44.2	32
44.3	28
44.4	30
44.5	35
44.6	31
44.7	39
44.8	57
44.9	53
45.0	37
