X-ray (ID 01) / Crystal angle ?_c	X-ray (ID 01) / Impulse Imp
?_c/°	Imp/# / s

3.0	1363
3.1	1083
3.2	956
3.3	761
3.4	687
3.5	601
3.6	527
3.7	463
3.8	388
3.9	351
4.0	291
4.1	260
4.2	237
4.3	202
4.4	213
4.5	169
4.6	177
4.7	150
4.8	166
4.9	141
5.0	151
5.1	147
5.2	136
5.3	153
5.4	189
5.5	255
5.6	343
5.7	263
5.8	184
5.9	168
6.0	200
6.1	297
6.2	764
6.3	918
6.4	487
6.5	185
6.6	172
6.7	194
6.8	193
6.9	174
7.0	204
7.1	180
7.2	200
7.3	194
7.4	206
7.5	201
7.6	190
7.7	193
7.8	194
7.9	220
8.0	208
8.1	273
8.2	331
8.3	351
8.4	345
8.5	348
8.6	358
8.7	352
8.8	362
8.9	362
9.0	373
9.1	342
9.2	345
9.3	335
9.4	328
9.5	326
9.6	332
9.7	332
9.8	321
9.9	316
10.0	322
10.1	310
10.2	298
10.3	299
10.4	316
10.5	307
10.6	304
10.7	299
10.8	315
10.9	285
11.0	327
11.1	323
11.2	336
11.3	282
11.4	297
11.5	306
11.6	292
11.7	287
11.8	291
11.9	289
12.0	295
12.1	287
12.2	303
12.3	301
12.4	427
12.5	511
12.6	392
12.7	279
12.8	248
12.9	256
13.0	260
13.1	236
13.2	229
13.3	210
13.4	221
13.5	244
13.6	239
13.7	216
13.8	221
13.9	204
14.0	207
14.1	198
14.2	200
14.3	178
14.4	182
14.5	180
14.6	157
14.7	172
14.8	167
14.9	166
15.0	155
15.1	160
15.2	166
15.3	146
15.4	160
15.5	158
15.6	153
15.7	145
15.8	135
15.9	145
16.0	145
16.1	136
16.2	148
16.3	153
16.4	148
16.5	163
16.6	136
16.7	165
16.8	158
16.9	145
17.0	160
17.1	134
17.2	152
17.3	146
17.4	137
17.5	151
17.6	151
17.7	132
17.8	142
17.9	140
18.0	148
18.1	140
18.2	132
18.3	144
18.4	137
18.5	139
18.6	139
18.7	140
18.8	183
18.9	185
19.0	153
19.1	153
19.2	138
19.3	122
19.4	127
19.5	124
19.6	131
19.7	127
19.8	134
19.9	133
20.0	140
20.1	125
20.2	127
20.3	131
20.4	132
20.5	134
20.6	124
20.7	129
20.8	110
20.9	128
21.0	112
21.1	120
21.2	127
21.3	115
21.4	110
21.5	115
21.6	128
21.7	114
21.8	131
21.9	126
22.0	115
22.1	125
22.2	117
22.3	107
22.4	120
22.5	123
22.6	116
22.7	116
22.8	120
22.9	123
23.0	125
23.1	112
23.2	115
23.3	129
23.4	122
23.5	118
23.6	118
23.7	123
23.8	116
23.9	122
24.0	97
24.1	114
24.2	119
24.3	106
24.4	121
24.5	128
24.6	107
24.7	124
24.8	119
24.9	127
25.0	125
25.1	122
25.2	118
25.3	135
25.4	136
25.5	137
25.6	138
25.7	136
25.8	124
25.9	130
26.0	119
26.1	125
26.2	130
26.3	111
26.4	104
26.5	121
26.6	105
26.7	118
26.8	117
26.9	121
27.0	111
27.1	104
27.2	122
27.3	118
27.4	114
27.5	124
27.6	115
27.7	111
27.8	142
27.9	123
28.0	113
28.1	134
28.2	113
28.3	116
28.4	114
28.5	108
28.6	110
28.7	109
28.8	117
28.9	110
29.0	117
29.1	111
29.2	129
29.3	102
29.4	132
29.5	110
29.6	119
29.7	111
29.8	103
29.9	124
30.0	112
30.1	117
30.2	128
30.3	112
30.4	118
30.5	112
30.6	116
30.7	102
30.8	116
30.9	123
31.0	115
31.1	114
31.2	120
31.3	108
31.4	104
31.5	123
31.6	107
31.7	115
31.8	102
31.9	109
32.0	100
32.1	104
32.2	130
32.3	110
32.4	126
32.5	118
32.6	113
32.7	100
32.8	112
32.9	104
33.0	108
33.1	118
33.2	121
33.3	119
33.4	107
33.5	98
33.6	125
33.7	105
33.8	114
33.9	118
34.0	106
34.1	126
34.2	97
34.3	128
34.4	105
34.5	110
34.6	103
34.7	110
34.8	115
34.9	106
35.0	113
35.1	122
35.2	110
35.3	109
35.4	122
35.5	114
