X-ray (ID 01) / Crystal angle θ_c	X-ray (ID 01) / Impulse Imp
θ_c/°	Imp/# / s

3.0	5997
3.1	4125
3.2	2776
3.3	1777
3.4	1434
3.5	1159
3.6	1039
3.7	890
3.8	774
3.9	603
4.0	532
4.1	424
4.2	328
4.3	275
4.4	254
4.5	221
4.6	178
4.7	154
4.8	154
4.9	149
5.0	133
5.1	119
5.2	113
5.3	118
5.4	105
5.5	101
5.6	106
5.7	106
5.8	105
5.9	107
6.0	114
6.1	108
6.2	113
6.3	94
6.4	129
6.5	107
6.6	109
6.7	119
6.8	129
6.9	115
7.0	129
7.1	126
7.2	125
7.3	132
7.4	122
7.5	119
7.6	111
7.7	117
7.8	124
7.9	116
8.0	113
8.1	134
8.2	193
8.3	228
8.4	239
8.5	244
8.6	238
8.7	233
8.8	241
8.9	232
9.0	245
9.1	262
9.2	264
9.3	245
9.4	235
9.5	239
9.6	233
9.7	247
9.8	236
9.9	220
10.0	223
10.1	234
10.2	225
10.3	227
10.4	232
10.5	216
10.6	216
10.7	209
10.8	219
10.9	204
11.0	207
11.1	201
11.2	210
11.3	191
11.4	198
11.5	206
11.6	192
11.7	193
11.8	203
11.9	186
12.0	256
12.1	489
12.2	1304
12.3	2288
12.4	1617
12.5	508
12.6	327
12.7	262
12.8	245
12.9	206
13.0	200
13.1	232
13.2	246
13.3	571
13.4	1142
13.5	4224
13.6	8614
13.7	6153
13.8	2135
13.9	618
14.0	377
14.1	203
14.2	158
14.3	158
14.4	153
14.5	149
14.6	131
14.7	129
14.8	129
14.9	113
15.0	123
15.1	122
15.2	117
15.3	119
15.4	116
15.5	111
15.6	114
15.7	108
15.8	104
15.9	99
16.0	107
16.1	86
16.2	91
16.3	93
16.4	102
16.5	110
16.6	92
16.7	96
16.8	104
16.9	86
17.0	88
17.1	97
17.2	92
17.3	93
17.4	96
17.5	84
17.6	102
17.7	88
17.8	87
17.9	86
18.0	83
18.1	85
18.2	78
18.3	92
18.4	87
18.5	90
18.6	78
18.7	74
18.8	85
18.9	78
19.0	80
19.1	84
19.2	83
19.3	81
19.4	88
19.5	81
19.6	79
19.7	69
19.8	70
19.9	68
20.0	66
20.1	80
20.2	64
20.3	69
20.4	73
20.5	62
20.6	70
20.7	68
20.8	64
20.9	79
21.0	65
21.1	74
21.2	69
21.3	63
21.4	63
21.5	74
21.6	61
21.7	74
21.8	69
21.9	74
22.0	74
22.1	63
22.2	66
22.3	65
22.4	65
22.5	63
22.6	56
22.7	56
22.8	67
22.9	49
23.0	60
23.1	70
23.2	59
23.3	62
23.4	55
23.5	63
23.6	57
23.7	64
23.8	53
23.9	63
24.0	69
24.1	55
24.2	63
24.3	57
24.4	58
24.5	80
24.6	73
24.7	85
24.8	115
24.9	248
25.0	569
25.1	482
25.2	177
25.3	85
25.4	91
25.5	87
25.6	80
25.7	71
25.8	66
25.9	75
26.0	63
26.1	68
26.2	74
26.3	68
26.4	63
26.5	70
26.6	74
26.7	68
26.8	61
26.9	71
27.0	76
27.1	68
27.2	69
27.3	85
27.4	96
27.5	120
27.6	155
27.7	265
27.8	900
27.9	2139
28.0	1711
28.1	490
28.2	159
28.3	107
28.4	101
28.5	83
28.6	71
28.7	62
28.8	70
28.9	62
29.0	66
29.1	56
29.2	61
29.3	62
29.4	63
29.5	65
29.6	61
29.7	55
29.8	64
29.9	68
30.0	63
30.1	67
30.2	53
30.3	48
30.4	55
30.5	49
30.6	55
30.7	60
30.8	60
30.9	58
31.0	52
31.1	56
31.2	57
31.3	56
31.4	58
31.5	46
31.6	52
31.7	59
31.8	65
31.9	58
32.0	48
32.1	59
32.2	57
32.3	57
32.4	63
32.5	61
32.6	48
32.7	55
32.8	50
32.9	50
33.0	52
33.1	49
33.2	52
33.3	50
33.4	59
33.5	51
33.6	53
33.7	53
33.8	51
33.9	60
34.0	45
34.1	49
34.2	52
