X-ray (ID 01) / Crystal angle θ_c	X-ray (ID 01) / Impulse Imp
θ_c/°	Imp/# / s

3.0	7846
3.1	5188
3.2	3370
3.3	2367
3.4	1631
3.5	1306
3.6	1127
3.7	1040
3.8	909
3.9	871
4.0	765
4.1	658
4.2	525
4.3	416
4.4	328
4.5	279
4.6	220
4.7	222
4.8	193
4.9	192
5.0	136
5.1	136
5.2	135
5.3	117
5.4	102
5.5	116
5.6	115
5.7	109
5.8	96
5.9	104
6.0	103
6.1	93
6.2	101
6.3	94
6.4	115
6.5	102
6.6	119
6.7	114
6.8	104
6.9	112
7.0	126
7.1	111
7.2	122
7.3	104
7.4	120
7.5	110
7.6	109
7.7	115
7.8	98
7.9	119
8.0	162
8.1	183
8.2	209
8.3	218
8.4	241
8.5	234
8.6	221
8.7	217
8.8	219
8.9	230
9.0	233
9.1	212
9.2	226
9.3	226
9.4	228
9.5	218
9.6	219
9.7	229
9.8	205
9.9	200
10.0	211
10.1	212
10.2	214
10.3	205
10.4	209
10.5	197
10.6	206
10.7	184
10.8	193
10.9	175
11.0	170
11.1	179
11.2	182
11.3	183
11.4	173
11.5	177
11.6	174
11.7	171
11.8	152
11.9	161
12.0	165
12.1	149
12.2	149
12.3	150
12.4	142
12.5	144
12.6	146
12.7	131
12.8	136
12.9	132
13.0	129
13.1	133
13.2	116
13.3	118
13.4	109
13.5	114
13.6	108
13.7	117
13.8	119
13.9	107
14.0	92
14.1	82
14.2	93
14.3	89
14.4	85
14.5	96
14.6	92
14.7	76
14.8	81
14.9	72
15.0	84
15.1	85
15.2	159
15.3	459
15.4	1151
15.5	1108
15.6	511
15.7	216
15.8	146
15.9	117
16.0	90
16.1	84
16.2	106
16.3	96
16.4	96
16.5	98
16.6	130
16.7	172
16.8	295
16.9	810
17.0	2775
17.1	3244
17.2	1817
17.3	646
17.4	227
17.5	155
17.6	103
17.7	84
17.8	84
17.9	78
18.0	75
18.1	64
18.2	73
18.3	69
18.4	70
18.5	71
18.6	67
18.7	59
18.8	66
18.9	73
19.0	59
19.1	59
19.2	54
19.3	65
19.4	63
19.5	62
19.6	53
19.7	58
19.8	49
19.9	58
20.0	59
20.1	61
20.2	62
20.3	60
20.4	57
20.5	60
20.6	58
20.7	58
20.8	53
20.9	53
21.0	57
21.1	58
21.2	52
21.3	53
21.4	50
21.5	49
21.6	52
21.7	50
21.8	52
21.9	48
22.0	49
22.1	55
22.2	50
22.3	54
22.4	45
22.5	50
22.6	42
22.7	40
22.8	43
22.9	50
23.0	48
23.1	43
23.2	52
23.3	46
23.4	41
23.5	52
23.6	40
23.7	39
23.8	42
23.9	46
24.0	47
24.1	42
24.2	48
24.3	46
24.4	35
24.5	47
24.6	48
24.7	49
24.8	44
24.9	53
25.0	39
25.1	45
25.2	49
25.3	45
25.4	43
25.5	41
25.6	41
25.7	43
25.8	44
25.9	49
26.0	36
26.1	47
26.2	43
26.3	45
26.4	48
26.5	44
26.6	37
26.7	43
26.8	42
26.9	48
27.0	46
27.1	44
27.2	41
27.3	41
27.4	48
27.5	37
27.6	39
27.7	46
27.8	43
27.9	40
28.0	39
28.1	48
28.2	42
28.3	41
28.4	38
28.5	36
28.6	36
28.7	45
28.8	35
28.9	47
29.0	40
29.1	42
29.2	48
29.3	36
29.4	31
29.5	44
29.6	33
29.7	39
29.8	30
29.9	38
30.0	39
30.1	39
30.2	41
30.3	40
30.4	38
30.5	40
30.6	37
30.7	35
30.8	29
30.9	40
31.0	40
31.1	38
31.2	42
31.3	39
31.4	34
31.5	43
31.6	42
31.7	44
31.8	58
31.9	57
32.0	139
32.1	273
32.2	221
32.3	96
32.4	58
32.5	37
32.6	55
32.7	43
32.8	44
32.9	36
33.0	45
33.1	31
33.2	42
33.3	34
33.4	34
33.5	43
33.6	41
33.7	33
33.8	39
33.9	41
34.0	37
34.1	38
34.2	43
34.3	37
