X-ray (ID 01) / Crystal angle θ_c	X-ray (ID 01) / Impulse Imp
θ_c/°	Imp/# / s

3.0	494
3.1	383
3.2	318
3.3	284
3.4	257
3.5	258
3.6	241
3.7	204
3.8	184
3.9	183
4.0	160
4.1	149
4.2	135
4.3	124
4.4	119
4.5	117
4.6	96
4.7	101
4.8	98
4.9	103
5.0	104
5.1	111
5.2	106
5.3	124
5.4	132
5.5	151
5.6	193
5.7	153
5.8	124
5.9	147
6.0	177
6.1	245
6.2	411
6.3	662
6.4	240
6.5	124
6.6	138
6.7	137
6.8	142
6.9	154
7.0	138
7.1	141
7.2	145
7.3	147
7.4	154
7.5	151
7.6	154
7.7	152
7.8	148
7.9	158
8.0	161
8.1	209
8.2	228
8.3	239
8.4	260
8.5	265
8.6	274
8.7	260
8.8	268
8.9	244
9.0	255
9.1	244
9.2	271
9.3	240
9.4	262
9.5	236
9.6	240
9.7	266
9.8	255
9.9	258
10.0	254
10.1	236
10.2	225
10.3	238
10.4	214
10.5	226
10.6	239
10.7	239
10.8	217
10.9	217
11.0	242
11.1	264
11.2	243
11.3	230
11.4	232
11.5	217
11.6	233
11.7	221
11.8	224
11.9	217
12.0	212
12.1	200
12.2	216
12.3	221
12.4	307
12.5	422
12.6	338
12.7	238
12.8	186
12.9	182
13.0	191
13.1	166
13.2	171
13.3	169
13.4	175
13.5	175
13.6	170
13.7	164
13.8	139
13.9	147
14.0	161
14.1	140
14.2	125
14.3	140
14.4	153
14.5	127
14.6	155
14.7	135
14.8	150
14.9	137
15.0	123
15.1	125
15.2	119
15.3	121
15.4	115
15.5	118
15.6	111
15.7	125
15.8	111
15.9	102
16.0	99
16.1	99
16.2	101
16.3	121
16.4	134
16.5	115
16.6	129
16.7	134
16.8	142
16.9	135
17.0	132
17.1	117
17.2	114
17.3	134
17.4	125
17.5	118
17.6	120
17.7	132
17.8	125
17.9	119
18.0	120
18.1	117
18.2	110
18.3	107
18.4	122
18.5	130
18.6	97
18.7	117
18.8	166
18.9	168
19.0	141
19.1	143
19.2	126
19.3	98
19.4	111
19.5	116
19.6	116
19.7	113
19.8	116
19.9	108
20.0	110
20.1	104
20.2	122
20.3	114
20.4	122
20.5	107
20.6	118
20.7	111
20.8	113
20.9	105
21.0	99
21.1	104
21.2	110
21.3	115
21.4	110
21.5	109
21.6	99
21.7	112
21.8	116
21.9	97
22.0	108
22.1	106
22.2	113
22.3	109
22.4	100
22.5	107
22.6	119
22.7	114
22.8	113
22.9	103
23.0	106
23.1	104
23.2	94
23.3	115
23.4	118
23.5	112
23.6	112
23.7	106
23.8	97
23.9	113
24.0	107
24.1	103
24.2	113
24.3	121
24.4	98
24.5	109
24.6	108
24.7	106
24.8	99
24.9	113
25.0	108
25.1	112
25.2	119
25.3	119
25.4	105
25.5	101
25.6	103
25.7	105
25.8	120
25.9	111
26.0	113
26.1	104
26.2	113
26.3	120
26.4	102
26.5	102
26.6	109
26.7	109
26.8	104
26.9	107
27.0	118
27.1	110
27.2	104
27.3	115
27.4	96
27.5	105
27.6	107
27.7	97
27.8	106
27.9	120
28.0	113
28.1	109
28.2	96
28.3	100
28.4	105
28.5	104
28.6	89
28.7	103
28.8	104
28.9	101
29.0	85
29.1	109
29.2	95
29.3	125
29.4	103
29.5	118
29.6	101
29.7	94
29.8	99
29.9	111
30.0	93
30.1	104
30.2	109
30.3	102
30.4	102
30.5	99
30.6	102
30.7	95
30.8	107
30.9	111
31.0	87
31.1	106
31.2	118
31.3	107
31.4	114
31.5	93
31.6	107
31.7	113
31.8	100
31.9	99
32.0	101
32.1	108
32.2	103
32.3	106
32.4	104
32.5	106
32.6	97
32.7	105
32.8	110
32.9	102
33.0	105
33.1	108
33.2	115
33.3	100
33.4	103
33.5	110
33.6	101
33.7	105
33.8	115
33.9	110
34.0	99
34.1	104
34.2	102
34.3	124
34.4	103
34.5	104
